printing solutions in: ./dogs-color/insts/cgshop22/reecn12588.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn12588.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 12588)...
computing neighbors (1000 / 12588)...
computing neighbors (2000 / 12588)...
computing neighbors (3000 / 12588)...
computing neighbors (4000 / 12588)...
computing neighbors (5000 / 12588)...
computing neighbors (6000 / 12588)...
computing neighbors (7000 / 12588)...
computing neighbors (8000 / 12588)...
computing neighbors (9000 / 12588)...
computing neighbors (10000 / 12588)...
computing neighbors (11000 / 12588)...
computing neighbors (12000 / 12588)...
17550      vertices
12588      segments
147        dominations
=======================
greedy clique: 64
greedy found 64 vertices in 0.010 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.015                                      -64            
  0.016        3.0            153.0          -65            
  0.017        6.0            238.0          -66            
  0.017        7.0            239.0          -67            
  0.017        8.0            310.0          -68            
  0.018        12.0           457.0          -69            
  0.018        13.0           522.0          -70            
  0.020        17.0           661.0          -71            
  0.020        18.0           663.0          -72            
  0.020        19.0           664.0          -73            
  0.020        20.0           718.0          -74            
  0.021        22.0           776.0          -75            
  0.022        27.0           948.0          -76            
  0.022        28.0           949.0          -77            
  0.023        29.0           1.0 k          -78            
  0.023        31.0           1.1 k          -79            
  0.024        33.0           1.1 k          -80            
  0.024        34.0           1.1 k          -81            
  0.024        35.0           1.1 k          -82            
  0.024        36.0           1.1 k          -83            
  0.025        38.0           1.1 k          -84            
  0.025        39.0           1.1 k          -85            
  0.026        41.0           1.2 k          -86            
  0.027        45.0           1.3 k          -87            
  0.028        49.0           1.4 k          -88            
  0.029        53.0           1.5 k          -89            
  0.031        58.0           1.6 k          -90            
  0.031        61.0           1.7 k          -91            
  0.034        68.0           1.8 k          -92            
  0.034        69.0           1.8 k          -93            
  0.036        75.0           2.0 k          -94            
  0.041        92.0           2.2 k          -95            
  0.049        115.0          2.3 k          -96            
  0.054        130.0          2.4 k          -97            
  0.054        132.0          2.4 k          -98            
  0.058        143.0          2.5 k          -99            
  0.060        149.0          2.5 k          -100           
  0.172        496.0          4.0 k          -101           
  0.176        508.0          4.0 k          -102           
  0.178        513.0          4.0 k          -103           
  0.178        514.0          4.0 k          -104           
  0.179        517.0          4.0 k          -105           
  0.259        759.0          4.7 k          -106           
  0.260        765.0          4.7 k          -107           
  0.261        767.0          4.7 k          -108           
  0.261        768.0          4.7 k          -109           
  0.261        769.0          4.7 k          -110           
  0.503        1.5 k          6.4 k          -111           
  1.036        3.1 k          10.2 k         -112           
  1.036        3.1 k          10.2 k         -113           
  1.074        3.2 k          10.5 k         -114           
  2.657        7.8 k          20.6 k         -115           
  2.659        7.8 k          20.6 k         -116           
  2.997        8.8 k          22.6 k         -117           
  3.125        9.1 k          23.5 k         -118           
  3.127        9.2 k          23.5 k         -119           
  3.128        9.2 k          23.5 k         -120           
  3.128        9.2 k          23.5 k         -121           
  3.809        11.1 k         27.9 k         -122           
  3.810        11.1 k         27.9 k         -123           
  3.811        11.1 k         27.9 k         -124           
  3.900        11.4 k         28.4 k         -125           
  5.314        15.5 k         36.7 k         -126           
  5.969        17.4 k         40.5 k         -127           
  5.983        17.4 k         40.6 k         -128           
  15.500       44.2 k         96.8 k         -129           
  1812.779     4.5 M          9.6 M          -130           
  10582.999    25.9 M         54.9 M         -131           
