printing solutions in: ./dogs-color/insts/cgshop22/reecn15355.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn15355.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 15355)...
computing neighbors (1000 / 15355)...
computing neighbors (2000 / 15355)...
computing neighbors (3000 / 15355)...
computing neighbors (4000 / 15355)...
computing neighbors (5000 / 15355)...
computing neighbors (6000 / 15355)...
computing neighbors (7000 / 15355)...
computing neighbors (8000 / 15355)...
computing neighbors (9000 / 15355)...
computing neighbors (10000 / 15355)...
computing neighbors (11000 / 15355)...
computing neighbors (12000 / 15355)...
computing neighbors (13000 / 15355)...
computing neighbors (14000 / 15355)...
computing neighbors (15000 / 15355)...
21546      vertices
15355      segments
199        dominations
=======================
greedy clique: 84
greedy found 84 vertices in 0.019 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.036                                      -84            
  0.036        3.0            72.0           -85            
  0.037        4.0            133.0          -86            
  0.038        6.0            140.0          -87            
  0.038        7.0            195.0          -88            
  0.039        9.0            200.0          -89            
  0.039        10.0           201.0          -90            
  0.039        11.0           253.0          -91            
  0.040        13.0           256.0          -92            
  0.040        14.0           301.0          -93            
  0.041        16.0           304.0          -94            
  0.042        17.0           349.0          -95            
  0.042        19.0           397.0          -96            
  0.043        21.0           446.0          -97            
  0.044        24.0           544.0          -98            
  0.046        28.0           679.0          -99            
  0.047        30.0           725.0          -100           
  0.048        33.0           812.0          -101           
  0.050        36.0           859.0          -102           
  0.050        37.0           860.0          -103           
  0.050        38.0           903.0          -104           
  0.052        41.0           945.0          -105           
  0.052        42.0           991.0          -106           
  0.053        45.0           1.1 k          -107           
  0.056        50.0           1.2 k          -108           
  0.056        51.0           1.2 k          -109           
  0.057        54.0           1.3 k          -110           
  0.058        56.0           1.3 k          -111           
  0.059        59.0           1.4 k          -112           
  0.060        60.0           1.4 k          -113           
  0.060        62.0           1.5 k          -114           
  0.062        66.0           1.6 k          -115           
  0.063        68.0           1.6 k          -116           
  0.063        69.0           1.6 k          -117           
  0.064        71.0           1.6 k          -118           
  0.067        78.0           1.8 k          -119           
  0.068        79.0           1.8 k          -120           
  0.070        84.0           1.9 k          -121           
  0.071        86.0           1.9 k          -122           
  0.072        89.0           2.0 k          -123           
  0.079        105.0          2.3 k          -124           
  0.081        108.0          2.3 k          -125           
  0.081        109.0          2.3 k          -126           
  0.084        116.0          2.4 k          -127           
  0.089        127.0          2.5 k          -128           
  0.090        129.0          2.5 k          -129           
  0.097        143.0          2.6 k          -130           
  0.129        210.0          3.1 k          -131           
  0.130        213.0          3.1 k          -132           
  0.132        217.0          3.1 k          -133           
  0.150        255.0          3.3 k          -134           
  0.154        264.0          3.3 k          -135           
  0.160        278.0          3.4 k          -136           
  0.165        288.0          3.4 k          -137           
  0.209        379.0          3.8 k          -138           
  0.212        386.0          3.8 k          -139           
  0.216        395.0          3.8 k          -140           
  0.366        710.0          4.7 k          -141           
  0.368        714.0          4.7 k          -142           
  0.372        723.0          4.8 k          -143           
  0.373        724.0          4.8 k          -144           
  0.373        725.0          4.8 k          -145           
  0.856        1.7 k          7.1 k          -146           
  0.928        1.9 k          7.5 k          -147           
  1.526        3.1 k          10.5 k         -148           
  2.685        5.5 k          16.2 k         -149           
  3.105        6.4 k          18.2 k         -150           
  3.426        7.0 k          19.8 k         -151           
  3.444        7.1 k          19.9 k         -152           
  3.445        7.1 k          19.9 k         -153           
  3.446        7.1 k          19.9 k         -154           
  3.452        7.1 k          19.9 k         -155           
  20.999       42.5 k         102.6 k        -156           
  58.197       116.4 k        269.6 k        -157           
  196.472      385.1 k        873.3 k        -158           
  1217.285     2.3 M          5.2 M          -159           
  2181.569     4.1 M          9.2 M          -160           
