printing solutions in: ./dogs-color/insts/cgshop22/reecn16388.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn16388.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 16388)...
computing neighbors (1000 / 16388)...
computing neighbors (2000 / 16388)...
computing neighbors (3000 / 16388)...
computing neighbors (4000 / 16388)...
computing neighbors (5000 / 16388)...
computing neighbors (6000 / 16388)...
computing neighbors (7000 / 16388)...
computing neighbors (8000 / 16388)...
computing neighbors (9000 / 16388)...
computing neighbors (10000 / 16388)...
computing neighbors (11000 / 16388)...
computing neighbors (12000 / 16388)...
computing neighbors (13000 / 16388)...
computing neighbors (14000 / 16388)...
computing neighbors (15000 / 16388)...
computing neighbors (16000 / 16388)...
22848      vertices
16388      segments
191        dominations
=======================
greedy clique: 94
greedy found 94 vertices in 0.019 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.043                                      -94            
  0.044        3.0            65.0           -95            
  0.044        4.0            66.0           -96            
  0.044        5.0            120.0          -97            
  0.046        9.0            281.0          -98            
  0.047        12.0           381.0          -99            
  0.048        14.0           424.0          -100           
  0.049        16.0           464.0          -101           
  0.049        18.0           472.0          -102           
  0.050        19.0           474.0          -103           
  0.050        20.0           475.0          -104           
  0.050        21.0           504.0          -105           
  0.053        27.0           637.0          -106           
  0.060        44.0           959.0          -107           
  0.061        47.0           984.0          -108           
  0.064        54.0           1.0 k          -109           
  0.066        58.0           1.1 k          -110           
  0.066        59.0           1.1 k          -111           
  0.066        60.0           1.1 k          -112           
  0.067        61.0           1.1 k          -113           
  0.072        74.0           1.2 k          -114           
  0.073        75.0           1.2 k          -115           
  0.076        82.0           1.2 k          -116           
  0.077        85.0           1.2 k          -117           
  0.085        103.0          1.4 k          -118           
  0.094        124.0          1.5 k          -119           
  0.096        129.0          1.5 k          -120           
  0.097        132.0          1.5 k          -121           
  0.101        142.0          1.7 k          -122           
  0.102        144.0          1.7 k          -123           
  0.111        165.0          1.9 k          -124           
  0.113        170.0          2.0 k          -125           
  0.129        208.0          2.3 k          -126           
  0.239        457.0          3.2 k          -127           
  0.252        485.0          3.3 k          -128           
  0.512        1.1 k          4.8 k          -129           
  0.513        1.1 k          4.8 k          -130           
  0.514        1.1 k          4.8 k          -131           
  0.515        1.1 k          4.8 k          -132           
  0.523        1.1 k          4.8 k          -133           
  3.234        7.3 k          18.9 k         -134           
  3.236        7.3 k          18.9 k         -135           
  9.128        20.5 k         50.0 k         -136           
  9.130        20.5 k         50.0 k         -137           
  9.962        22.4 k         53.9 k         -138           
  11.927       26.7 k         63.7 k         -139           
  11.928       26.7 k         63.7 k         -140           
  39.126       86.2 k         198.6 k        -141           
  40.155       88.4 k         203.8 k        -142           
  40.157       88.4 k         203.8 k        -143           
  164.688      345.3 k        770.7 k        -144           
  164.689      345.3 k        770.7 k        -145           
  2512.576     5.0 M          11.3 M         -146           
  2542.426     5.1 M          11.4 M         -147           
  2866.965     5.8 M          12.9 M         -148           
  3085.829     6.2 M          13.9 M         -149           
  3429.891     6.9 M          15.4 M         -150           
  11365.351    23.0 M         50.3 M         -151           
