printing solutions in: ./dogs-color/insts/cgshop22/reecn23945.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn23945.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 23945)...
computing neighbors (1000 / 23945)...
computing neighbors (2000 / 23945)...
computing neighbors (3000 / 23945)...
computing neighbors (4000 / 23945)...
computing neighbors (5000 / 23945)...
computing neighbors (6000 / 23945)...
computing neighbors (7000 / 23945)...
computing neighbors (8000 / 23945)...
computing neighbors (9000 / 23945)...
computing neighbors (10000 / 23945)...
computing neighbors (11000 / 23945)...
computing neighbors (12000 / 23945)...
computing neighbors (13000 / 23945)...
computing neighbors (14000 / 23945)...
computing neighbors (15000 / 23945)...
computing neighbors (16000 / 23945)...
computing neighbors (17000 / 23945)...
computing neighbors (18000 / 23945)...
computing neighbors (19000 / 23945)...
computing neighbors (20000 / 23945)...
computing neighbors (21000 / 23945)...
computing neighbors (22000 / 23945)...
computing neighbors (23000 / 23945)...
33654      vertices
23945      segments
223        dominations
=======================
greedy clique: 102
greedy found 102 vertices in 0.030 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.073                                      -102           
  0.075        4.0            227.0          -103           
  0.075        5.0            230.0          -104           
  0.076        6.0            231.0          -105           
  0.076        7.0            320.0          -106           
  0.078        10.0           497.0          -107           
  0.079        13.0           671.0          -108           
  0.081        16.0           761.0          -109           
  0.082        17.0           763.0          -110           
  0.082        18.0           764.0          -111           
  0.082        19.0           845.0          -112           
  0.083        21.0           848.0          -113           
  0.084        22.0           923.0          -114           
  0.085        24.0           930.0          -115           
  0.085        25.0           932.0          -116           
  0.086        26.0           933.0          -117           
  0.086        27.0           1.0 k          -118           
  0.088        30.0           1.1 k          -119           
  0.088        31.0           1.1 k          -120           
  0.089        33.0           1.2 k          -121           
  0.090        35.0           1.3 k          -122           
  0.091        37.0           1.3 k          -123           
  0.093        40.0           1.4 k          -124           
  0.095        43.0           1.5 k          -125           
  0.095        44.0           1.6 k          -126           
  0.096        46.0           1.6 k          -127           
  0.099        51.0           1.8 k          -128           
  0.100        53.0           1.8 k          -129           
  0.101        54.0           1.9 k          -130           
  0.102        56.0           1.9 k          -131           
  0.105        62.0           2.1 k          -132           
  0.108        66.0           2.2 k          -133           
  0.108        67.0           2.2 k          -134           
  0.109        68.0           2.2 k          -135           
  0.110        71.0           2.3 k          -136           
  0.118        83.0           2.6 k          -137           
  0.119        85.0           2.6 k          -138           
  0.123        91.0           2.7 k          -139           
  0.130        102.0          3.0 k          -140           
  0.132        106.0          3.0 k          -141           
  0.139        118.0          3.2 k          -142           
  0.162        154.0          3.4 k          -143           
  0.166        161.0          3.6 k          -144           
  0.215        238.0          4.2 k          -145           
  0.216        240.0          4.2 k          -146           
  0.231        263.0          4.3 k          -147           
  0.444        596.0          5.7 k          -148           
  0.449        603.0          5.7 k          -149           
  0.518        713.0          6.0 k          -150           
  0.527        726.0          6.1 k          -151           
  0.527        727.0          6.1 k          -152           
  0.529        730.0          6.1 k          -153           
  0.530        732.0          6.1 k          -154           
  0.530        733.0          6.1 k          -155           
  0.570        796.0          6.3 k          -156           
  0.571        798.0          6.3 k          -157           
  0.585        820.0          6.4 k          -158           
  0.651        926.0          6.8 k          -159           
  0.651        927.0          6.8 k          -160           
  0.660        941.0          6.9 k          -161           
  0.725        1.0 k          7.2 k          -162           
  0.726        1.0 k          7.2 k          -163           
  0.727        1.0 k          7.2 k          -164           
  0.728        1.0 k          7.2 k          -165           
  0.901        1.3 k          7.9 k          -166           
  1.013        1.5 k          8.3 k          -167           
  1.016        1.5 k          8.3 k          -168           
  1.017        1.5 k          8.3 k          -169           
  1.021        1.5 k          8.3 k          -170           
  2.530        3.9 k          13.9 k         -171           
  2.531        3.9 k          13.9 k         -172           
  2.925        4.5 k          15.3 k         -173           
  2.926        4.5 k          15.3 k         -174           
  2.929        4.5 k          15.4 k         -175           
  5.062        7.8 k          23.0 k         -176           
  8.512        13.0 k         35.2 k         -177           
  8.561        13.1 k         35.4 k         -178           
  33.403       49.1 k         119.4 k        -179           
  33.404       49.1 k         119.4 k        -180           
  42.545       62.2 k         150.9 k        -181           
  45.004       65.7 k         159.2 k        -182           
  45.009       65.7 k         159.2 k        -183           
  58.409       84.8 k         204.8 k        -184           
  85.554       122.5 k        292.3 k        -185           
  89.236       127.5 k        304.2 k        -186           
  89.245       127.5 k        304.3 k        -187           
  89.246       127.5 k        304.3 k        -188           
  89.248       127.5 k        304.3 k        -189           
  730.138      968.9 k        2.3 M          -190           
  932.977      1.2 M          2.9 M          -191           
  21572.904    27.2 M         63.3 M         -192           
