printing solutions in: ./dogs-color/insts/cgshop22/reecn25913.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn25913.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 25913)...
computing neighbors (1000 / 25913)...
computing neighbors (2000 / 25913)...
computing neighbors (3000 / 25913)...
computing neighbors (4000 / 25913)...
computing neighbors (5000 / 25913)...
computing neighbors (6000 / 25913)...
computing neighbors (7000 / 25913)...
computing neighbors (8000 / 25913)...
computing neighbors (9000 / 25913)...
computing neighbors (10000 / 25913)...
computing neighbors (11000 / 25913)...
computing neighbors (12000 / 25913)...
computing neighbors (13000 / 25913)...
computing neighbors (14000 / 25913)...
computing neighbors (15000 / 25913)...
computing neighbors (16000 / 25913)...
computing neighbors (17000 / 25913)...
computing neighbors (18000 / 25913)...
computing neighbors (19000 / 25913)...
computing neighbors (20000 / 25913)...
computing neighbors (21000 / 25913)...
computing neighbors (22000 / 25913)...
computing neighbors (23000 / 25913)...
computing neighbors (24000 / 25913)...
computing neighbors (25000 / 25913)...
36450      vertices
25913      segments
284        dominations
=======================
greedy clique: 120
greedy found 120 vertices in 0.039 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.096                                      -120           
  0.098        4.0            222.0          -121           
  0.102        9.0            453.0          -122           
  0.102        10.0           454.0          -123           
  0.103        11.0           541.0          -124           
  0.104        13.0           547.0          -125           
  0.105        14.0           548.0          -126           
  0.105        15.0           634.0          -127           
  0.106        17.0           718.0          -128           
  0.107        19.0           739.0          -129           
  0.108        20.0           741.0          -130           
  0.108        21.0           742.0          -131           
  0.109        22.0           808.0          -132           
  0.110        24.0           811.0          -133           
  0.110        25.0           875.0          -134           
  0.111        27.0           937.0          -135           
  0.115        32.0           1.1 k          -136           
  0.115        33.0           1.1 k          -137           
  0.116        34.0           1.2 k          -138           
  0.116        35.0           1.2 k          -139           
  0.117        37.0           1.3 k          -140           
  0.119        39.0           1.3 k          -141           
  0.119        40.0           1.3 k          -142           
  0.120        41.0           1.3 k          -143           
  0.120        42.0           1.3 k          -144           
  0.121        43.0           1.4 k          -145           
  0.122        45.0           1.4 k          -146           
  0.122        46.0           1.4 k          -147           
  0.123        47.0           1.4 k          -148           
  0.124        49.0           1.5 k          -149           
  0.126        52.0           1.6 k          -150           
  0.127        54.0           1.6 k          -151           
  0.128        56.0           1.6 k          -152           
  0.128        57.0           1.6 k          -153           
  0.129        58.0           1.7 k          -154           
  0.130        60.0           1.7 k          -155           
  0.132        63.0           1.8 k          -156           
  0.133        65.0           1.8 k          -157           
  0.134        66.0           1.8 k          -158           
  0.134        67.0           1.8 k          -159           
  0.134        68.0           1.9 k          -160           
  0.137        72.0           2.0 k          -161           
  0.139        75.0           2.0 k          -162           
  0.140        76.0           2.0 k          -163           
  0.141        78.0           2.0 k          -164           
  0.141        79.0           2.1 k          -165           
  0.146        86.0           2.3 k          -166           
  0.147        88.0           2.3 k          -167           
  0.148        89.0           2.3 k          -168           
  0.149        91.0           2.3 k          -169           
  0.150        93.0           2.4 k          -170           
  0.153        97.0           2.5 k          -171           
  0.156        101.0          2.6 k          -172           
  0.161        109.0          2.8 k          -173           
  0.163        111.0          2.8 k          -174           
  0.168        119.0          3.0 k          -175           
  0.170        122.0          3.0 k          -176           
  0.188        146.0          3.4 k          -177           
  0.198        160.0          3.6 k          -178           
  0.200        164.0          3.6 k          -179           
  0.210        178.0          3.7 k          -180           
  0.219        190.0          3.9 k          -181           
  0.220        192.0          3.9 k          -182           
  0.285        283.0          4.5 k          -183           
  0.286        284.0          4.5 k          -184           
  0.287        286.0          4.5 k          -185           
  0.289        290.0          4.6 k          -186           
  0.329        346.0          4.8 k          -187           
  0.337        357.0          4.8 k          -188           
  0.592        710.0          5.8 k          -189           
  0.749        928.0          6.3 k          -190           
  0.754        935.0          6.3 k          -191           
  0.757        939.0          6.3 k          -192           
  0.812        1.0 k          6.5 k          -193           
  0.814        1.0 k          6.5 k          -194           
  1.178        1.5 k          8.0 k          -195           
  1.179        1.5 k          8.0 k          -196           
  1.301        1.7 k          8.4 k          -197           
  1.317        1.7 k          8.4 k          -198           
  1.317        1.7 k          8.4 k          -199           
  2.717        3.6 k          12.9 k         -200           
  2.718        3.6 k          12.9 k         -201           
  2.731        3.7 k          12.9 k         -202           
  2.742        3.7 k          12.9 k         -203           
  3.823        5.1 k          16.5 k         -204           
  7.735        10.4 k         29.7 k         -205           
  11.533       15.6 k         41.7 k         -206           
  12.644       17.1 k         45.2 k         -207           
  12.689       17.1 k         45.3 k         -208           
  12.692       17.1 k         45.3 k         -209           
  42.191       56.3 k         137.0 k        -210           
  42.840       57.2 k         138.9 k        -211           
  45.618       60.8 k         147.9 k        -212           
  57.963       76.9 k         186.7 k        -213           
  588.056      728.2 k        1.7 M          -214           
  676.423      834.5 k        1.9 M          -215           
  697.381      859.7 k        2.0 M          -216           
  697.382      859.7 k        2.0 M          -217           
  1675.066     2.0 M          4.6 M          -218           
  5711.415     6.8 M          15.1 M         -219           
  5711.417     6.8 M          15.1 M         -220           
  13006.383    15.2 M         33.8 M         -221           
