printing solutions in: ./dogs-color/insts/cgshop22/reecn3382.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn3382.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 3382)...
computing neighbors (1000 / 3382)...
computing neighbors (2000 / 3382)...
computing neighbors (3000 / 3382)...
4752       vertices
3382       segments
84         dominations
=======================
greedy clique: 39
greedy found 39 vertices in 0.002 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.002                                      -39            
  0.002        3.0            43.0           -40            
  0.002        4.0            44.0           -41            
  0.003        5.0            77.0           -42            
  0.003        8.0            114.0          -43            
  0.003        9.0            115.0          -44            
  0.003        10.0           143.0          -45            
  0.003        12.0           146.0          -46            
  0.003        13.0           169.0          -47            
  0.004        20.0           312.0          -48            
  0.004        23.0           344.0          -49            
  0.004        24.0           370.0          -50            
  0.004        27.0           419.0          -51            
  0.005        30.0           459.0          -52            
  0.006        35.0           530.0          -53            
  0.006        37.0           539.0          -54            
  0.006        38.0           550.0          -55            
  0.007        46.0           649.0          -56            
  0.007        50.0           689.0          -57            
  0.007        54.0           725.0          -58            
  0.010        87.0           858.0          -59            
  0.021        203.0          1.2 k          -60            
  0.063        626.0          2.4 k          -61            
  0.116        1.2 k          3.7 k          -62            
  0.116        1.2 k          3.7 k          -63            
  0.117        1.2 k          3.7 k          -64            
  0.122        1.2 k          3.9 k          -65            
  0.351        3.5 k          9.1 k          -66            
  0.351        3.5 k          9.1 k          -67            
  0.351        3.5 k          9.1 k          -68            
  0.352        3.5 k          9.2 k          -69            
  0.352        3.5 k          9.2 k          -70            
  28.542       262.2 k        650.9 k        -71            
  28.542       262.2 k        650.9 k        -72            
