printing solutions in: ./dogs-color/insts/cgshop22/reecn42891.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn42891.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 42891)...
computing neighbors (1000 / 42891)...
computing neighbors (2000 / 42891)...
computing neighbors (3000 / 42891)...
computing neighbors (4000 / 42891)...
computing neighbors (5000 / 42891)...
computing neighbors (6000 / 42891)...
computing neighbors (7000 / 42891)...
computing neighbors (8000 / 42891)...
computing neighbors (9000 / 42891)...
computing neighbors (10000 / 42891)...
computing neighbors (11000 / 42891)...
computing neighbors (12000 / 42891)...
computing neighbors (13000 / 42891)...
computing neighbors (14000 / 42891)...
computing neighbors (15000 / 42891)...
computing neighbors (16000 / 42891)...
computing neighbors (17000 / 42891)...
computing neighbors (18000 / 42891)...
computing neighbors (19000 / 42891)...
computing neighbors (20000 / 42891)...
computing neighbors (21000 / 42891)...
computing neighbors (22000 / 42891)...
computing neighbors (23000 / 42891)...
computing neighbors (24000 / 42891)...
computing neighbors (25000 / 42891)...
computing neighbors (26000 / 42891)...
computing neighbors (27000 / 42891)...
computing neighbors (28000 / 42891)...
computing neighbors (29000 / 42891)...
computing neighbors (30000 / 42891)...
computing neighbors (31000 / 42891)...
computing neighbors (32000 / 42891)...
computing neighbors (33000 / 42891)...
computing neighbors (34000 / 42891)...
computing neighbors (35000 / 42891)...
computing neighbors (36000 / 42891)...
computing neighbors (37000 / 42891)...
computing neighbors (38000 / 42891)...
computing neighbors (39000 / 42891)...
computing neighbors (40000 / 42891)...
computing neighbors (41000 / 42891)...
computing neighbors (42000 / 42891)...
60160      vertices
42891      segments
399        dominations
=======================
greedy clique: 209
greedy found 209 vertices in 0.131 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.325                                      -209           
  0.328        3.0            181.0          -210           
  0.333        7.0            453.0          -211           
  0.336        10.0           547.0          -212           
  0.337        11.0           639.0          -213           
  0.341        15.0           923.0          -214           
  0.348        21.0           1.4 k          -215           
  0.353        25.0           1.5 k          -216           
  0.354        26.0           1.6 k          -217           
  0.358        30.0           1.9 k          -218           
  0.363        34.0           2.1 k          -219           
  0.366        37.0           2.3 k          -220           
  0.368        39.0           2.4 k          -221           
  0.374        44.0           2.6 k          -222           
  0.375        45.0           2.7 k          -223           
  0.377        47.0           2.7 k          -224           
  0.378        48.0           2.7 k          -225           
  0.380        50.0           2.8 k          -226           
  0.385        54.0           2.9 k          -227           
  0.385        55.0           2.9 k          -228           
  0.386        56.0           3.0 k          -229           
  0.392        61.0           3.2 k          -230           
  0.404        71.0           3.8 k          -231           
  0.408        74.0           3.9 k          -232           
  0.416        81.0           4.3 k          -233           
  0.421        85.0           4.5 k          -234           
  0.432        94.0           4.9 k          -235           
  0.438        99.0           5.2 k          -236           
  0.445        105.0          5.4 k          -237           
  0.447        107.0          5.4 k          -238           
  0.458        116.0          5.8 k          -239           
  0.460        118.0          5.9 k          -240           
  0.465        122.0          6.1 k          -241           
  0.472        128.0          6.3 k          -242           
  0.487        140.0          7.0 k          -243           
  0.494        146.0          7.3 k          -244           
  0.501        152.0          7.6 k          -245           
  0.506        156.0          7.7 k          -246           
  0.509        159.0          7.8 k          -247           
  0.513        163.0          8.0 k          -248           
  0.516        166.0          8.1 k          -249           
  0.544        188.0          9.0 k          -250           
  0.552        195.0          9.2 k          -251           
  0.574        213.0          9.9 k          -252           
  0.595        230.0          10.4 k         -253           
  0.601        235.0          10.5 k         -254           
  0.633        261.0          10.9 k         -255           
  0.672        293.0          11.1 k         -256           
  1.362        841.0          14.8 k         -257           
  1.427        893.0          15.0 k         -258           
  1.434        899.0          15.0 k         -259           
  2.291        1.6 k          18.0 k         -260           
  2.407        1.7 k          18.4 k         -261           
  2.427        1.7 k          18.4 k         -262           
  2.462        1.7 k          18.6 k         -263           
  2.480        1.7 k          18.6 k         -264           
  2.494        1.7 k          18.7 k         -265           
  2.507        1.8 k          18.7 k         -266           
  2.513        1.8 k          18.7 k         -267           
  2.529        1.8 k          18.8 k         -268           
  3.399        2.5 k          21.3 k         -269           
  3.428        2.5 k          21.4 k         -270           
  3.431        2.5 k          21.4 k         -271           
  3.456        2.5 k          21.5 k         -272           
  4.715        3.5 k          25.0 k         -273           
  4.740        3.5 k          25.1 k         -274           
  4.789        3.6 k          25.2 k         -275           
  13.086       10.1 k         48.1 k         -276           
  13.091       10.1 k         48.1 k         -277           
  13.092       10.1 k         48.1 k         -278           
  20.479       15.8 k         66.8 k         -279           
  20.747       16.0 k         67.4 k         -280           
  21.182       16.4 k         68.4 k         -281           
  73.600       56.7 k         195.7 k        -282           
  299.095      226.7 k        711.5 k        -283           
  846.150      627.9 k        1.9 M          -284           
  2271.347     1.6 M          4.8 M          -285           
  2271.351     1.6 M          4.8 M          -286           
  2657.179     1.9 M          5.6 M          -287           
  3568.679     2.5 M          7.4 M          -288           
  31316.203    20.6 M         57.7 M         -289           
  31316.205    20.6 M         57.7 M         -290           
