printing solutions in: ./dogs-color/insts/cgshop22/reecn45823.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn45823.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 45823)...
computing neighbors (1000 / 45823)...
computing neighbors (2000 / 45823)...
computing neighbors (3000 / 45823)...
computing neighbors (4000 / 45823)...
computing neighbors (5000 / 45823)...
computing neighbors (6000 / 45823)...
computing neighbors (7000 / 45823)...
computing neighbors (8000 / 45823)...
computing neighbors (9000 / 45823)...
computing neighbors (10000 / 45823)...
computing neighbors (11000 / 45823)...
computing neighbors (12000 / 45823)...
computing neighbors (13000 / 45823)...
computing neighbors (14000 / 45823)...
computing neighbors (15000 / 45823)...
computing neighbors (16000 / 45823)...
computing neighbors (17000 / 45823)...
computing neighbors (18000 / 45823)...
computing neighbors (19000 / 45823)...
computing neighbors (20000 / 45823)...
computing neighbors (21000 / 45823)...
computing neighbors (22000 / 45823)...
computing neighbors (23000 / 45823)...
computing neighbors (24000 / 45823)...
computing neighbors (25000 / 45823)...
computing neighbors (26000 / 45823)...
computing neighbors (27000 / 45823)...
computing neighbors (28000 / 45823)...
computing neighbors (29000 / 45823)...
computing neighbors (30000 / 45823)...
computing neighbors (31000 / 45823)...
computing neighbors (32000 / 45823)...
computing neighbors (33000 / 45823)...
computing neighbors (34000 / 45823)...
computing neighbors (35000 / 45823)...
computing neighbors (36000 / 45823)...
computing neighbors (37000 / 45823)...
computing neighbors (38000 / 45823)...
computing neighbors (39000 / 45823)...
computing neighbors (40000 / 45823)...
computing neighbors (41000 / 45823)...
computing neighbors (42000 / 45823)...
computing neighbors (43000 / 45823)...
computing neighbors (44000 / 45823)...
computing neighbors (45000 / 45823)...
63936      vertices
45823      segments
348        dominations
=======================
greedy clique: 180
greedy found 180 vertices in 0.134 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.411                                      -180           
  0.414        3.0            126.0          -181           
  0.415        4.0            248.0          -182           
  0.417        6.0            376.0          -183           
  0.422        9.0            624.0          -184           
  0.424        11.0           742.0          -185           
  0.428        14.0           967.0          -186           
  0.432        17.0           1.1 k          -187           
  0.433        18.0           1.1 k          -188           
  0.434        19.0           1.1 k          -189           
  0.435        20.0           1.2 k          -190           
  0.438        22.0           1.2 k          -191           
  0.438        23.0           1.2 k          -192           
  0.439        24.0           1.2 k          -193           
  0.440        25.0           1.3 k          -194           
  0.443        27.0           1.3 k          -195           
  0.444        28.0           1.3 k          -196           
  0.445        29.0           1.4 k          -197           
  0.447        31.0           1.5 k          -198           
  0.456        37.0           2.1 k          -199           
  0.460        40.0           2.2 k          -200           
  0.460        41.0           2.2 k          -201           
  0.461        42.0           2.2 k          -202           
  0.462        43.0           2.2 k          -203           
  0.463        44.0           2.3 k          -204           
  0.467        47.0           2.4 k          -205           
  0.468        48.0           2.5 k          -206           
  0.471        50.0           2.6 k          -207           
  0.475        53.0           2.8 k          -208           
  0.480        57.0           3.1 k          -209           
  0.482        59.0           3.1 k          -210           
  0.484        60.0           3.1 k          -211           
  0.484        61.0           3.2 k          -212           
  0.490        65.0           3.4 k          -213           
  0.491        66.0           3.5 k          -214           
  0.495        69.0           3.7 k          -215           
  0.499        72.0           3.8 k          -216           
  0.500        73.0           3.8 k          -217           
  0.503        76.0           4.0 k          -218           
  0.504        77.0           4.0 k          -219           
  0.505        78.0           4.0 k          -220           
  0.515        85.0           4.6 k          -221           
  0.527        93.0           5.2 k          -222           
  0.528        94.0           5.2 k          -223           
  0.530        96.0           5.2 k          -224           
  0.531        97.0           5.2 k          -225           
  0.532        98.0           5.3 k          -226           
  0.533        99.0           5.3 k          -227           
  0.542        105.0          5.7 k          -228           
  0.545        108.0          5.8 k          -229           
  0.546        109.0          5.9 k          -230           
  0.550        112.0          6.0 k          -231           
  0.554        115.0          6.1 k          -232           
  0.567        124.0          6.6 k          -233           
  0.580        131.0          7.0 k          -234           
  0.582        133.0          7.1 k          -235           
  0.590        139.0          7.3 k          -236           
  0.591        140.0          7.3 k          -237           
