printing solutions in: ./dogs-color/insts/cgshop22/reecn63079.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn63079.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 63079)...
computing neighbors (1000 / 63079)...
computing neighbors (2000 / 63079)...
computing neighbors (3000 / 63079)...
computing neighbors (4000 / 63079)...
computing neighbors (5000 / 63079)...
computing neighbors (6000 / 63079)...
computing neighbors (7000 / 63079)...
computing neighbors (8000 / 63079)...
computing neighbors (9000 / 63079)...
computing neighbors (10000 / 63079)...
computing neighbors (11000 / 63079)...
computing neighbors (12000 / 63079)...
computing neighbors (13000 / 63079)...
computing neighbors (14000 / 63079)...
computing neighbors (15000 / 63079)...
computing neighbors (16000 / 63079)...
computing neighbors (17000 / 63079)...
computing neighbors (18000 / 63079)...
computing neighbors (19000 / 63079)...
computing neighbors (20000 / 63079)...
computing neighbors (21000 / 63079)...
computing neighbors (22000 / 63079)...
computing neighbors (23000 / 63079)...
computing neighbors (24000 / 63079)...
computing neighbors (25000 / 63079)...
computing neighbors (26000 / 63079)...
computing neighbors (27000 / 63079)...
computing neighbors (28000 / 63079)...
computing neighbors (29000 / 63079)...
computing neighbors (30000 / 63079)...
computing neighbors (31000 / 63079)...
computing neighbors (32000 / 63079)...
computing neighbors (33000 / 63079)...
computing neighbors (34000 / 63079)...
computing neighbors (35000 / 63079)...
computing neighbors (36000 / 63079)...
computing neighbors (37000 / 63079)...
computing neighbors (38000 / 63079)...
computing neighbors (39000 / 63079)...
computing neighbors (40000 / 63079)...
computing neighbors (41000 / 63079)...
computing neighbors (42000 / 63079)...
computing neighbors (43000 / 63079)...
computing neighbors (44000 / 63079)...
computing neighbors (45000 / 63079)...
computing neighbors (46000 / 63079)...
computing neighbors (47000 / 63079)...
computing neighbors (48000 / 63079)...
computing neighbors (49000 / 63079)...
computing neighbors (50000 / 63079)...
computing neighbors (51000 / 63079)...
computing neighbors (52000 / 63079)...
computing neighbors (53000 / 63079)...
computing neighbors (54000 / 63079)...
computing neighbors (55000 / 63079)...
computing neighbors (56000 / 63079)...
computing neighbors (57000 / 63079)...
computing neighbors (58000 / 63079)...
computing neighbors (59000 / 63079)...
computing neighbors (60000 / 63079)...
computing neighbors (61000 / 63079)...
computing neighbors (62000 / 63079)...
computing neighbors (63000 / 63079)...
87910      vertices
63079      segments
338        dominations
=======================
greedy clique: 144
greedy found 144 vertices in 0.126 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.329                                      -144           
  0.332        3.0            412.0          -145           
  0.334        4.0            424.0          -146           
  0.335        5.0            434.0          -147           
  0.336        6.0            443.0          -148           
  0.337        7.0            451.0          -149           
  0.338        8.0            456.0          -150           
  0.339        9.0            460.0          -151           
  0.340        10.0           463.0          -152           
  0.344        11.0           465.0          -153           
  0.345        12.0           754.0          -154           
  0.348        14.0           771.0          -155           
  0.349        15.0           775.0          -156           
  0.350        16.0           777.0          -157           
  0.351        17.0           778.0          -158           
  0.352        18.0           1.0 k          -159           
  0.357        21.0           1.3 k          -160           
  0.358        22.0           1.6 k          -161           
  0.361        24.0           1.6 k          -162           
  0.362        25.0           1.6 k          -163           
  0.363        26.0           1.6 k          -164           
  0.364        27.0           1.9 k          -165           
  0.368        30.0           2.1 k          -166           
  0.369        31.0           2.1 k          -167           
  0.370        32.0           2.1 k          -168           
  0.372        33.0           2.1 k          -169           
  0.373        34.0           2.4 k          -170           
  0.375        36.0           2.4 k          -171           
  0.376        37.0           2.4 k          -172           
  0.377        38.0           2.4 k          -173           
  0.378        39.0           2.6 k          -174           
  0.381        41.0           2.8 k          -175           
  0.389        46.0           3.4 k          -176           
  0.390        47.0           3.5 k          -177           
  0.393        49.0           3.6 k          -178           
  0.394        50.0           3.6 k          -179           
  0.395        51.0           3.7 k          -180           
  0.399        54.0           3.9 k          -181           
  0.400        55.0           3.9 k          -182           
  0.401        56.0           4.1 k          -183           
  0.404        58.0           4.3 k          -184           
  0.407        60.0           4.3 k          -185           
  0.408        61.0           4.3 k          -186           
  0.409        62.0           4.4 k          -187           
  0.411        64.0           4.5 k          -188           
  0.412        65.0           4.5 k          -189           
  0.413        66.0           4.5 k          -190           
  0.414        67.0           4.6 k          -191           
  0.421        71.0           5.1 k          -192           
  0.431        77.0           5.8 k          -193           
  0.441        83.0           6.6 k          -194           
  0.447        87.0           6.9 k          -195           
  0.448        88.0           6.9 k          -196           
  0.449        89.0           7.0 k          -197           
  0.452        91.0           7.0 k          -198           
  0.453        92.0           7.2 k          -199           
  0.465        99.0           8.0 k          -200           
  0.467        101.0          8.0 k          -201           
  0.468        102.0          8.1 k          -202           
  0.473        105.0          8.3 k          -203           
  0.474        106.0          8.4 k          -204           
  0.477        108.0          8.5 k          -205           
  0.481        111.0          8.8 k          -206           
  0.485        114.0          8.9 k          -207           
  0.486        115.0          9.0 k          -208           
  0.489        117.0          9.1 k          -209           
  0.496        122.0          9.6 k          -210           
  0.504        127.0          9.9 k          -211           
  0.505        128.0          9.9 k          -212           
  0.506        129.0          9.9 k          -213           
  0.507        130.0          10.0 k         -214           
  0.511        133.0          10.2 k         -215           
  0.515        136.0          10.4 k         -216           
  0.521        140.0          10.6 k         -217           
  0.526        143.0          10.7 k         -218           
  0.527        144.0          10.8 k         -219           
  0.531        147.0          10.9 k         -220           
  0.533        148.0          10.9 k         -221           
  0.534        149.0          11.0 k         -222           
  0.540        153.0          11.2 k         -223           
  0.544        156.0          11.3 k         -224           
  0.545        157.0          11.3 k         -225           
  0.546        158.0          11.4 k         -226           
  0.549        160.0          11.4 k         -227           
  0.565        170.0          12.0 k         -228           
  0.571        174.0          12.2 k         -229           
  0.582        181.0          12.5 k         -230           
  0.583        182.0          12.6 k         -231           
  0.586        184.0          12.6 k         -232           
  0.600        193.0          13.1 k         -233           
  0.637        215.0          14.1 k         -234           
  0.655        226.0          14.4 k         -235           
  0.665        232.0          14.6 k         -236           
  0.676        239.0          14.8 k         -237           
  0.709        259.0          15.3 k         -238           
  0.722        267.0          15.4 k         -239           
  0.795        311.0          16.0 k         -240           
  0.796        312.0          16.0 k         -241           
  0.802        316.0          16.0 k         -242           
  0.878        360.0          16.4 k         -243           
  0.881        362.0          16.4 k         -244           
  0.886        365.0          16.5 k         -245           
  1.215        563.0          18.5 k         -246           
  1.345        641.0          19.1 k         -247           
  1.348        643.0          19.1 k         -248           
  1.351        645.0          19.1 k         -249           
  1.366        652.0          19.1 k         -250           
  2.356        1.2 k          22.3 k         -251           
  2.367        1.3 k          22.3 k         -252           
  2.508        1.3 k          22.5 k         -253           
  2.509        1.3 k          22.5 k         -254           
  2.519        1.3 k          22.6 k         -255           
  2.994        1.6 k          23.4 k         -256           
  3.104        1.7 k          23.7 k         -257           
  3.142        1.7 k          23.7 k         -258           
  7.062        4.0 k          30.4 k         -259           
  7.070        4.0 k          30.4 k         -260           
  7.075        4.1 k          30.4 k         -261           
  19.942       11.6 k         49.6 k         -262           
  64.795       37.4 k         114.2 k        -263           
  64.812       37.4 k         114.2 k        -264           
  70.294       40.6 k         121.8 k        -265           
  70.304       40.6 k         121.8 k        -266           
  112.321      65.0 k         181.4 k        -267           
  112.352      65.0 k         181.5 k        -268           
  112.366      65.0 k         181.5 k        -269           
  248.679      142.8 k        373.7 k        -270           
  481.799      274.8 k        696.6 k        -271           
  482.418      275.1 k        697.4 k        -272           
  754.883      427.6 k        1.1 M          -273           
  755.008      427.7 k        1.1 M          -274           
  755.012      427.7 k        1.1 M          -275           
  872.998      492.5 k        1.2 M          -276           
  4731.893     2.6 M          6.1 M          -277           
  4731.901     2.6 M          6.1 M          -278           
  4791.620     2.6 M          6.1 M          -279           
  4793.083     2.6 M          6.1 M          -280           
  4890.399     2.7 M          6.3 M          -281           
  5153.480     2.8 M          6.6 M          -282           
  5153.563     2.8 M          6.6 M          -283           
  5153.566     2.8 M          6.6 M          -284           
  5153.571     2.8 M          6.6 M          -285           
  6614.311     3.6 M          8.4 M          -286           
  15037.707    8.0 M          18.8 M         -287           
  18403.266    9.7 M          22.8 M         -288           
  31738.598    16.7 M         38.6 M         -289           
  88321.102    46.0 M         105.4 M        -290           
