printing solutions in: ./dogs-color/insts/cgshop22/reecn6910.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn6910.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 6910)...
computing neighbors (1000 / 6910)...
computing neighbors (2000 / 6910)...
computing neighbors (3000 / 6910)...
computing neighbors (4000 / 6910)...
computing neighbors (5000 / 6910)...
computing neighbors (6000 / 6910)...
9750       vertices
6910       segments
110        dominations
=======================
greedy clique: 65
greedy found 65 vertices in 0.007 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.008                                      -65            
  0.009        3.0            92.0           -66            
  0.009        4.0            95.0           -67            
  0.009        5.0            97.0           -68            
  0.009        6.0            98.0           -69            
  0.009        7.0            158.0          -70            
  0.010        11.0           279.0          -71            
  0.010        12.0           336.0          -72            
  0.010        15.0           447.0          -73            
  0.011        17.0           451.0          -74            
  0.011        18.0           510.0          -75            
  0.011        21.0           571.0          -76            
  0.012        22.0           619.0          -77            
  0.012        24.0           626.0          -78            
  0.012        25.0           627.0          -79            
  0.012        26.0           670.0          -80            
  0.013        29.0           715.0          -81            
  0.013        30.0           757.0          -82            
  0.013        32.0           795.0          -83            
  0.013        34.0           806.0          -84            
  0.014        35.0           810.0          -85            
  0.014        36.0           813.0          -86            
  0.014        37.0           815.0          -87            
  0.014        38.0           816.0          -88            
  0.014        39.0           842.0          -89            
  0.015        42.0           891.0          -90            
  0.015        44.0           913.0          -91            
  0.015        47.0           953.0          -92            
  0.017        55.0           1.1 k          -93            
  0.023        83.0           1.3 k          -94            
  0.025        96.0           1.4 k          -95            
  0.040        174.0          1.8 k          -96            
  0.044        197.0          1.9 k          -97            
  0.046        204.0          1.9 k          -98            
  0.060        278.0          2.3 k          -99            
  0.064        301.0          2.4 k          -100           
  0.066        311.0          2.4 k          -101           
  0.100        482.0          3.0 k          -102           
  0.116        562.0          3.3 k          -103           
  0.116        563.0          3.3 k          -104           
  0.131        641.0          3.6 k          -105           
  0.132        642.0          3.6 k          -106           
  0.164        804.0          4.0 k          -107           
  0.166        814.0          4.0 k          -108           
  8.432        41.6 k         111.9 k        -109           
  8.434        41.7 k         111.9 k        -110           
  9.695        47.8 k         127.4 k        -111           
