printing solutions in: ./dogs-color/insts/cgshop22/reecn9674.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn9674.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 9674)...
computing neighbors (1000 / 9674)...
computing neighbors (2000 / 9674)...
computing neighbors (3000 / 9674)...
computing neighbors (4000 / 9674)...
computing neighbors (5000 / 9674)...
computing neighbors (6000 / 9674)...
computing neighbors (7000 / 9674)...
computing neighbors (8000 / 9674)...
computing neighbors (9000 / 9674)...
13650      vertices
9674       segments
154        dominations
=======================
greedy clique: 82
greedy found 82 vertices in 0.010 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.012                                      -82            
  0.013        4.0            102.0          -83            
  0.013        6.0            138.0          -84            
  0.014        9.0            177.0          -85            
  0.014        10.0           178.0          -86            
  0.014        11.0           210.0          -87            
  0.015        13.0           242.0          -88            
  0.017        22.0           500.0          -89            
  0.017        24.0           532.0          -90            
  0.018        27.0           597.0          -91            
  0.019        30.0           633.0          -92            
  0.019        31.0           659.0          -93            
  0.019        33.0           686.0          -94            
  0.020        35.0           713.0          -95            
  0.024        51.0           1.0 k          -96            
  0.029        71.0           1.2 k          -97            
  0.034        89.0           1.4 k          -98            
  0.037        102.0          1.4 k          -99            
  0.037        103.0          1.4 k          -100           
  0.037        104.0          1.4 k          -101           
  0.038        108.0          1.4 k          -102           
  0.043        128.0          1.6 k          -103           
  0.044        130.0          1.6 k          -104           
  0.059        187.0          1.9 k          -105           
  0.104        360.0          2.5 k          -106           
  0.105        366.0          2.5 k          -107           
  0.172        622.0          3.4 k          -108           
  0.172        624.0          3.4 k          -109           
  0.173        628.0          3.4 k          -110           
  0.195        713.0          3.6 k          -111           
  0.249        921.0          4.2 k          -112           
  0.249        922.0          4.2 k          -113           
  0.344        1.3 k          5.3 k          -114           
  0.345        1.3 k          5.3 k          -115           
  0.463        1.7 k          6.3 k          -116           
  0.554        2.1 k          7.2 k          -117           
  2.174        8.2 k          22.1 k         -118           
  2.216        8.3 k          22.5 k         -119           
  2.218        8.3 k          22.5 k         -120           
  2.529        9.5 k          25.1 k         -121           
  2.530        9.5 k          25.1 k         -122           
  2.692        10.1 k         26.5 k         -123           
  2.692        10.1 k         26.5 k         -124           
  2.986        11.2 k         28.7 k         -125           
  5.944        22.2 k         52.5 k         -126           
  9.296        34.5 k         78.6 k         -127           
  9.508        35.3 k         80.2 k         -128           
  341.097      1.1 M          2.5 M          -129           
