printing solutions in: ./dogs-color/insts/cgshop22/rsqrp23406.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/rsqrp23406.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 23406)...
computing neighbors (1000 / 23406)...
computing neighbors (2000 / 23406)...
computing neighbors (3000 / 23406)...
computing neighbors (4000 / 23406)...
computing neighbors (5000 / 23406)...
computing neighbors (6000 / 23406)...
computing neighbors (7000 / 23406)...
computing neighbors (8000 / 23406)...
computing neighbors (9000 / 23406)...
computing neighbors (10000 / 23406)...
computing neighbors (11000 / 23406)...
computing neighbors (12000 / 23406)...
computing neighbors (13000 / 23406)...
computing neighbors (14000 / 23406)...
computing neighbors (15000 / 23406)...
computing neighbors (16000 / 23406)...
computing neighbors (17000 / 23406)...
computing neighbors (18000 / 23406)...
computing neighbors (19000 / 23406)...
computing neighbors (20000 / 23406)...
computing neighbors (21000 / 23406)...
computing neighbors (22000 / 23406)...
computing neighbors (23000 / 23406)...
421        vertices
23406      segments
5204       dominations
=======================
greedy clique: 88
greedy found 88 vertices in 0.036 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.085                                      -88            
  0.089        7.0            1.6 k          -89            
  0.090        8.0            1.9 k          -90            
  0.092        12.0           2.4 k          -91            
  0.093        13.0           2.4 k          -92            
  0.093        14.0           2.7 k          -93            
  0.094        16.0           2.7 k          -94            
  0.095        17.0           2.7 k          -95            
  0.095        18.0           2.9 k          -96            
  0.097        20.0           2.9 k          -97            
  0.097        21.0           3.1 k          -98            
  0.102        28.0           4.3 k          -99            
  0.103        30.0           4.5 k          -100           
  0.114        45.0           6.9 k          -101           
  0.134        72.0           10.8 k         -102           
  0.138        78.0           11.5 k         -103           
  0.142        84.0           12.3 k         -104           
  0.151        96.0           13.8 k         -105           
  0.154        101.0          14.3 k         -106           
  0.155        103.0          14.4 k         -107           
  0.158        107.0          14.8 k         -108           
  0.170        124.0          16.6 k         -109           
  0.172        126.0          16.7 k         -110           
  0.173        128.0          16.8 k         -111           
  0.182        141.0          17.9 k         -112           
  0.185        145.0          18.2 k         -113           
  0.194        158.0          19.1 k         -114           
  0.195        159.0          19.1 k         -115           
  0.195        160.0          19.2 k         -116           
  0.198        164.0          19.5 k         -117           
  0.208        178.0          20.4 k         -118           
  0.212        183.0          20.7 k         -119           
  0.225        201.0          21.7 k         -120           
  0.226        203.0          21.8 k         -121           
  0.228        206.0          21.9 k         -122           
  0.231        210.0          22.0 k         -123           
  0.236        217.0          22.3 k         -124           
  0.252        239.0          23.3 k         -125           
  0.254        242.0          23.3 k         -126           
  0.261        252.0          23.6 k         -127           
  0.262        254.0          23.7 k         -128           
  0.299        303.0          24.8 k         -129           
  0.321        333.0          24.9 k         -130           
  0.333        350.0          25.1 k         -131           
  0.335        353.0          25.1 k         -132           
  0.335        354.0          25.1 k         -133           
  0.373        405.0          25.5 k         -134           
  0.376        410.0          25.5 k         -135           
  0.387        424.0          25.6 k         -136           
  0.403        446.0          25.9 k         -137           
  0.433        487.0          26.3 k         -138           
  0.502        579.0          26.7 k         -139           
  0.618        733.0          27.7 k         -140           
  0.619        735.0          27.7 k         -141           
  0.870        1.1 k          29.7 k         -142           
  0.886        1.1 k          29.8 k         -143           
  2.868        3.7 k          44.6 k         -144           
  2.894        3.7 k          44.8 k         -145           
  5.813        7.5 k          64.5 k         -146           
  50.415       63.2 k         359.5 k        -147           
  144.607      175.6 k        943.0 k        -148           
  220.693      262.9 k        1.4 M          -149           
  275.534      324.9 k        1.7 M          -150           
  386.039      446.8 k        2.3 M          -151           
  463.348      530.5 k        2.8 M          -152           
  735.510      823.1 k        4.3 M          -153           
