printing solutions in: ./dogs-color/insts/cgshop22/rsqrp4637.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/rsqrp4637.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 4637)...
computing neighbors (1000 / 4637)...
computing neighbors (2000 / 4637)...
computing neighbors (3000 / 4637)...
computing neighbors (4000 / 4637)...
234        vertices
4637       segments
658        dominations
=======================
greedy clique: 41
greedy found 41 vertices in 0.004 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.004                                      -41            
  0.004        3.0            248.0          -42            
  0.004        5.0            361.0          -43            
  0.005        8.0            481.0          -44            
  0.005        9.0            579.0          -45            
  0.005        11.0           678.0          -46            
  0.006        15.0           881.0          -47            
  0.006        16.0           964.0          -48            
  0.006        18.0           1.0 k          -49            
  0.006        21.0           1.2 k          -50            
  0.007        28.0           1.6 k          -51            
  0.009        36.0           2.1 k          -52            
  0.011        51.0           2.9 k          -53            
  0.011        52.0           3.0 k          -54            
  0.013        67.0           3.7 k          -55            
  0.014        70.0           3.8 k          -56            
  0.014        71.0           3.8 k          -57            
  0.016        85.0           4.2 k          -58            
  0.018        100.0          4.5 k          -59            
  0.018        102.0          4.6 k          -60            
  0.022        126.0          4.8 k          -61            
  0.022        127.0          4.8 k          -62            
  0.025        150.0          5.0 k          -63            
  0.025        151.0          5.0 k          -64            
  0.027        161.0          5.1 k          -65            
  0.036        222.0          5.4 k          -66            
  0.039        240.0          5.5 k          -67            
  0.040        247.0          5.5 k          -68            
  0.112        719.0          7.8 k          -69            
  0.234        1.5 k          11.6 k         -70            
  0.234        1.5 k          11.6 k         -71            
  0.255        1.6 k          12.3 k         -72            
  0.264        1.7 k          12.6 k         -73            
  0.289        1.9 k          13.3 k         -74            
