printing solutions in: ./dogs-color/insts/cgshop22/rsqrpecn8051.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/rsqrpecn8051.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 8051)...
computing neighbors (1000 / 8051)...
computing neighbors (2000 / 8051)...
computing neighbors (3000 / 8051)...
computing neighbors (4000 / 8051)...
computing neighbors (5000 / 8051)...
computing neighbors (6000 / 8051)...
computing neighbors (7000 / 8051)...
computing neighbors (8000 / 8051)...
11814      vertices
8051       segments
148        dominations
=======================
greedy clique: 97
greedy found 97 vertices in 0.014 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.019                                      -97            
  0.020        4.0            236.0          -98            
  0.020        5.0            239.0          -99            
  0.021        6.0            241.0          -100           
  0.021        7.0            242.0          -101           
  0.021        8.0            341.0          -102           
  0.021        10.0           357.0          -103           
  0.022        11.0           362.0          -104           
  0.022        12.0           366.0          -105           
  0.022        13.0           369.0          -106           
  0.022        14.0           370.0          -107           
  0.022        15.0           448.0          -108           
  0.023        17.0           473.0          -109           
  0.023        18.0           482.0          -110           
  0.023        19.0           489.0          -111           
  0.023        20.0           493.0          -112           
  0.024        21.0           495.0          -113           
  0.024        22.0           496.0          -114           
  0.024        23.0           556.0          -115           
  0.024        25.0           561.0          -116           
  0.025        26.0           622.0          -117           
  0.025        28.0           627.0          -118           
  0.025        29.0           628.0          -119           
  0.026        30.0           687.0          -120           
  0.026        32.0           744.0          -121           
  0.026        34.0           797.0          -122           
  0.027        38.0           952.0          -123           
  0.028        40.0           957.0          -124           
  0.028        41.0           1.0 k          -125           
  0.031        51.0           1.4 k          -126           
  0.031        54.0           1.4 k          -127           
  0.032        55.0           1.5 k          -128           
  0.034        63.0           1.8 k          -129           
  0.036        71.0           2.0 k          -130           
  0.036        72.0           2.1 k          -131           
  0.038        79.0           2.3 k          -132           
  0.040        88.0           2.5 k          -133           
  0.041        90.0           2.5 k          -134           
  0.044        104.0          2.9 k          -135           
  0.046        111.0          3.0 k          -136           
  0.048        118.0          3.1 k          -137           
  0.049        123.0          3.2 k          -138           
  0.064        177.0          3.4 k          -139           
  0.064        180.0          3.4 k          -140           
  0.065        181.0          3.4 k          -141           
  0.065        182.0          3.4 k          -142           
  0.065        185.0          3.4 k          -143           
  0.067        192.0          3.5 k          -144           
  0.068        196.0          3.5 k          -145           
  0.078        233.0          3.7 k          -146           
  0.094        293.0          4.0 k          -147           
  0.095        294.0          4.0 k          -148           
  0.097        304.0          4.0 k          -149           
  0.098        307.0          4.1 k          -150           
  0.103        326.0          4.2 k          -151           
  0.143        471.0          4.9 k          -152           
  0.279        968.0          6.7 k          -153           
  0.279        969.0          6.7 k          -154           
  0.281        975.0          6.7 k          -155           
  0.300        1.0 k          6.9 k          -156           
  0.317        1.1 k          7.1 k          -157           
  0.465        1.6 k          9.2 k          -158           
  0.508        1.8 k          9.7 k          -159           
  0.576        2.0 k          10.6 k         -160           
  0.751        2.7 k          12.8 k         -161           
  2.202        7.9 k          30.8 k         -162           
  4.831        17.2 k         60.0 k         -163           
  4.871        17.4 k         60.5 k         -164           
  5.976        21.3 k         72.0 k         -165           
  6.234        22.2 k         74.8 k         -166           
  30.011       104.8 k        317.5 k        -167           
  52.097       179.5 k        535.2 k        -168           
  148.738      499.9 k        1.5 M          -169           
  908.516      2.9 M          8.5 M          -170           
  36637.500    112.3 M        319.9 M        -171           
  48469.613    147.8 M        419.5 M        -172           
