printing solutions in: ./dogs-color/insts/cgshop22/rvisp12844.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/rvisp12844.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 12844)...
computing neighbors (1000 / 12844)...
computing neighbors (2000 / 12844)...
computing neighbors (3000 / 12844)...
computing neighbors (4000 / 12844)...
computing neighbors (5000 / 12844)...
computing neighbors (6000 / 12844)...
computing neighbors (7000 / 12844)...
computing neighbors (8000 / 12844)...
computing neighbors (9000 / 12844)...
computing neighbors (10000 / 12844)...
computing neighbors (11000 / 12844)...
computing neighbors (12000 / 12844)...
423        vertices
12844      segments
6157       dominations
=======================
greedy clique: 25
greedy found 25 vertices in 0.003 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.008                                      -25            
  0.009        6.0            475.0          -26            
  0.010        11.0           819.0          -27            
  0.011        14.0           993.0          -28            
  0.012        17.0           1.2 k          -29            
  0.012        20.0           1.3 k          -30            
  0.013        22.0           1.4 k          -31            
  0.013        24.0           1.4 k          -32            
  0.013        25.0           1.5 k          -33            
  0.015        33.0           1.9 k          -34            
  0.016        38.0           2.1 k          -35            
  0.016        39.0           2.1 k          -36            
  0.018        48.0           2.5 k          -37            
  0.018        49.0           2.5 k          -38            
  0.018        50.0           2.6 k          -39            
  0.020        57.0           2.8 k          -40            
  0.021        62.0           2.9 k          -41            
  0.022        68.0           3.0 k          -42            
  0.023        75.0           3.0 k          -43            
  0.476        2.0 k          12.7 k         -44            
  23.409       89.8 k         415.2 k        -45            
  310.844      1.2 M          5.3 M          -46            
  2992.257     11.3 M         51.2 M         -47            
  86819.680    327.1 M        1.5 B          -48            
