printing solutions in: ./dogs-color/insts/cgshop22/rvispecn6048.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/rvispecn6048.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 6048)...
computing neighbors (1000 / 6048)...
computing neighbors (2000 / 6048)...
computing neighbors (3000 / 6048)...
computing neighbors (4000 / 6048)...
computing neighbors (5000 / 6048)...
computing neighbors (6000 / 6048)...
8570       vertices
6048       segments
193        dominations
=======================
greedy clique: 24
greedy found 24 vertices in 0.002 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.002                                      -24            
  0.002        3.0            66.0           -25            
  0.002        4.0            70.0           -26            
  0.002        5.0            71.0           -27            
  0.003        6.0            101.0          -28            
  0.003        9.0            154.0          -29            
  0.003        14.0           246.0          -30            
  0.003        15.0           275.0          -31            
  0.004        17.0           303.0          -32            
  0.004        22.0           381.0          -33            
  0.004        23.0           404.0          -34            
  0.005        28.0           467.0          -35            
  0.005        29.0           481.0          -36            
  0.006        39.0           616.0          -37            
  0.007        43.0           645.0          -38            
  0.010        75.0           818.0          -39            
  0.011        82.0           846.0          -40            
  0.012        91.0           883.0          -41            
  0.012        92.0           886.0          -42            
  0.012        94.0           890.0          -43            
  0.013        98.0           908.0          -44            
  0.016        128.0          1.0 k          -45            
  0.017        132.0          1.0 k          -46            
  0.017        137.0          1.1 k          -47            
  0.104        880.0          2.8 k          -48            
  0.104        882.0          2.8 k          -49            
  0.611        5.1 k          11.5 k         -50            
  0.612        5.1 k          11.5 k         -51            
  0.679        5.7 k          12.6 k         -52            
  0.722        6.1 k          13.2 k         -53            
  19.940       152.6 k        291.6 k        -54            
  20.792       158.9 k        303.0 k        -55            
  24.193       183.4 k        351.0 k        -56            
  99.344       736.6 k        1.4 M          -57            
  99.345       736.6 k        1.4 M          -58            
  99.345       736.6 k        1.4 M          -59            
  99.345       736.6 k        1.4 M          -60            
  99.345       736.6 k        1.4 M          -61            
  99.346       736.6 k        1.4 M          -62            
  99.398       737.0 k        1.4 M          -63            
  99.399       737.0 k        1.4 M          -64            
  99.579       738.4 k        1.4 M          -65            
  101.426      752.4 k        1.5 M          -66            
  107.564      799.0 k        1.5 M          -67            
  133.551      995.1 k        1.9 M          -68            
