printing solutions in: ./dogs-color/insts/cgshop22/sqrp12451.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrp12451.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 12451)...
computing neighbors (1000 / 12451)...
computing neighbors (2000 / 12451)...
computing neighbors (3000 / 12451)...
computing neighbors (4000 / 12451)...
computing neighbors (5000 / 12451)...
computing neighbors (6000 / 12451)...
computing neighbors (7000 / 12451)...
computing neighbors (8000 / 12451)...
computing neighbors (9000 / 12451)...
computing neighbors (10000 / 12451)...
computing neighbors (11000 / 12451)...
computing neighbors (12000 / 12451)...
365        vertices
12451      segments
2138       dominations
=======================
greedy clique: 70
greedy found 70 vertices in 0.012 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.017                                      -70            
  0.017        3.0            285.0          -71            
  0.018        4.0            560.0          -72            
  0.018        6.0            830.0          -73            
  0.019        8.0            839.0          -74            
  0.019        9.0            1.1 k          -75            
  0.020        13.0           1.8 k          -76            
  0.021        15.0           1.8 k          -77            
  0.021        16.0           2.0 k          -78            
  0.022        20.0           2.6 k          -79            
  0.023        22.0           2.8 k          -80            
  0.024        26.0           3.4 k          -81            
  0.026        30.0           3.9 k          -82            
  0.026        31.0           4.1 k          -83            
  0.027        34.0           4.4 k          -84            
  0.027        36.0           4.6 k          -85            
  0.028        39.0           4.9 k          -86            
  0.033        54.0           7.0 k          -87            
  0.034        56.0           7.0 k          -88            
  0.034        57.0           7.2 k          -89            
  0.039        73.0           9.1 k          -90            
  0.041        78.0           9.6 k          -91            
  0.046        93.0           11.4 k         -92            
  0.047        96.0           11.6 k         -93            
  0.048        100.0          12.0 k         -94            
  0.049        102.0          12.1 k         -95            
  0.050        104.0          12.2 k         -96            
  0.050        106.0          12.3 k         -97            
  0.059        131.0          14.5 k         -98            
  0.077        183.0          18.4 k         -99            
  0.077        184.0          18.4 k         -100           
  0.078        186.0          18.5 k         -101           
  0.079        190.0          18.6 k         -102           
  0.089        218.0          19.7 k         -103           
  0.091        225.0          19.9 k         -104           
  0.097        242.0          20.4 k         -105           
  0.100        252.0          20.7 k         -106           
  0.104        263.0          21.0 k         -107           
  0.110        282.0          21.3 k         -108           
  0.121        313.0          21.5 k         -109           
  0.125        326.0          21.6 k         -110           
  0.144        379.0          21.9 k         -111           
  0.173        464.0          22.2 k         -112           
  0.266        728.0          23.8 k         -113           
  0.268        735.0          23.8 k         -114           
  0.271        743.0          23.9 k         -115           
  0.277        759.0          24.0 k         -116           
  0.283        776.0          24.0 k         -117           
  0.705        2.0 k          30.2 k         -118           
  0.707        2.0 k          30.2 k         -119           
  0.708        2.0 k          30.2 k         -120           
  3.160        8.7 k          68.2 k         -121           
  27.738       73.6 k         426.6 k        -122           
  82.589       214.4 k        1.2 M          -123           
  99.780       257.6 k        1.4 M          -124           
  140.536      357.5 k        2.0 M          -125           
  492.374      1.2 M          6.7 M          -126           
  2587.448     6.1 M          33.5 M         -127           
