printing solutions in: ./dogs-color/insts/cgshop22/sqrp18603.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrp18603.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 18603)...
computing neighbors (1000 / 18603)...
computing neighbors (2000 / 18603)...
computing neighbors (3000 / 18603)...
computing neighbors (4000 / 18603)...
computing neighbors (5000 / 18603)...
computing neighbors (6000 / 18603)...
computing neighbors (7000 / 18603)...
computing neighbors (8000 / 18603)...
computing neighbors (9000 / 18603)...
computing neighbors (10000 / 18603)...
computing neighbors (11000 / 18603)...
computing neighbors (12000 / 18603)...
computing neighbors (13000 / 18603)...
computing neighbors (14000 / 18603)...
computing neighbors (15000 / 18603)...
computing neighbors (16000 / 18603)...
computing neighbors (17000 / 18603)...
computing neighbors (18000 / 18603)...
436        vertices
18603      segments
3472       dominations
=======================
greedy clique: 74
greedy found 74 vertices in 0.018 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.032                                      -74            
  0.034        4.0            837.0          -75            
  0.034        5.0            838.0          -76            
  0.035        6.0            1.2 k          -77            
  0.036        9.0            1.7 k          -78            
  0.036        10.0           1.7 k          -79            
  0.037        11.0           1.7 k          -80            
  0.037        12.0           2.0 k          -81            
  0.039        15.0           2.4 k          -82            
  0.039        16.0           2.7 k          -83            
  0.040        18.0           3.1 k          -84            
  0.041        20.0           3.1 k          -85            
  0.041        21.0           3.1 k          -86            
  0.041        22.0           3.1 k          -87            
  0.042        23.0           3.3 k          -88            
  0.042        25.0           3.3 k          -89            
  0.043        26.0           3.6 k          -90            
  0.045        30.0           4.1 k          -91            
  0.045        31.0           4.1 k          -92            
  0.045        32.0           4.1 k          -93            
  0.046        33.0           4.3 k          -94            
  0.046        35.0           4.3 k          -95            
  0.047        36.0           4.5 k          -96            
  0.048        38.0           4.7 k          -97            
  0.049        41.0           5.1 k          -98            
  0.050        44.0           5.2 k          -99            
  0.051        45.0           5.4 k          -100           
  0.061        67.0           8.9 k          -101           
  0.062        68.0           9.1 k          -102           
  0.066        77.0           10.4 k         -103           
  0.069        83.0           11.2 k         -104           
  0.070        85.0           11.4 k         -105           
  0.076        97.0           12.9 k         -106           
  0.078        102.0          13.5 k         -107           
  0.081        108.0          14.1 k         -108           
  0.084        113.0          14.6 k         -109           
  0.086        119.0          15.2 k         -110           
  0.090        127.0          15.9 k         -111           
  0.091        128.0          15.9 k         -112           
  0.091        129.0          16.0 k         -113           
  0.096        140.0          16.9 k         -114           
  0.097        141.0          16.9 k         -115           
  0.104        155.0          18.1 k         -116           
  0.107        161.0          18.6 k         -117           
  0.109        165.0          18.9 k         -118           
  0.110        169.0          19.1 k         -119           
  0.111        170.0          19.1 k         -120           
  0.116        181.0          19.8 k         -121           
  0.116        182.0          19.9 k         -122           
  0.126        201.0          21.1 k         -123           
  0.128        205.0          21.3 k         -124           
  0.131        212.0          21.6 k         -125           
  0.133        216.0          21.8 k         -126           
  0.134        219.0          21.9 k         -127           
  0.143        236.0          22.7 k         -128           
  0.147        245.0          23.0 k         -129           
  0.156        262.0          23.3 k         -130           
  0.186        321.0          24.1 k         -131           
  0.458        857.0          27.7 k         -132           
  0.459        859.0          27.7 k         -133           
  0.459        860.0          27.7 k         -134           
  0.460        862.0          27.7 k         -135           
  0.462        866.0          27.7 k         -136           
  0.505        949.0          28.2 k         -137           
  0.522        983.0          28.3 k         -138           
  1.583        3.0 k          39.3 k         -139           
  3.005        5.7 k          54.3 k         -140           
  3.026        5.7 k          54.5 k         -141           
  3.190        6.0 k          56.0 k         -142           
  3.214        6.0 k          56.2 k         -143           
  6.121        11.4 k         85.0 k         -144           
  15.769       28.9 k         179.5 k        -145           
  28.639       52.2 k         303.7 k        -146           
  48.934       88.2 k         493.7 k        -147           
  48.997       88.3 k         494.2 k        -148           
  59.876       107.3 k        591.0 k        -149           
  91.756       163.3 k        874.9 k        -150           
  11512.846    19.0 M         96.5 M         -151           
