printing solutions in: ./dogs-color/insts/cgshop22/sqrp23758.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrp23758.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 23758)...
computing neighbors (1000 / 23758)...
computing neighbors (2000 / 23758)...
computing neighbors (3000 / 23758)...
computing neighbors (4000 / 23758)...
computing neighbors (5000 / 23758)...
computing neighbors (6000 / 23758)...
computing neighbors (7000 / 23758)...
computing neighbors (8000 / 23758)...
computing neighbors (9000 / 23758)...
computing neighbors (10000 / 23758)...
computing neighbors (11000 / 23758)...
computing neighbors (12000 / 23758)...
computing neighbors (13000 / 23758)...
computing neighbors (14000 / 23758)...
computing neighbors (15000 / 23758)...
computing neighbors (16000 / 23758)...
computing neighbors (17000 / 23758)...
computing neighbors (18000 / 23758)...
computing neighbors (19000 / 23758)...
computing neighbors (20000 / 23758)...
computing neighbors (21000 / 23758)...
computing neighbors (22000 / 23758)...
computing neighbors (23000 / 23758)...
465        vertices
23758      segments
3811       dominations
=======================
greedy clique: 96
greedy found 96 vertices in 0.030 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.053                                      -96            
  0.056        5.0            1.6 k          -97            
  0.057        8.0            2.4 k          -98            
  0.059        11.0           2.8 k          -99            
  0.059        12.0           2.8 k          -100           
  0.060        13.0           3.2 k          -101           
  0.061        15.0           3.5 k          -102           
  0.062        17.0           3.9 k          -103           
  0.065        23.0           5.3 k          -104           
  0.066        24.0           5.7 k          -105           
  0.068        28.0           6.7 k          -106           
  0.070        31.0           7.4 k          -107           
  0.073        36.0           8.6 k          -108           
  0.074        38.0           9.0 k          -109           
  0.077        43.0           10.2 k         -110           
  0.078        45.0           10.5 k         -111           
  0.080        49.0           11.3 k         -112           
  0.082        52.0           11.5 k         -113           
  0.082        53.0           11.8 k         -114           
  0.083        55.0           12.0 k         -115           
  0.084        57.0           12.3 k         -116           
  0.086        60.0           12.7 k         -117           
  0.090        66.0           13.9 k         -118           
  0.093        71.0           14.8 k         -119           
  0.097        78.0           15.9 k         -120           
  0.097        79.0           16.1 k         -121           
  0.110        99.0           19.8 k         -122           
  0.121        117.0          23.2 k         -123           
  0.125        125.0          24.6 k         -124           
  0.130        132.0          25.8 k         -125           
  0.131        134.0          26.0 k         -126           
  0.134        140.0          26.9 k         -127           
  0.137        144.0          27.4 k         -128           
  0.143        154.0          28.9 k         -129           
  0.159        180.0          32.7 k         -130           
  0.162        185.0          33.2 k         -131           
  0.165        190.0          33.7 k         -132           
  0.173        203.0          35.2 k         -133           
  0.195        238.0          39.0 k         -134           
  0.199        245.0          39.6 k         -135           
  0.200        247.0          39.7 k         -136           
  0.202        251.0          40.0 k         -137           
  0.209        262.0          40.9 k         -138           
  0.221        281.0          42.4 k         -139           
  0.229        294.0          43.3 k         -140           
  0.246        320.0          45.1 k         -141           
  0.247        323.0          45.2 k         -142           
  0.251        329.0          45.5 k         -143           
  0.263        349.0          46.8 k         -144           
  0.264        351.0          46.8 k         -145           
  0.275        368.0          47.7 k         -146           
  0.283        381.0          48.2 k         -147           
  0.286        386.0          48.4 k         -148           
  0.288        389.0          48.5 k         -149           
  0.305        416.0          49.4 k         -150           
  0.309        423.0          49.6 k         -151           
  0.329        455.0          50.5 k         -152           
  0.337        467.0          50.8 k         -153           
  0.340        473.0          50.9 k         -154           
  0.343        477.0          50.9 k         -155           
  0.355        496.0          51.2 k         -156           
  0.362        508.0          51.4 k         -157           
  0.370        521.0          51.5 k         -158           
  0.383        541.0          51.7 k         -159           
  0.383        542.0          51.7 k         -160           
  0.429        614.0          52.0 k         -161           
  0.431        617.0          52.0 k         -162           
  0.445        639.0          52.1 k         -163           
  0.526        766.0          53.1 k         -164           
  2.635        4.0 k          74.5 k         -165           
  3.548        5.3 k          83.4 k         -166           
  8.266        12.1 k         126.7 k        -167           
  12.654       18.3 k         166.7 k        -168           
  29.107       41.5 k         311.3 k        -169           
  29.145       41.6 k         311.7 k        -170           
  29.160       41.6 k         311.8 k        -171           
  184.328      249.8 k        1.6 M          -172           
  550.462      718.4 k        4.5 M          -173           
  8903.092     11.0 M         68.6 M         -174           
