printing solutions in: ./dogs-color/insts/cgshop22/sqrp30973.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrp30973.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 30973)...
computing neighbors (1000 / 30973)...
computing neighbors (2000 / 30973)...
computing neighbors (3000 / 30973)...
computing neighbors (4000 / 30973)...
computing neighbors (5000 / 30973)...
computing neighbors (6000 / 30973)...
computing neighbors (7000 / 30973)...
computing neighbors (8000 / 30973)...
computing neighbors (9000 / 30973)...
computing neighbors (10000 / 30973)...
computing neighbors (11000 / 30973)...
computing neighbors (12000 / 30973)...
computing neighbors (13000 / 30973)...
computing neighbors (14000 / 30973)...
computing neighbors (15000 / 30973)...
computing neighbors (16000 / 30973)...
computing neighbors (17000 / 30973)...
computing neighbors (18000 / 30973)...
computing neighbors (19000 / 30973)...
computing neighbors (20000 / 30973)...
computing neighbors (21000 / 30973)...
computing neighbors (22000 / 30973)...
computing neighbors (23000 / 30973)...
computing neighbors (24000 / 30973)...
computing neighbors (25000 / 30973)...
computing neighbors (26000 / 30973)...
computing neighbors (27000 / 30973)...
computing neighbors (28000 / 30973)...
computing neighbors (29000 / 30973)...
computing neighbors (30000 / 30973)...
669        vertices
30973      segments
4218       dominations
=======================
greedy clique: 111
greedy found 111 vertices in 0.045 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.099                                      -111           
  0.101        3.0            616.0          -112           
  0.105        8.0            1.5 k          -113           
  0.106        9.0            1.8 k          -114           
  0.109        13.0           2.5 k          -115           
  0.110        14.0           2.7 k          -116           
  0.112        17.0           3.3 k          -117           
  0.115        21.0           3.8 k          -118           
  0.116        22.0           4.1 k          -119           
  0.117        24.0           4.3 k          -120           
  0.119        26.0           4.6 k          -121           
  0.120        28.0           4.8 k          -122           
  0.122        31.0           5.0 k          -123           
  0.123        32.0           5.3 k          -124           
  0.125        35.0           5.5 k          -125           
  0.126        36.0           5.7 k          -126           
  0.127        38.0           5.9 k          -127           
  0.130        42.0           6.4 k          -128           
  0.131        43.0           6.6 k          -129           
  0.137        51.0           7.8 k          -130           
  0.138        52.0           8.0 k          -131           
  0.141        56.0           8.5 k          -132           
  0.144        59.0           8.9 k          -133           
  0.148        64.0           9.6 k          -134           
  0.151        68.0           9.9 k          -135           
  0.151        69.0           9.9 k          -136           
  0.152        70.0           10.1 k         -137           
  0.153        72.0           10.3 k         -138           
  0.155        74.0           10.3 k         -139           
  0.155        75.0           10.4 k         -140           
  0.157        77.0           10.6 k         -141           
  0.162        84.0           11.3 k         -142           
  0.167        90.0           11.9 k         -143           
  0.174        98.0           12.7 k         -144           
  0.175        100.0          12.8 k         -145           
  0.191        118.0          14.7 k         -146           
  0.198        127.0          15.5 k         -147           
  0.207        138.0          16.5 k         -148           
  0.211        143.0          16.8 k         -149           
  0.214        147.0          17.1 k         -150           
  0.219        152.0          17.4 k         -151           
  0.220        154.0          17.4 k         -152           
  0.229        165.0          18.1 k         -153           
  0.234        171.0          18.4 k         -154           
  0.293        239.0          21.4 k         -155           
  0.304        253.0          21.8 k         -156           
  0.307        256.0          21.8 k         -157           
  0.311        261.0          21.9 k         -158           
  0.314        265.0          22.0 k         -159           
  0.390        351.0          23.0 k         -160           
  0.489        466.0          23.9 k         -161           
  0.489        467.0          23.9 k         -162           
  0.503        483.0          24.1 k         -163           
  0.508        489.0          24.2 k         -164           
  0.522        506.0          24.3 k         -165           
  0.530        515.0          24.3 k         -166           
  0.536        522.0          24.3 k         -167           
  0.550        539.0          24.6 k         -168           
  0.592        588.0          24.9 k         -169           
  0.716        732.0          25.8 k         -170           
  0.833        867.0          26.8 k         -171           
  0.960        1.0 k          27.8 k         -172           
  0.968        1.0 k          27.8 k         -173           
  1.474        1.6 k          31.9 k         -174           
  1.476        1.6 k          32.0 k         -175           
  2.148        2.4 k          36.5 k         -176           
  2.157        2.4 k          36.5 k         -177           
  2.170        2.4 k          36.6 k         -178           
  2.410        2.7 k          38.2 k         -179           
  3.121        3.5 k          42.3 k         -180           
  3.124        3.5 k          42.3 k         -181           
  4.146        4.7 k          48.2 k         -182           
  8.135        9.2 k          70.7 k         -183           
  8.252        9.3 k          71.5 k         -184           
  8.256        9.3 k          71.5 k         -185           
  11.095       12.6 k         88.4 k         -186           
  92.519       101.6 k        547.2 k        -187           
  94.456       103.7 k        557.9 k        -188           
  1048.147     1.1 M          5.7 M          -189           
  3270.662     3.4 M          17.3 M         -190           
