printing solutions in: ./dogs-color/insts/cgshop22/sqrp39917.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrp39917.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 39917)...
computing neighbors (1000 / 39917)...
computing neighbors (2000 / 39917)...
computing neighbors (3000 / 39917)...
computing neighbors (4000 / 39917)...
computing neighbors (5000 / 39917)...
computing neighbors (6000 / 39917)...
computing neighbors (7000 / 39917)...
computing neighbors (8000 / 39917)...
computing neighbors (9000 / 39917)...
computing neighbors (10000 / 39917)...
computing neighbors (11000 / 39917)...
computing neighbors (12000 / 39917)...
computing neighbors (13000 / 39917)...
computing neighbors (14000 / 39917)...
computing neighbors (15000 / 39917)...
computing neighbors (16000 / 39917)...
computing neighbors (17000 / 39917)...
computing neighbors (18000 / 39917)...
computing neighbors (19000 / 39917)...
computing neighbors (20000 / 39917)...
computing neighbors (21000 / 39917)...
computing neighbors (22000 / 39917)...
computing neighbors (23000 / 39917)...
computing neighbors (24000 / 39917)...
computing neighbors (25000 / 39917)...
computing neighbors (26000 / 39917)...
computing neighbors (27000 / 39917)...
computing neighbors (28000 / 39917)...
computing neighbors (29000 / 39917)...
computing neighbors (30000 / 39917)...
computing neighbors (31000 / 39917)...
computing neighbors (32000 / 39917)...
computing neighbors (33000 / 39917)...
computing neighbors (34000 / 39917)...
computing neighbors (35000 / 39917)...
computing neighbors (36000 / 39917)...
computing neighbors (37000 / 39917)...
computing neighbors (38000 / 39917)...
computing neighbors (39000 / 39917)...
566        vertices
39917      segments
6415       dominations
=======================
greedy clique: 96
greedy found 96 vertices in 0.066 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.181                                      -96            
  0.183        3.0            767.0          -97            
  0.184        4.0            770.0          -98            
  0.185        5.0            772.0          -99            
  0.186        6.0            1.1 k          -100           
  0.188        8.0            1.1 k          -101           
  0.189        9.0            1.4 k          -102           
  0.192        12.0           1.8 k          -103           
  0.193        13.0           2.1 k          -104           
  0.195        15.0           2.4 k          -105           
  0.198        18.0           2.7 k          -106           
  0.199        19.0           2.7 k          -107           
  0.200        20.0           3.0 k          -108           
  0.206        25.0           4.0 k          -109           
  0.207        26.0           4.3 k          -110           
  0.212        31.0           5.2 k          -111           
  0.213        32.0           5.2 k          -112           
  0.214        33.0           5.4 k          -113           
  0.216        35.0           5.7 k          -114           
  0.223        41.0           6.9 k          -115           
  0.232        48.0           8.3 k          -116           
  0.234        50.0           8.5 k          -117           
  0.236        52.0           8.7 k          -118           
  0.238        54.0           9.0 k          -119           
  0.242        58.0           9.6 k          -120           
  0.247        62.0           10.2 k         -121           
  0.253        67.0           11.0 k         -122           
  0.256        70.0           11.4 k         -123           
  0.273        84.0           13.8 k         -124           
  0.286        95.0           15.5 k         -125           
  0.309        114.0          18.6 k         -126           
  0.316        120.0          19.5 k         -127           
  0.332        133.0          21.6 k         -128           
  0.333        134.0          21.8 k         -129           
  0.348        147.0          23.9 k         -130           
  0.357        154.0          24.7 k         -131           
  0.358        155.0          24.9 k         -132           
  0.360        157.0          24.9 k         -133           
  0.361        158.0          25.1 k         -134           
  0.368        164.0          25.8 k         -135           
  0.386        179.0          27.9 k         -136           
  0.398        189.0          29.3 k         -137           
  0.404        194.0          29.8 k         -138           
  0.424        210.0          31.5 k         -139           
  0.425        211.0          31.5 k         -140           
  0.426        212.0          31.5 k         -141           
  0.427        213.0          31.6 k         -142           
  0.448        230.0          33.2 k         -143           
  0.471        249.0          34.7 k         -144           
  0.473        251.0          34.8 k         -145           
  0.489        264.0          35.7 k         -146           
  0.490        265.0          35.8 k         -147           
  0.518        288.0          37.3 k         -148           
  0.522        292.0          37.4 k         -149           
  0.534        302.0          38.0 k         -150           
  0.543        309.0          38.3 k         -151           
  0.572        333.0          39.5 k         -152           
  0.608        362.0          40.9 k         -153           
  0.621        373.0          41.4 k         -154           
  0.624        376.0          41.5 k         -155           
  0.639        388.0          42.0 k         -156           
  0.671        414.0          43.2 k         -157           
  0.695        434.0          43.7 k         -158           
  0.702        440.0          43.9 k         -159           
  0.717        452.0          44.0 k         -160           
  0.739        470.0          44.2 k         -161           
  0.745        475.0          44.2 k         -162           
  0.813        530.0          44.7 k         -163           
  0.827        542.0          44.8 k         -164           
  0.840        552.0          44.9 k         -165           
  0.848        559.0          44.9 k         -166           
  0.879        584.0          45.1 k         -167           
  0.910        610.0          45.2 k         -168           
  1.105        767.0          46.2 k         -169           
  1.168        818.0          46.8 k         -170           
  1.185        832.0          46.9 k         -171           
  1.328        948.0          48.3 k         -172           
  1.500        1.1 k          49.5 k         -173           
  1.567        1.1 k          49.8 k         -174           
  1.636        1.2 k          50.1 k         -175           
  1.895        1.4 k          52.1 k         -176           
  1.966        1.5 k          52.4 k         -177           
  1.974        1.5 k          52.4 k         -178           
  2.076        1.5 k          53.2 k         -179           
  2.101        1.6 k          53.5 k         -180           
  2.157        1.6 k          53.7 k         -181           
  2.294        1.7 k          54.6 k         -182           
  3.087        2.4 k          59.4 k         -183           
  3.088        2.4 k          59.4 k         -184           
  3.104        2.4 k          59.4 k         -185           
  3.111        2.4 k          59.4 k         -186           
  7.844        6.1 k          80.0 k         -187           
  7.867        6.1 k          80.1 k         -188           
  26.545       20.7 k         161.0 k        -189           
  26.701       20.8 k         162.0 k        -190           
  211.381      159.5 k        931.4 k        -191           
  211.428      159.6 k        931.5 k        -192           
  1496.293     1.1 M          6.0 M          -193           
  1508.343     1.1 M          6.1 M          -194           
  67050.922    46.3 M         254.5 M        -195           
