printing solutions in: ./dogs-color/insts/cgshop22/sqrp57865.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrp57865.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 57865)...
computing neighbors (1000 / 57865)...
computing neighbors (2000 / 57865)...
computing neighbors (3000 / 57865)...
computing neighbors (4000 / 57865)...
computing neighbors (5000 / 57865)...
computing neighbors (6000 / 57865)...
computing neighbors (7000 / 57865)...
computing neighbors (8000 / 57865)...
computing neighbors (9000 / 57865)...
computing neighbors (10000 / 57865)...
computing neighbors (11000 / 57865)...
computing neighbors (12000 / 57865)...
computing neighbors (13000 / 57865)...
computing neighbors (14000 / 57865)...
computing neighbors (15000 / 57865)...
computing neighbors (16000 / 57865)...
computing neighbors (17000 / 57865)...
computing neighbors (18000 / 57865)...
computing neighbors (19000 / 57865)...
computing neighbors (20000 / 57865)...
computing neighbors (21000 / 57865)...
computing neighbors (22000 / 57865)...
computing neighbors (23000 / 57865)...
computing neighbors (24000 / 57865)...
computing neighbors (25000 / 57865)...
computing neighbors (26000 / 57865)...
computing neighbors (27000 / 57865)...
computing neighbors (28000 / 57865)...
computing neighbors (29000 / 57865)...
computing neighbors (30000 / 57865)...
computing neighbors (31000 / 57865)...
computing neighbors (32000 / 57865)...
computing neighbors (33000 / 57865)...
computing neighbors (34000 / 57865)...
computing neighbors (35000 / 57865)...
computing neighbors (36000 / 57865)...
computing neighbors (37000 / 57865)...
computing neighbors (38000 / 57865)...
computing neighbors (39000 / 57865)...
computing neighbors (40000 / 57865)...
computing neighbors (41000 / 57865)...
computing neighbors (42000 / 57865)...
computing neighbors (43000 / 57865)...
computing neighbors (44000 / 57865)...
computing neighbors (45000 / 57865)...
computing neighbors (46000 / 57865)...
computing neighbors (47000 / 57865)...
computing neighbors (48000 / 57865)...
computing neighbors (49000 / 57865)...
computing neighbors (50000 / 57865)...
computing neighbors (51000 / 57865)...
computing neighbors (52000 / 57865)...
computing neighbors (53000 / 57865)...
computing neighbors (54000 / 57865)...
computing neighbors (55000 / 57865)...
computing neighbors (56000 / 57865)...
computing neighbors (57000 / 57865)...
786        vertices
57865      segments
8846       dominations
=======================
greedy clique: 133
greedy found 133 vertices in 0.119 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.281                                      -133           
  0.292        8.0            4.8 k          -134           
  0.299        13.0           6.9 k          -135           
  0.300        14.0           6.9 k          -136           
  0.301        15.0           7.5 k          -137           
  0.304        17.0           7.5 k          -138           
  0.305        18.0           8.2 k          -139           
  0.315        23.0           10.1 k         -140           
  0.316        24.0           10.1 k         -141           
  0.317        25.0           10.7 k         -142           
  0.321        28.0           11.3 k         -143           
  0.322        29.0           11.9 k         -144           
  0.326        32.0           13.0 k         -145           
  0.331        35.0           14.1 k         -146           
  0.333        37.0           14.1 k         -147           
  0.334        38.0           14.6 k         -148           
  0.337        40.0           15.1 k         -149           
  0.350        49.0           18.7 k         -150           
  0.351        50.0           18.7 k         -151           
  0.353        51.0           19.2 k         -152           
  0.355        53.0           19.7 k         -153           
  0.362        58.0           21.1 k         -154           
  0.363        59.0           21.1 k         -155           
  0.365        60.0           21.1 k         -156           
  0.366        61.0           21.1 k         -157           
  0.367        62.0           21.6 k         -158           
  0.377        69.0           23.7 k         -159           
  0.378        70.0           24.2 k         -160           
  0.385        75.0           25.8 k         -161           
  0.402        86.0           29.6 k         -162           
  0.403        87.0           29.6 k         -163           
  0.404        88.0           30.0 k         -164           
  0.420        99.0           33.5 k         -165           
  0.421        100.0          33.9 k         -166           
  0.430        106.0          35.9 k         -167           
  0.434        109.0          36.6 k         -168           
  0.437        111.0          37.0 k         -169           
  0.444        116.0          38.2 k         -170           
  0.445        117.0          38.6 k         -171           
  0.451        121.0          39.7 k         -172           
  0.454        123.0          40.1 k         -173           
  0.463        129.0          42.0 k         -174           
  0.470        134.0          43.6 k         -175           
  0.479        140.0          45.5 k         -176           
  0.494        150.0          48.5 k         -177           
  0.495        151.0          48.5 k         -178           
  0.496        152.0          48.8 k         -179           
  0.512        163.0          51.8 k         -180           
  0.514        164.0          52.1 k         -181           
  0.524        171.0          54.0 k         -182           
  0.530        175.0          54.9 k         -183           
  0.535        179.0          55.8 k         -184           
  0.542        184.0          57.0 k         -185           
  0.565        199.0          61.0 k         -186           
  0.577        207.0          63.0 k         -187           
  0.597        220.0          66.3 k         -188           
  0.601        223.0          66.8 k         -189           
  0.607        227.0          67.5 k         -190           
  0.614        232.0          68.5 k         -191           
  0.623        238.0          69.8 k         -192           
  0.625        240.0          70.0 k         -193           
  0.628        242.0          70.2 k         -194           
  0.631        244.0          70.5 k         -195           
  0.638        249.0          71.4 k         -196           
  0.645        254.0          72.3 k         -197           
  0.657        262.0          73.8 k         -198           
  0.662        265.0          74.2 k         -199           
  0.693        286.0          78.3 k         -200           
  0.704        293.0          79.4 k         -201           
  0.711        298.0          80.2 k         -202           
  0.721        305.0          81.3 k         -203           
  0.738        316.0          83.0 k         -204           
  0.754        327.0          84.7 k         -205           
  0.774        340.0          86.7 k         -206           
  0.781        345.0          87.3 k         -207           
  0.811        365.0          89.8 k         -208           
  0.813        366.0          90.0 k         -209           
  0.866        399.0          94.2 k         -210           
  0.875        405.0          94.8 k         -211           
  0.905        425.0          97.1 k         -212           
  0.918        434.0          98.0 k         -213           
  0.933        444.0          98.9 k         -214           
  0.939        448.0          99.2 k         -215           
  0.945        452.0          99.5 k         -216           
  0.977        473.0          101.3 k        -217           
  1.003        490.0          102.8 k        -218           
  1.010        495.0          103.1 k        -219           
  1.011        496.0          103.2 k        -220           
  1.036        512.0          104.6 k        -221           
  1.043        517.0          105.0 k        -222           
  1.121        568.0          108.9 k        -223           
  1.124        570.0          108.9 k        -224           
  1.145        584.0          109.7 k        -225           
  1.174        603.0          110.6 k        -226           
  1.183        609.0          110.8 k        -227           
  1.285        675.0          112.8 k        -228           
  1.325        701.0          113.1 k        -229           
  1.335        706.0          113.1 k        -230           
  1.341        710.0          113.1 k        -231           
  1.389        741.0          113.5 k        -232           
  1.458        786.0          113.8 k        -233           
  1.467        792.0          113.8 k        -234           
  1.496        811.0          113.9 k        -235           
  1.506        818.0          113.9 k        -236           
  1.529        833.0          114.0 k        -237           
  1.709        949.0          115.2 k        -238           
  1.730        963.0          115.3 k        -239           
  2.033        1.2 k          116.7 k        -240           
  2.034        1.2 k          116.7 k        -241           
  2.039        1.2 k          116.7 k        -242           
  2.257        1.3 k          117.6 k        -243           
  2.368        1.4 k          118.1 k        -244           
  2.383        1.4 k          118.2 k        -245           
  2.741        1.6 k          120.2 k        -246           
  2.743        1.6 k          120.2 k        -247           
  2.780        1.6 k          120.3 k        -248           
  3.249        1.9 k          123.3 k        -249           
  3.388        2.0 k          123.7 k        -250           
  3.389        2.0 k          123.7 k        -251           
  3.394        2.0 k          123.7 k        -252           
  3.516        2.1 k          124.7 k        -253           
  3.541        2.1 k          124.8 k        -254           
  3.600        2.2 k          125.1 k        -255           
  3.646        2.2 k          125.3 k        -256           
  3.783        2.3 k          125.6 k        -257           
  4.295        2.6 k          128.3 k        -258           
  5.825        3.6 k          135.4 k        -259           
  10.168       6.3 k          153.2 k        -260           
  17.968       11.3 k         183.4 k        -261           
  144.649      90.0 k         665.1 k        -262           
  144.689      90.0 k         665.2 k        -263           
  234.255      144.9 k        1.0 M          -264           
  234.551      145.1 k        1.0 M          -265           
  234.565      145.1 k        1.0 M          -266           
  2236.899     1.3 M          8.4 M          -267           
  3336.895     2.0 M          12.3 M         -268           
  5012.732     2.9 M          18.3 M         -269           
  5023.506     2.9 M          18.3 M         -270           
  5023.592     2.9 M          18.3 M         -271           
  18090.467    10.4 M         64.6 M         -272           
