printing solutions in: ./dogs-color/insts/cgshop22/sqrpecn10560.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrpecn10560.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 10560)...
computing neighbors (1000 / 10560)...
computing neighbors (2000 / 10560)...
computing neighbors (3000 / 10560)...
computing neighbors (4000 / 10560)...
computing neighbors (5000 / 10560)...
computing neighbors (6000 / 10560)...
computing neighbors (7000 / 10560)...
computing neighbors (8000 / 10560)...
computing neighbors (9000 / 10560)...
computing neighbors (10000 / 10560)...
16942      vertices
10560      segments
173        dominations
=======================
greedy clique: 155
greedy found 155 vertices in 0.023 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.031                                      -155           
  0.032        3.0            132.0          -156           
  0.032        5.0            140.0          -157           
  0.033        6.0            142.0          -158           
  0.033        7.0            143.0          -159           
  0.033        8.0            206.0          -160           
  0.033        10.0           269.0          -161           
  0.034        12.0           276.0          -162           
  0.034        13.0           278.0          -163           
  0.034        14.0           279.0          -164           
  0.035        15.0           339.0          -165           
  0.035        17.0           401.0          -166           
  0.036        19.0           404.0          -167           
  0.036        20.0           464.0          -168           
  0.038        26.0           707.0          -169           
  0.038        27.0           709.0          -170           
  0.038        28.0           767.0          -171           
  0.039        31.0           901.0          -172           
  0.039        33.0           904.0          -173           
  0.039        34.0           969.0          -174           
  0.040        36.0           1.0 k          -175           
  0.040        38.0           1.1 k          -176           
  0.041        41.0           1.1 k          -177           
  0.041        42.0           1.2 k          -178           
  0.042        44.0           1.2 k          -179           
  0.043        47.0           1.3 k          -180           
  0.044        50.0           1.4 k          -181           
  0.045        54.0           1.5 k          -182           
  0.045        55.0           1.5 k          -183           
  0.046        60.0           1.7 k          -184           
  0.047        62.0           1.8 k          -185           
  0.047        64.0           1.8 k          -186           
  0.047        65.0           1.8 k          -187           
  0.048        66.0           1.8 k          -188           
  0.048        67.0           1.8 k          -189           
  0.050        73.0           2.0 k          -190           
  0.050        74.0           2.0 k          -191           
  0.050        75.0           2.0 k          -192           
  0.050        76.0           2.0 k          -193           
  0.050        77.0           2.0 k          -194           
  0.051        78.0           2.0 k          -195           
  0.051        80.0           2.1 k          -196           
  0.052        82.0           2.1 k          -197           
  0.052        83.0           2.1 k          -198           
  0.052        84.0           2.1 k          -199           
  0.056        97.0           2.5 k          -200           
  0.058        104.0          2.6 k          -201           
  0.060        112.0          2.8 k          -202           
  0.060        113.0          2.8 k          -203           
  0.062        118.0          2.9 k          -204           
  0.066        132.0          3.2 k          -205           
  0.066        134.0          3.2 k          -206           
  0.069        143.0          3.3 k          -207           
  0.071        150.0          3.4 k          -208           
  0.072        156.0          3.5 k          -209           
  0.073        157.0          3.5 k          -210           
  0.073        158.0          3.5 k          -211           
  0.073        160.0          3.5 k          -212           
  0.074        164.0          3.5 k          -213           
  0.075        165.0          3.5 k          -214           
  0.075        166.0          3.5 k          -215           
  0.076        169.0          3.6 k          -216           
  0.078        178.0          3.6 k          -217           
  0.079        181.0          3.6 k          -218           
  0.079        182.0          3.6 k          -219           
  0.121        323.0          4.6 k          -220           
  0.126        338.0          4.7 k          -221           
  0.129        351.0          4.8 k          -222           
  0.139        383.0          4.9 k          -223           
  0.142        394.0          4.9 k          -224           
  0.147        410.0          5.0 k          -225           
  0.154        432.0          5.1 k          -226           
  0.168        480.0          5.3 k          -227           
  0.181        523.0          5.5 k          -228           
  0.183        530.0          5.5 k          -229           
  0.195        569.0          5.8 k          -230           
  0.196        574.0          5.8 k          -231           
  0.196        575.0          5.8 k          -232           
  0.200        588.0          5.8 k          -233           
  0.261        791.0          6.6 k          -234           
  0.262        793.0          6.7 k          -235           
  0.288        879.0          7.0 k          -236           
  0.289        881.0          7.0 k          -237           
  0.289        882.0          7.0 k          -238           
  0.289        883.0          7.0 k          -239           
  0.410        1.3 k          8.3 k          -240           
  0.458        1.4 k          8.8 k          -241           
  0.624        2.0 k          10.5 k         -242           
  0.682        2.2 k          11.1 k         -243           
  0.820        2.6 k          12.5 k         -244           
  1.047        3.3 k          14.5 k         -245           
  1.110        3.5 k          15.2 k         -246           
  1.114        3.5 k          15.2 k         -247           
  1.190        3.8 k          15.8 k         -248           
  1.190        3.8 k          15.8 k         -249           
  1.796        5.7 k          21.4 k         -250           
  4.366        14.0 k         45.9 k         -251           
  27.754       88.8 k         251.6 k        -252           
  32.106       102.6 k        289.5 k        -253           
  36.290       115.7 k        325.7 k        -254           
