printing solutions in: ./dogs-color/insts/cgshop22/sqrpecn14854.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrpecn14854.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 14854)...
computing neighbors (1000 / 14854)...
computing neighbors (2000 / 14854)...
computing neighbors (3000 / 14854)...
computing neighbors (4000 / 14854)...
computing neighbors (5000 / 14854)...
computing neighbors (6000 / 14854)...
computing neighbors (7000 / 14854)...
computing neighbors (8000 / 14854)...
computing neighbors (9000 / 14854)...
computing neighbors (10000 / 14854)...
computing neighbors (11000 / 14854)...
computing neighbors (12000 / 14854)...
computing neighbors (13000 / 14854)...
computing neighbors (14000 / 14854)...
24004      vertices
14854      segments
208        dominations
=======================
greedy clique: 179
greedy found 179 vertices in 0.042 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.071                                      -179           
  0.072        3.0            99.0           -180           
  0.072        4.0            101.0          -181           
  0.072        5.0            102.0          -182           
  0.073        6.0            188.0          -183           
  0.073        8.0            191.0          -184           
  0.074        9.0            280.0          -185           
  0.074        11.0           369.0          -186           
  0.075        13.0           453.0          -187           
  0.076        15.0           471.0          -188           
  0.076        16.0           478.0          -189           
  0.076        17.0           482.0          -190           
  0.077        18.0           484.0          -191           
  0.077        19.0           485.0          -192           
  0.077        20.0           562.0          -193           
  0.078        22.0           638.0          -194           
  0.080        27.0           860.0          -195           
  0.080        28.0           932.0          -196           
  0.081        31.0           1.1 k          -197           
  0.083        34.0           1.2 k          -198           
  0.083        35.0           1.2 k          -199           
  0.083        36.0           1.2 k          -200           
  0.084        38.0           1.3 k          -201           
  0.085        40.0           1.4 k          -202           
  0.085        42.0           1.4 k          -203           
  0.086        44.0           1.5 k          -204           
  0.087        46.0           1.5 k          -205           
  0.087        47.0           1.5 k          -206           
  0.087        48.0           1.5 k          -207           
  0.088        49.0           1.6 k          -208           
  0.089        52.0           1.7 k          -209           
  0.090        54.0           1.7 k          -210           
  0.091        57.0           1.8 k          -211           
  0.091        58.0           1.9 k          -212           
  0.092        60.0           1.9 k          -213           
  0.092        61.0           1.9 k          -214           
  0.096        70.0           2.3 k          -215           
  0.097        73.0           2.3 k          -216           
  0.097        74.0           2.4 k          -217           
  0.099        79.0           2.5 k          -218           
  0.101        84.0           2.7 k          -219           
  0.101        85.0           2.7 k          -220           
  0.104        92.0           2.9 k          -221           
  0.112        112.0          3.5 k          -222           
  0.113        113.0          3.5 k          -223           
  0.113        114.0          3.6 k          -224           
  0.116        121.0          3.8 k          -225           
  0.122        137.0          4.2 k          -226           
  0.124        141.0          4.2 k          -227           
  0.129        154.0          4.4 k          -228           
  0.131        157.0          4.5 k          -229           
  0.134        165.0          4.5 k          -230           
  0.140        181.0          4.7 k          -231           
  0.141        184.0          4.7 k          -232           
  0.163        237.0          5.0 k          -233           
  0.195        312.0          5.4 k          -234           
  0.196        315.0          5.4 k          -235           
  0.199        323.0          5.5 k          -236           
  0.203        332.0          5.5 k          -237           
  0.226        386.0          5.9 k          -238           
  0.239        417.0          6.1 k          -239           
  0.239        418.0          6.1 k          -240           
  0.239        419.0          6.1 k          -241           
  0.239        420.0          6.2 k          -242           
  0.240        422.0          6.2 k          -243           
  0.241        423.0          6.2 k          -244           
  0.241        424.0          6.2 k          -245           
  0.241        425.0          6.2 k          -246           
  0.245        434.0          6.2 k          -247           
  0.249        445.0          6.3 k          -248           
  0.250        447.0          6.3 k          -249           
  0.255        458.0          6.4 k          -250           
  0.257        464.0          6.5 k          -251           
  0.257        465.0          6.5 k          -252           
  0.258        466.0          6.5 k          -253           
  0.258        467.0          6.5 k          -254           
  0.258        468.0          6.5 k          -255           
  0.260        472.0          6.5 k          -256           
  0.267        488.0          6.6 k          -257           
  0.267        490.0          6.6 k          -258           
  0.268        491.0          6.6 k          -259           
  0.268        492.0          6.6 k          -260           
  0.298        563.0          7.0 k          -261           
  0.298        564.0          7.0 k          -262           
  0.302        574.0          7.0 k          -263           
  0.350        688.0          7.6 k          -264           
  0.429        872.0          8.3 k          -265           
  0.438        895.0          8.4 k          -266           
  0.451        924.0          8.5 k          -267           
  0.508        1.0 k          8.9 k          -268           
  0.707        1.5 k          10.5 k         -269           
  0.713        1.5 k          10.6 k         -270           
  0.767        1.6 k          11.0 k         -271           
  0.767        1.6 k          11.0 k         -272           
  0.772        1.6 k          11.1 k         -273           
  0.938        2.0 k          12.5 k         -274           
  1.344        3.0 k          15.8 k         -275           
  3.063        7.0 k          29.2 k         -276           
  4.559        10.4 k         40.6 k         -277           
  7.061        16.2 k         58.7 k         -278           
  7.960        18.2 k         65.5 k         -279           
  13.936       31.9 k         109.7 k        -280           
  14.548       33.3 k         114.2 k        -281           
  15.689       35.9 k         122.0 k        -282           
  32.273       73.5 k         238.0 k        -283           
  41.474       94.3 k         298.3 k        -284           
  45.917       104.3 k        329.1 k        -285           
  57.522       130.5 k        410.7 k        -286           
  765.726      1.7 M          5.2 M          -287           
  1025.109     2.3 M          7.0 M          -288           
