printing solutions in: ./dogs-color/insts/cgshop22/sqrpecn15605.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrpecn15605.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 15605)...
computing neighbors (1000 / 15605)...
computing neighbors (2000 / 15605)...
computing neighbors (3000 / 15605)...
computing neighbors (4000 / 15605)...
computing neighbors (5000 / 15605)...
computing neighbors (6000 / 15605)...
computing neighbors (7000 / 15605)...
computing neighbors (8000 / 15605)...
computing neighbors (9000 / 15605)...
computing neighbors (10000 / 15605)...
computing neighbors (11000 / 15605)...
computing neighbors (12000 / 15605)...
computing neighbors (13000 / 15605)...
computing neighbors (14000 / 15605)...
computing neighbors (15000 / 15605)...
24968      vertices
15605      segments
223        dominations
=======================
greedy clique: 214
greedy found 214 vertices in 0.063 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.105                                      -214           
  0.106        3.0            137.0          -215           
  0.108        7.0            254.0          -216           
  0.108        8.0            303.0          -217           
  0.109        10.0           351.0          -218           
  0.110        12.0           354.0          -219           
  0.110        13.0           399.0          -220           
  0.112        17.0           536.0          -221           
  0.114        23.0           765.0          -222           
  0.115        25.0           769.0          -223           
  0.116        26.0           813.0          -224           
  0.116        28.0           856.0          -225           
  0.117        30.0           900.0          -226           
  0.120        35.0           1.1 k          -227           
  0.121        39.0           1.2 k          -228           
  0.122        41.0           1.2 k          -229           
  0.123        43.0           1.2 k          -230           
  0.123        44.0           1.3 k          -231           
  0.124        46.0           1.3 k          -232           
  0.126        50.0           1.4 k          -233           
  0.127        53.0           1.5 k          -234           
  0.130        59.0           1.8 k          -235           
  0.133        65.0           2.0 k          -236           
  0.134        68.0           2.1 k          -237           
  0.136        71.0           2.2 k          -238           
  0.136        72.0           2.2 k          -239           
  0.136        73.0           2.2 k          -240           
  0.139        79.0           2.4 k          -241           
  0.141        84.0           2.6 k          -242           
  0.144        89.0           2.8 k          -243           
  0.144        91.0           2.8 k          -244           
  0.145        92.0           2.8 k          -245           
  0.146        95.0           2.9 k          -246           
  0.149        101.0          3.1 k          -247           
  0.149        102.0          3.1 k          -248           
  0.150        103.0          3.1 k          -249           
  0.155        114.0          3.5 k          -250           
  0.157        118.0          3.6 k          -251           
  0.157        119.0          3.6 k          -252           
  0.157        120.0          3.6 k          -253           
  0.158        121.0          3.6 k          -254           
  0.168        142.0          4.2 k          -255           
  0.170        147.0          4.3 k          -256           
  0.170        148.0          4.3 k          -257           
  0.173        154.0          4.4 k          -258           
  0.176        160.0          4.6 k          -259           
  0.179        167.0          4.7 k          -260           
  0.180        168.0          4.7 k          -261           
  0.180        170.0          4.7 k          -262           
  0.182        174.0          4.7 k          -263           
  0.183        175.0          4.7 k          -264           
  0.187        184.0          4.8 k          -265           
  0.192        194.0          4.9 k          -266           
  0.195        201.0          4.9 k          -267           
  0.196        204.0          4.9 k          -268           
  0.220        253.0          5.3 k          -269           
  0.221        257.0          5.3 k          -270           
  0.222        259.0          5.3 k          -271           
  0.223        260.0          5.3 k          -272           
  0.241        299.0          5.6 k          -273           
  0.255        328.0          5.9 k          -274           
  0.256        330.0          5.9 k          -275           
  0.259        336.0          5.9 k          -276           
  0.263        343.0          6.0 k          -277           
  0.263        345.0          6.0 k          -278           
  0.270        358.0          6.1 k          -279           
  0.273        364.0          6.1 k          -280           
  0.275        368.0          6.1 k          -281           
  0.285        389.0          6.2 k          -282           
  0.289        398.0          6.3 k          -283           
  0.312        446.0          6.5 k          -284           
  0.313        447.0          6.5 k          -285           
  0.317        457.0          6.6 k          -286           
  0.318        459.0          6.6 k          -287           
  0.352        528.0          7.0 k          -288           
  0.365        554.0          7.1 k          -289           
  0.383        591.0          7.3 k          -290           
  0.388        602.0          7.4 k          -291           
  0.403        632.0          7.6 k          -292           
  0.411        650.0          7.7 k          -293           
  0.416        659.0          7.7 k          -294           
  0.523        875.0          8.6 k          -295           
  0.546        923.0          8.7 k          -296           
  0.547        924.0          8.8 k          -297           
  0.571        974.0          9.0 k          -298           
  0.822        1.5 k          11.2 k         -299           
  0.850        1.5 k          11.4 k         -300           
  0.853        1.5 k          11.4 k         -301           
  2.352        4.5 k          23.0 k         -302           
  2.957        5.7 k          27.3 k         -303           
  7.727        15.2 k         61.2 k         -304           
  7.732        15.2 k         61.2 k         -305           
  7.751        15.2 k         61.4 k         -306           
  9.476        18.6 k         73.9 k         -307           
  13.584       26.7 k         103.5 k        -308           
  14.008       27.6 k         106.6 k        -309           
  16.188       31.8 k         122.1 k        -310           
  16.188       31.9 k         122.1 k        -311           
  67.660       129.3 k        461.6 k        -312           
  1452.926     2.6 M          8.2 M          -313           
  5653.530     10.1 M         32.1 M         -314           
  15519.242    27.5 M         87.6 M         -315           
  15519.416    27.5 M         87.6 M         -316           
  16220.705    28.7 M         91.7 M         -317           
  103512.508   181.4 M        589.9 M        -318           
