printing solutions in: ./dogs-color/insts/cgshop22/sqrpecn27255.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrpecn27255.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 27255)...
computing neighbors (1000 / 27255)...
computing neighbors (2000 / 27255)...
computing neighbors (3000 / 27255)...
computing neighbors (4000 / 27255)...
computing neighbors (5000 / 27255)...
computing neighbors (6000 / 27255)...
computing neighbors (7000 / 27255)...
computing neighbors (8000 / 27255)...
computing neighbors (9000 / 27255)...
computing neighbors (10000 / 27255)...
computing neighbors (11000 / 27255)...
computing neighbors (12000 / 27255)...
computing neighbors (13000 / 27255)...
computing neighbors (14000 / 27255)...
computing neighbors (15000 / 27255)...
computing neighbors (16000 / 27255)...
computing neighbors (17000 / 27255)...
computing neighbors (18000 / 27255)...
computing neighbors (19000 / 27255)...
computing neighbors (20000 / 27255)...
computing neighbors (21000 / 27255)...
computing neighbors (22000 / 27255)...
computing neighbors (23000 / 27255)...
computing neighbors (24000 / 27255)...
computing neighbors (25000 / 27255)...
computing neighbors (26000 / 27255)...
computing neighbors (27000 / 27255)...
40775      vertices
27255      segments
302        dominations
=======================
greedy clique: 200
greedy found 200 vertices in 0.073 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.150                                      -200           
  0.152        3.0            257.0          -201           
  0.153        5.0            262.0          -202           
  0.154        6.0            263.0          -203           
  0.154        7.0            389.0          -204           
  0.156        10.0           547.0          -205           
  0.157        11.0           555.0          -206           
  0.158        12.0           562.0          -207           
  0.158        13.0           568.0          -208           
  0.159        14.0           572.0          -209           
  0.159        15.0           575.0          -210           
  0.160        16.0           577.0          -211           
  0.160        17.0           683.0          -212           
  0.161        19.0           688.0          -213           
  0.162        20.0           689.0          -214           
  0.162        21.0           793.0          -215           
  0.164        23.0           796.0          -216           
  0.164        24.0           898.0          -217           
  0.166        27.0           1.0 k          -218           
  0.167        28.0           1.0 k          -219           
  0.167        29.0           1.1 k          -220           
  0.170        33.0           1.4 k          -221           
  0.172        35.0           1.5 k          -222           
  0.175        40.0           1.9 k          -223           
  0.177        42.0           1.9 k          -224           
  0.177        43.0           1.9 k          -225           
  0.178        44.0           2.0 k          -226           
  0.180        47.0           2.2 k          -227           
  0.181        49.0           2.3 k          -228           
  0.184        53.0           2.4 k          -229           
  0.184        54.0           2.4 k          -230           
  0.185        55.0           2.5 k          -231           
  0.189        60.0           2.7 k          -232           
  0.189        61.0           2.8 k          -233           
  0.190        63.0           2.8 k          -234           
  0.191        64.0           2.8 k          -235           
  0.192        65.0           2.9 k          -236           
  0.193        67.0           2.9 k          -237           
  0.193        68.0           2.9 k          -238           
  0.194        69.0           3.0 k          -239           
  0.198        75.0           3.3 k          -240           
  0.200        77.0           3.4 k          -241           
  0.201        79.0           3.4 k          -242           
  0.201        80.0           3.5 k          -243           
  0.204        83.0           3.6 k          -244           
  0.206        87.0           3.7 k          -245           
  0.207        88.0           3.8 k          -246           
  0.208        90.0           3.9 k          -247           
  0.212        95.0           4.1 k          -248           
  0.212        96.0           4.2 k          -249           
  0.214        98.0           4.2 k          -250           
  0.214        99.0           4.2 k          -251           
  0.216        101.0          4.3 k          -252           
  0.218        104.0          4.4 k          -253           
  0.220        107.0          4.5 k          -254           
  0.220        108.0          4.5 k          -255           
  0.221        109.0          4.5 k          -256           
  0.223        112.0          4.7 k          -257           
  0.226        116.0          4.8 k          -258           
  0.229        120.0          5.0 k          -259           
  0.231        123.0          5.1 k          -260           
  0.233        126.0          5.3 k          -261           
  0.236        130.0          5.4 k          -262           
  0.238        133.0          5.5 k          -263           
  0.241        137.0          5.7 k          -264           
  0.246        143.0          5.9 k          -265           
  0.248        146.0          6.0 k          -266           
  0.248        147.0          6.0 k          -267           
  0.250        150.0          6.1 k          -268           
  0.252        152.0          6.1 k          -269           
  0.255        157.0          6.3 k          -270           
  0.257        159.0          6.3 k          -271           
  0.257        160.0          6.3 k          -272           
  0.258        161.0          6.3 k          -273           
  0.258        162.0          6.3 k          -274           
  0.261        166.0          6.4 k          -275           
  0.262        167.0          6.4 k          -276           
  0.263        169.0          6.5 k          -277           
  0.272        180.0          6.7 k          -278           
  0.279        190.0          6.9 k          -279           
  0.280        191.0          6.9 k          -280           
  0.294        209.0          7.1 k          -281           
  0.295        210.0          7.1 k          -282           
  0.305        224.0          7.1 k          -283           
  0.306        225.0          7.1 k          -284           
  0.323        247.0          7.6 k          -285           
  0.325        249.0          7.6 k          -286           
  0.332        259.0          7.7 k          -287           
  0.335        263.0          7.7 k          -288           
  0.336        264.0          7.8 k          -289           
  0.343        274.0          7.8 k          -290           
  0.344        275.0          7.8 k          -291           
  0.356        290.0          8.1 k          -292           
  0.382        323.0          8.4 k          -293           
  0.386        328.0          8.5 k          -294           
  0.387        330.0          8.5 k          -295           
  0.390        334.0          8.5 k          -296           
  0.396        342.0          8.6 k          -297           
  0.400        347.0          8.6 k          -298           
  0.403        351.0          8.6 k          -299           
  0.426        380.0          8.9 k          -300           
  0.426        381.0          8.9 k          -301           
  0.427        383.0          8.9 k          -302           
  0.430        386.0          9.0 k          -303           
  0.463        428.0          9.3 k          -304           
  0.615        616.0          10.6 k         -305           
  0.617        619.0          10.6 k         -306           
  0.623        627.0          10.6 k         -307           
  0.648        658.0          10.9 k         -308           
  0.654        667.0          10.9 k         -309           
  0.660        674.0          10.9 k         -310           
  0.684        705.0          11.1 k         -311           
  0.686        707.0          11.1 k         -312           
  0.686        708.0          11.1 k         -313           
  0.689        712.0          11.1 k         -314           
  0.699        724.0          11.2 k         -315           
  0.701        727.0          11.2 k         -316           
  0.994        1.1 k          12.9 k         -317           
  0.998        1.1 k          12.9 k         -318           
  1.059        1.2 k          13.2 k         -319           
  1.225        1.4 k          13.9 k         -320           
  1.226        1.4 k          13.9 k         -321           
  1.227        1.4 k          13.9 k         -322           
  1.227        1.4 k          13.9 k         -323           
  1.229        1.4 k          13.9 k         -324           
  1.258        1.4 k          14.0 k         -325           
  1.742        2.0 k          16.0 k         -326           
  1.776        2.1 k          16.2 k         -327           
  2.000        2.3 k          17.0 k         -328           
  2.504        2.9 k          19.0 k         -329           
  2.507        2.9 k          19.0 k         -330           
  2.523        3.0 k          19.0 k         -331           
  2.529        3.0 k          19.0 k         -332           
  2.555        3.0 k          19.1 k         -333           
  6.764        8.1 k          34.6 k         -334           
