printing solutions in: ./dogs-color/insts/cgshop22/sqrpecn3020.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrpecn3020.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 3020)...
computing neighbors (1000 / 3020)...
computing neighbors (2000 / 3020)...
computing neighbors (3000 / 3020)...
4408       vertices
3020       segments
95         dominations
=======================
greedy clique: 65
greedy found 65 vertices in 0.003 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.003                                      -65            
  0.004        3.0            83.0           -66            
  0.004        4.0            84.0           -67            
  0.004        5.0            161.0          -68            
  0.004        7.0            174.0          -69            
  0.004        8.0            176.0          -70            
  0.004        9.0            177.0          -71            
  0.004        10.0           239.0          -72            
  0.004        13.0           301.0          -73            
  0.004        14.0           359.0          -74            
  0.005        17.0           439.0          -75            
  0.005        18.0           446.0          -76            
  0.005        19.0           452.0          -77            
  0.005        20.0           457.0          -78            
  0.005        21.0           461.0          -79            
  0.005        22.0           464.0          -80            
  0.005        23.0           466.0          -81            
  0.005        24.0           467.0          -82            
  0.005        25.0           507.0          -83            
  0.005        27.0           544.0          -84            
  0.006        31.0           620.0          -85            
  0.006        32.0           622.0          -86            
  0.006        33.0           623.0          -87            
  0.006        34.0           651.0          -88            
  0.006        36.0           680.0          -89            
  0.006        38.0           685.0          -90            
  0.006        39.0           686.0          -91            
  0.006        40.0           710.0          -92            
  0.007        44.0           762.0          -93            
  0.007        45.0           785.0          -94            
  0.007        47.0           805.0          -95            
  0.007        50.0           846.0          -96            
  0.007        53.0           886.0          -97            
  0.008        58.0           946.0          -98            
  0.008        59.0           963.0          -99            
  0.008        64.0           1.0 k          -100           
  0.008        65.0           1.0 k          -101           
  0.008        67.0           1.0 k          -102           
  0.009        70.0           1.0 k          -103           
  0.010        88.0           1.1 k          -104           
  0.011        91.0           1.2 k          -105           
  0.011        101.0          1.2 k          -106           
  0.012        103.0          1.2 k          -107           
  0.013        117.0          1.3 k          -108           
  0.013        119.0          1.3 k          -109           
  0.015        136.0          1.4 k          -110           
  0.020        192.0          1.7 k          -111           
  0.026        253.0          1.9 k          -112           
  0.028        281.0          2.0 k          -113           
  0.054        545.0          2.7 k          -114           
  0.337        3.5 k          10.7 k         -115           
  0.344        3.5 k          10.9 k         -116           
