printing solutions in: ./dogs-color/insts/cgshop22/sqrpecn58790.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrpecn58790.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 58790)...
computing neighbors (1000 / 58790)...
computing neighbors (2000 / 58790)...
computing neighbors (3000 / 58790)...
computing neighbors (4000 / 58790)...
computing neighbors (5000 / 58790)...
computing neighbors (6000 / 58790)...
computing neighbors (7000 / 58790)...
computing neighbors (8000 / 58790)...
computing neighbors (9000 / 58790)...
computing neighbors (10000 / 58790)...
computing neighbors (11000 / 58790)...
computing neighbors (12000 / 58790)...
computing neighbors (13000 / 58790)...
computing neighbors (14000 / 58790)...
computing neighbors (15000 / 58790)...
computing neighbors (16000 / 58790)...
computing neighbors (17000 / 58790)...
computing neighbors (18000 / 58790)...
computing neighbors (19000 / 58790)...
computing neighbors (20000 / 58790)...
computing neighbors (21000 / 58790)...
computing neighbors (22000 / 58790)...
computing neighbors (23000 / 58790)...
computing neighbors (24000 / 58790)...
computing neighbors (25000 / 58790)...
computing neighbors (26000 / 58790)...
computing neighbors (27000 / 58790)...
computing neighbors (28000 / 58790)...
computing neighbors (29000 / 58790)...
computing neighbors (30000 / 58790)...
computing neighbors (31000 / 58790)...
computing neighbors (32000 / 58790)...
computing neighbors (33000 / 58790)...
computing neighbors (34000 / 58790)...
computing neighbors (35000 / 58790)...
computing neighbors (36000 / 58790)...
computing neighbors (37000 / 58790)...
computing neighbors (38000 / 58790)...
computing neighbors (39000 / 58790)...
computing neighbors (40000 / 58790)...
computing neighbors (41000 / 58790)...
computing neighbors (42000 / 58790)...
computing neighbors (43000 / 58790)...
computing neighbors (44000 / 58790)...
computing neighbors (45000 / 58790)...
computing neighbors (46000 / 58790)...
computing neighbors (47000 / 58790)...
computing neighbors (48000 / 58790)...
computing neighbors (49000 / 58790)...
computing neighbors (50000 / 58790)...
computing neighbors (51000 / 58790)...
computing neighbors (52000 / 58790)...
computing neighbors (53000 / 58790)...
computing neighbors (54000 / 58790)...
computing neighbors (55000 / 58790)...
computing neighbors (56000 / 58790)...
computing neighbors (57000 / 58790)...
computing neighbors (58000 / 58790)...
88172      vertices
58790      segments
533        dominations
=======================
greedy clique: 289
greedy found 289 vertices in 0.266 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.668                                      -289           
  0.672        3.0            305.0          -290           
  0.673        4.0            314.0          -291           
  0.674        5.0            320.0          -292           
  0.675        6.0            324.0          -293           
  0.676        7.0            327.0          -294           
  0.678        8.0            329.0          -295           
  0.679        9.0            330.0          -296           
  0.680        10.0           555.0          -297           
  0.683        12.0           779.0          -298           
  0.685        14.0           791.0          -299           
  0.687        15.0           794.0          -300           
  0.688        16.0           796.0          -301           
  0.689        17.0           1.0 k          -302           
  0.692        19.0           1.0 k          -303           
  0.693        20.0           1.0 k          -304           
  0.694        21.0           1.0 k          -305           
  0.695        22.0           1.2 k          -306           
  0.698        24.0           1.4 k          -307           
  0.702        27.0           1.6 k          -308           
  0.703        28.0           1.6 k          -309           
  0.704        29.0           1.8 k          -310           
  0.709        32.0           2.2 k          -311           
  0.711        34.0           2.2 k          -312           
  0.713        35.0           2.2 k          -313           
  0.714        36.0           2.2 k          -314           
  0.715        37.0           2.4 k          -315           
  0.718        39.0           2.4 k          -316           
  0.719        40.0           2.4 k          -317           
  0.720        41.0           2.6 k          -318           
  0.723        43.0           2.6 k          -319           
  0.724        44.0           2.6 k          -320           
  0.725        45.0           2.7 k          -321           
  0.728        47.0           2.8 k          -322           
  0.729        48.0           2.8 k          -323           
  0.730        49.0           2.8 k          -324           
  0.731        50.0           2.9 k          -325           
  0.734        52.0           3.0 k          -326           
  0.735        53.0           3.0 k          -327           
  0.736        54.0           3.0 k          -328           
  0.737        55.0           3.0 k          -329           
  0.738        56.0           3.0 k          -330           
  0.740        57.0           3.0 k          -331           
  0.741        58.0           3.0 k          -332           
  0.742        59.0           3.1 k          -333           
  0.746        62.0           3.3 k          -334           
  0.747        63.0           3.3 k          -335           
  0.749        64.0           3.3 k          -336           
  0.750        65.0           3.4 k          -337           
  0.752        67.0           3.5 k          -338           
  0.754        68.0           3.5 k          -339           
  0.755        69.0           3.5 k          -340           
  0.756        70.0           3.5 k          -341           
  0.757        71.0           3.5 k          -342           
  0.758        72.0           3.6 k          -343           
  0.769        79.0           4.4 k          -344           
  0.772        81.0           4.4 k          -345           
  0.773        82.0           4.5 k          -346           
  0.776        84.0           4.7 k          -347           
  0.779        86.0           4.8 k          -348           
  0.786        91.0           5.2 k          -349           
  0.787        92.0           5.3 k          -350           
  0.790        94.0           5.3 k          -351           
