printing solutions in: ./dogs-color/insts/cgshop22/sqrpecn62891.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrpecn62891.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 62891)...
computing neighbors (1000 / 62891)...
computing neighbors (2000 / 62891)...
computing neighbors (3000 / 62891)...
computing neighbors (4000 / 62891)...
computing neighbors (5000 / 62891)...
computing neighbors (6000 / 62891)...
computing neighbors (7000 / 62891)...
computing neighbors (8000 / 62891)...
computing neighbors (9000 / 62891)...
computing neighbors (10000 / 62891)...
computing neighbors (11000 / 62891)...
computing neighbors (12000 / 62891)...
computing neighbors (13000 / 62891)...
computing neighbors (14000 / 62891)...
computing neighbors (15000 / 62891)...
computing neighbors (16000 / 62891)...
computing neighbors (17000 / 62891)...
computing neighbors (18000 / 62891)...
computing neighbors (19000 / 62891)...
computing neighbors (20000 / 62891)...
computing neighbors (21000 / 62891)...
computing neighbors (22000 / 62891)...
computing neighbors (23000 / 62891)...
computing neighbors (24000 / 62891)...
computing neighbors (25000 / 62891)...
computing neighbors (26000 / 62891)...
computing neighbors (27000 / 62891)...
computing neighbors (28000 / 62891)...
computing neighbors (29000 / 62891)...
computing neighbors (30000 / 62891)...
computing neighbors (31000 / 62891)...
computing neighbors (32000 / 62891)...
computing neighbors (33000 / 62891)...
computing neighbors (34000 / 62891)...
computing neighbors (35000 / 62891)...
computing neighbors (36000 / 62891)...
computing neighbors (37000 / 62891)...
computing neighbors (38000 / 62891)...
computing neighbors (39000 / 62891)...
computing neighbors (40000 / 62891)...
computing neighbors (41000 / 62891)...
computing neighbors (42000 / 62891)...
computing neighbors (43000 / 62891)...
computing neighbors (44000 / 62891)...
computing neighbors (45000 / 62891)...
computing neighbors (46000 / 62891)...
computing neighbors (47000 / 62891)...
computing neighbors (48000 / 62891)...
computing neighbors (49000 / 62891)...
computing neighbors (50000 / 62891)...
computing neighbors (51000 / 62891)...
computing neighbors (52000 / 62891)...
computing neighbors (53000 / 62891)...
computing neighbors (54000 / 62891)...
computing neighbors (55000 / 62891)...
computing neighbors (56000 / 62891)...
computing neighbors (57000 / 62891)...
computing neighbors (58000 / 62891)...
computing neighbors (59000 / 62891)...
computing neighbors (60000 / 62891)...
computing neighbors (61000 / 62891)...
computing neighbors (62000 / 62891)...
94324      vertices
62891      segments
560        dominations
=======================
greedy clique: 204
greedy found 204 vertices in 0.178 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.425                                      -204           
  0.429        3.0            276.0          -205           
  0.430        4.0            280.0          -206           
  0.431        5.0            283.0          -207           
  0.432        6.0            285.0          -208           
  0.434        7.0            286.0          -209           
  0.435        8.0            547.0          -210           
  0.438        10.0           551.0          -211           
  0.439        11.0           809.0          -212           
  0.442        13.0           820.0          -213           
  0.444        14.0           823.0          -214           
  0.445        15.0           825.0          -215           
  0.446        16.0           826.0          -216           
  0.447        17.0           1.1 k          -217           
  0.452        20.0           1.3 k          -218           
  0.454        21.0           1.6 k          -219           
  0.457        23.0           1.6 k          -220           
  0.458        24.0           1.6 k          -221           
  0.459        25.0           1.6 k          -222           
  0.461        26.0           1.8 k          -223           
  0.464        28.0           1.8 k          -224           
  0.465        29.0           2.0 k          -225           
  0.468        31.0           2.0 k          -226           
  0.469        32.0           2.3 k          -227           
  0.472        34.0           2.3 k          -228           
  0.474        35.0           2.3 k          -229           
  0.475        36.0           2.3 k          -230           
  0.476        37.0           2.3 k          -231           
  0.477        38.0           2.3 k          -232           
  0.479        39.0           2.3 k          -233           
  0.480        40.0           2.5 k          -234           
  0.483        42.0           2.5 k          -235           
  0.484        43.0           2.6 k          -236           
  0.485        44.0           2.6 k          -237           
  0.487        45.0           2.6 k          -238           
  0.488        46.0           2.6 k          -239           
  0.489        47.0           2.6 k          -240           
  0.490        48.0           2.6 k          -241           
  0.492        49.0           2.6 k          -242           
  0.493        50.0           2.6 k          -243           
  0.494        51.0           2.6 k          -244           
  0.495        52.0           2.8 k          -245           
  0.498        54.0           3.0 k          -246           
  0.502        56.0           3.0 k          -247           
  0.503        57.0           3.0 k          -248           
  0.504        58.0           3.0 k          -249           
  0.505        59.0           3.0 k          -250           
  0.507        60.0           3.0 k          -251           
  0.508        61.0           3.0 k          -252           
  0.509        62.0           3.0 k          -253           
  0.510        63.0           3.2 k          -254           
  0.513        65.0           3.3 k          -255           
  0.516        67.0           3.4 k          -256           
  0.518        68.0           3.4 k          -257           
  0.519        69.0           3.4 k          -258           
  0.520        70.0           3.4 k          -259           
  0.521        71.0           3.5 k          -260           
  0.526        74.0           3.7 k          -261           
  0.528        75.0           3.7 k          -262           
  0.529        76.0           3.7 k          -263           
  0.530        77.0           3.7 k          -264           
  0.531        78.0           3.7 k          -265           
  0.533        79.0           3.7 k          -266           
  0.534        80.0           3.7 k          -267           
  0.535        81.0           3.7 k          -268           
  0.536        82.0           3.9 k          -269           
