printing solutions in: ./dogs-color/insts/cgshop22/visp64932.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/visp64932.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 64932)...
computing neighbors (1000 / 64932)...
computing neighbors (2000 / 64932)...
computing neighbors (3000 / 64932)...
computing neighbors (4000 / 64932)...
computing neighbors (5000 / 64932)...
computing neighbors (6000 / 64932)...
computing neighbors (7000 / 64932)...
computing neighbors (8000 / 64932)...
computing neighbors (9000 / 64932)...
computing neighbors (10000 / 64932)...
computing neighbors (11000 / 64932)...
computing neighbors (12000 / 64932)...
computing neighbors (13000 / 64932)...
computing neighbors (14000 / 64932)...
computing neighbors (15000 / 64932)...
computing neighbors (16000 / 64932)...
computing neighbors (17000 / 64932)...
computing neighbors (18000 / 64932)...
computing neighbors (19000 / 64932)...
computing neighbors (20000 / 64932)...
computing neighbors (21000 / 64932)...
computing neighbors (22000 / 64932)...
computing neighbors (23000 / 64932)...
computing neighbors (24000 / 64932)...
computing neighbors (25000 / 64932)...
computing neighbors (26000 / 64932)...
computing neighbors (27000 / 64932)...
computing neighbors (28000 / 64932)...
computing neighbors (29000 / 64932)...
computing neighbors (30000 / 64932)...
computing neighbors (31000 / 64932)...
computing neighbors (32000 / 64932)...
computing neighbors (33000 / 64932)...
computing neighbors (34000 / 64932)...
computing neighbors (35000 / 64932)...
computing neighbors (36000 / 64932)...
computing neighbors (37000 / 64932)...
computing neighbors (38000 / 64932)...
computing neighbors (39000 / 64932)...
computing neighbors (40000 / 64932)...
computing neighbors (41000 / 64932)...
computing neighbors (42000 / 64932)...
computing neighbors (43000 / 64932)...
computing neighbors (44000 / 64932)...
computing neighbors (45000 / 64932)...
computing neighbors (46000 / 64932)...
computing neighbors (47000 / 64932)...
computing neighbors (48000 / 64932)...
computing neighbors (49000 / 64932)...
computing neighbors (50000 / 64932)...
computing neighbors (51000 / 64932)...
computing neighbors (52000 / 64932)...
computing neighbors (53000 / 64932)...
computing neighbors (54000 / 64932)...
computing neighbors (55000 / 64932)...
computing neighbors (56000 / 64932)...
computing neighbors (57000 / 64932)...
computing neighbors (58000 / 64932)...
computing neighbors (59000 / 64932)...
computing neighbors (60000 / 64932)...
computing neighbors (61000 / 64932)...
computing neighbors (62000 / 64932)...
computing neighbors (63000 / 64932)...
computing neighbors (64000 / 64932)...
492        vertices
64932      segments
29977      dominations
=======================
greedy clique: 90
greedy found 90 vertices in 0.101 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.369                                      -90            
  0.373        3.0            585.0          -91            
  0.374        4.0            1.0 k          -92            
  0.382        8.0            2.5 k          -93            
  0.387        11.0           3.4 k          -94            
  0.395        15.0           4.8 k          -95            
  0.406        21.0           7.0 k          -96            
  0.413        25.0           7.9 k          -97            
  0.414        26.0           7.9 k          -98            
  0.416        27.0           8.4 k          -99            
  0.419        29.0           8.7 k          -100           
  0.432        36.0           11.1 k         -101           
  0.435        38.0           11.5 k         -102           
  0.451        46.0           14.1 k         -103           
  0.454        48.0           14.2 k         -104           
  0.456        49.0           14.5 k         -105           
  0.461        52.0           15.2 k         -106           
  0.468        56.0           16.3 k         -107           
  0.480        62.0           17.6 k         -108           
  0.481        63.0           17.6 k         -109           
  0.482        64.0           18.0 k         -110           
  0.491        69.0           18.9 k         -111           
  0.492        70.0           18.9 k         -112           
  0.493        71.0           19.2 k         -113           
  0.497        73.0           19.5 k         -114           
  0.512        81.0           21.6 k         -115           
  0.517        84.0           22.1 k         -116           
  0.527        89.0           22.9 k         -117           
  0.528        90.0           23.2 k         -118           
  0.534        93.0           23.7 k         -119           
  0.543        98.0           24.4 k         -120           
  0.545        99.0           24.6 k         -121           
  0.572        113.0          27.5 k         -122           
  0.574        114.0          27.7 k         -123           
  0.591        123.0          29.5 k         -124           
  0.594        125.0          29.7 k         -125           
  0.607        132.0          30.9 k         -126           
  0.616        137.0          31.7 k         -127           
  0.651        153.0          34.6 k         -128           
  0.665        160.0          35.8 k         -129           
  0.707        181.0          39.3 k         -130           
  0.712        184.0          39.6 k         -131           
  0.725        191.0          40.6 k         -132           
  0.751        204.0          42.5 k         -133           
  0.760        209.0          43.1 k         -134           
  0.769        214.0          43.7 k         -135           
  0.779        219.0          44.3 k         -136           
  0.784        222.0          44.5 k         -137           
  0.803        232.0          45.8 k         -138           
  0.831        246.0          47.3 k         -139           
  0.848        255.0          48.2 k         -140           
  0.869        266.0          49.2 k         -141           
  0.898        281.0          50.6 k         -142           
  0.909        287.0          51.0 k         -143           
  1.182        423.0          60.0 k         -144           
  1.212        438.0          60.7 k         -145           
  1.359        510.0          63.1 k         -146           
  1.370        516.0          63.2 k         -147           
  1.375        519.0          63.2 k         -148           
  1.382        523.0          63.3 k         -149           
  1.443        554.0          63.6 k         -150           
  1.493        580.0          63.7 k         -151           
  1.518        593.0          63.8 k         -152           
  5.121        2.4 k          76.7 k         -153           
  5.163        2.4 k          76.8 k         -154           
  5.195        2.4 k          76.8 k         -155           
  5.215        2.4 k          76.8 k         -156           
  8.828        4.2 k          87.8 k         -157           
  8.878        4.2 k          88.0 k         -158           
  8.889        4.2 k          88.1 k         -159           
  9.375        4.5 k          89.4 k         -160           
  9.407        4.5 k          89.5 k         -161           
  20.552       9.9 k          122.6 k        -162           
  21.379       10.3 k         125.0 k        -163           
  21.399       10.3 k         125.1 k        -164           
  34.111       16.3 k         158.9 k        -165           
  92.361       43.4 k         313.8 k        -166           
  92.365       43.4 k         313.8 k        -167           
  174.983      80.8 k         521.3 k        -168           
  5760.951     2.5 M          14.1 M         -169           
  5761.047     2.5 M          14.1 M         -170           
  81674.070    34.7 M         194.5 M        -171           
