printing solutions in: ./dogs-color/insts/cgshop22/vispecn16227.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/vispecn16227.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 16227)...
computing neighbors (1000 / 16227)...
computing neighbors (2000 / 16227)...
computing neighbors (3000 / 16227)...
computing neighbors (4000 / 16227)...
computing neighbors (5000 / 16227)...
computing neighbors (6000 / 16227)...
computing neighbors (7000 / 16227)...
computing neighbors (8000 / 16227)...
computing neighbors (9000 / 16227)...
computing neighbors (10000 / 16227)...
computing neighbors (11000 / 16227)...
computing neighbors (12000 / 16227)...
computing neighbors (13000 / 16227)...
computing neighbors (14000 / 16227)...
computing neighbors (15000 / 16227)...
computing neighbors (16000 / 16227)...
24430      vertices
16227      segments
148        dominations
=======================
greedy clique: 126
greedy found 126 vertices in 0.031 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.088                                      -126           
  0.089        3.0            108.0          -127           
  0.090        4.0            117.0          -128           
  0.090        5.0            125.0          -129           
  0.090        6.0            132.0          -130           
  0.090        7.0            138.0          -131           
  0.091        8.0            143.0          -132           
  0.091        9.0            147.0          -133           
  0.091        10.0           150.0          -134           
  0.092        11.0           152.0          -135           
  0.092        12.0           153.0          -136           
  0.092        13.0           224.0          -137           
  0.093        15.0           299.0          -138           
  0.094        17.0           312.0          -139           
  0.094        18.0           315.0          -140           
  0.094        19.0           317.0          -141           
  0.095        20.0           382.0          -142           
  0.095        22.0           391.0          -143           
  0.096        23.0           392.0          -144           
  0.096        24.0           463.0          -145           
  0.097        26.0           533.0          -146           
  0.100        33.0           947.0          -147           
  0.101        35.0           950.0          -148           
  0.101        36.0           1.0 k          -149           
  0.102        38.0           1.0 k          -150           
  0.102        39.0           1.1 k          -151           
  0.105        45.0           1.3 k          -152           
  0.106        47.0           1.4 k          -153           
  0.106        48.0           1.4 k          -154           
  0.106        49.0           1.4 k          -155           
  0.107        50.0           1.4 k          -156           
  0.110        58.0           1.8 k          -157           
  0.111        60.0           1.8 k          -158           
  0.119        77.0           2.5 k          -159           
  0.124        88.0           3.0 k          -160           
  0.136        112.0          3.9 k          -161           
  0.142        125.0          4.2 k          -162           
  0.143        128.0          4.3 k          -163           
  0.159        161.0          5.2 k          -164           
  0.165        175.0          5.4 k          -165           
  0.167        179.0          5.5 k          -166           
  0.186        219.0          5.9 k          -167           
  0.186        220.0          5.9 k          -168           
  0.217        285.0          6.2 k          -169           
  0.234        321.0          6.4 k          -170           
  0.247        350.0          6.6 k          -171           
  0.248        351.0          6.6 k          -172           
  0.248        352.0          6.6 k          -173           
  0.248        353.0          6.6 k          -174           
  0.249        355.0          6.6 k          -175           
  0.250        356.0          6.6 k          -176           
  0.250        357.0          6.6 k          -177           
  0.250        358.0          6.6 k          -178           
  0.251        359.0          6.6 k          -179           
  0.252        362.0          6.7 k          -180           
  0.253        365.0          6.7 k          -181           
  0.255        369.0          6.7 k          -182           
  0.260        381.0          6.9 k          -183           
  0.263        388.0          6.9 k          -184           
  0.271        405.0          7.1 k          -185           
  0.277        416.0          7.2 k          -186           
  0.278        420.0          7.2 k          -187           
  0.285        435.0          7.3 k          -188           
  0.334        538.0          7.7 k          -189           
  0.368        609.0          8.1 k          -190           
  0.374        621.0          8.2 k          -191           
  0.378        631.0          8.3 k          -192           
  0.387        651.0          8.4 k          -193           
  0.430        741.0          8.9 k          -194           
  0.474        833.0          9.2 k          -195           
  0.511        913.0          9.5 k          -196           
  1.628        3.2 k          18.1 k         -197           
  7.966        16.3 k         66.8 k         -198           
  7.984        16.3 k         66.9 k         -199           
  8.702        17.8 k         72.0 k         -200           
  33.573       68.4 k         250.6 k        -201           
  683.007      1.3 M          4.7 M          -202           
  686.899      1.3 M          4.7 M          -203           
  687.798      1.3 M          4.7 M          -204           
  1129.869     2.2 M          7.6 M          -205           
