printing solutions in: ./dogs-color/insts/cgshop22/vispecn35198.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/vispecn35198.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 35198)...
computing neighbors (1000 / 35198)...
computing neighbors (2000 / 35198)...
computing neighbors (3000 / 35198)...
computing neighbors (4000 / 35198)...
computing neighbors (5000 / 35198)...
computing neighbors (6000 / 35198)...
computing neighbors (7000 / 35198)...
computing neighbors (8000 / 35198)...
computing neighbors (9000 / 35198)...
computing neighbors (10000 / 35198)...
computing neighbors (11000 / 35198)...
computing neighbors (12000 / 35198)...
computing neighbors (13000 / 35198)...
computing neighbors (14000 / 35198)...
computing neighbors (15000 / 35198)...
computing neighbors (16000 / 35198)...
computing neighbors (17000 / 35198)...
computing neighbors (18000 / 35198)...
computing neighbors (19000 / 35198)...
computing neighbors (20000 / 35198)...
computing neighbors (21000 / 35198)...
computing neighbors (22000 / 35198)...
computing neighbors (23000 / 35198)...
computing neighbors (24000 / 35198)...
computing neighbors (25000 / 35198)...
computing neighbors (26000 / 35198)...
computing neighbors (27000 / 35198)...
computing neighbors (28000 / 35198)...
computing neighbors (29000 / 35198)...
computing neighbors (30000 / 35198)...
computing neighbors (31000 / 35198)...
computing neighbors (32000 / 35198)...
computing neighbors (33000 / 35198)...
computing neighbors (34000 / 35198)...
computing neighbors (35000 / 35198)...
49440      vertices
35198      segments
271        dominations
=======================
greedy clique: 75
greedy found 75 vertices in 0.034 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.123                                      -75            
  0.125        3.0            115.0          -76            
  0.126        5.0            120.0          -77            
  0.127        6.0            121.0          -78            
  0.127        7.0            182.0          -79            
  0.128        9.0            243.0          -80            
  0.130        11.0           247.0          -81            
  0.130        12.0           306.0          -82            
  0.133        15.0           430.0          -83            
  0.134        17.0           489.0          -84            
  0.135        19.0           495.0          -85            
  0.136        20.0           496.0          -86            
  0.136        21.0           532.0          -87            
  0.139        24.0           605.0          -88            
  0.140        26.0           643.0          -89            
  0.143        30.0           744.0          -90            
  0.147        34.0           817.0          -91            
  0.147        35.0           819.0          -92            
  0.148        36.0           820.0          -93            
  0.148        37.0           851.0          -94            
  0.150        39.0           886.0          -95            
  0.151        41.0           916.0          -96            
  0.153        44.0           974.0          -97            
  0.162        54.0           1.2 k          -98            
  0.176        70.0           1.4 k          -99            
  0.179        75.0           1.5 k          -100           
  0.213        115.0          1.8 k          -101           
  0.229        133.0          2.0 k          -102           
  0.244        150.0          2.1 k          -103           
  0.245        151.0          2.1 k          -104           
  0.300        217.0          2.5 k          -105           
  0.302        219.0          2.5 k          -106           
  0.304        222.0          2.5 k          -107           
  0.500        453.0          3.3 k          -108           
  1.022        1.1 k          5.1 k          -109           
  1.023        1.1 k          5.1 k          -110           
  1.023        1.1 k          5.1 k          -111           
  1.044        1.1 k          5.2 k          -112           
  1.053        1.1 k          5.2 k          -113           
  1.059        1.1 k          5.3 k          -114           
  1.198        1.3 k          5.7 k          -115           
  1.199        1.3 k          5.7 k          -116           
