printing solutions in: ./dogs-color/insts/cgshop22/vispecn55775.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/vispecn55775.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 55775)...
computing neighbors (1000 / 55775)...
computing neighbors (2000 / 55775)...
computing neighbors (3000 / 55775)...
computing neighbors (4000 / 55775)...
computing neighbors (5000 / 55775)...
computing neighbors (6000 / 55775)...
computing neighbors (7000 / 55775)...
computing neighbors (8000 / 55775)...
computing neighbors (9000 / 55775)...
computing neighbors (10000 / 55775)...
computing neighbors (11000 / 55775)...
computing neighbors (12000 / 55775)...
computing neighbors (13000 / 55775)...
computing neighbors (14000 / 55775)...
computing neighbors (15000 / 55775)...
computing neighbors (16000 / 55775)...
computing neighbors (17000 / 55775)...
computing neighbors (18000 / 55775)...
computing neighbors (19000 / 55775)...
computing neighbors (20000 / 55775)...
computing neighbors (21000 / 55775)...
computing neighbors (22000 / 55775)...
computing neighbors (23000 / 55775)...
computing neighbors (24000 / 55775)...
computing neighbors (25000 / 55775)...
computing neighbors (26000 / 55775)...
computing neighbors (27000 / 55775)...
computing neighbors (28000 / 55775)...
computing neighbors (29000 / 55775)...
computing neighbors (30000 / 55775)...
computing neighbors (31000 / 55775)...
computing neighbors (32000 / 55775)...
computing neighbors (33000 / 55775)...
computing neighbors (34000 / 55775)...
computing neighbors (35000 / 55775)...
computing neighbors (36000 / 55775)...
computing neighbors (37000 / 55775)...
computing neighbors (38000 / 55775)...
computing neighbors (39000 / 55775)...
computing neighbors (40000 / 55775)...
computing neighbors (41000 / 55775)...
computing neighbors (42000 / 55775)...
computing neighbors (43000 / 55775)...
computing neighbors (44000 / 55775)...
computing neighbors (45000 / 55775)...
computing neighbors (46000 / 55775)...
computing neighbors (47000 / 55775)...
computing neighbors (48000 / 55775)...
computing neighbors (49000 / 55775)...
computing neighbors (50000 / 55775)...
computing neighbors (51000 / 55775)...
computing neighbors (52000 / 55775)...
computing neighbors (53000 / 55775)...
computing neighbors (54000 / 55775)...
computing neighbors (55000 / 55775)...
78196      vertices
55775      segments
431        dominations
=======================
greedy clique: 70
greedy found 70 vertices in 0.047 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.208                                      -70            
  0.211        3.0            107.0          -71            
  0.211        4.0            195.0          -72            
  0.216        8.0            367.0          -73            
  0.217        9.0            449.0          -74            
  0.219        11.0           529.0          -75            
  0.221        13.0           533.0          -76            
  0.222        14.0           609.0          -77            
  0.224        16.0           616.0          -78            
  0.225        17.0           617.0          -79            
  0.225        18.0           691.0          -80            
  0.227        20.0           694.0          -81            
  0.228        21.0           762.0          -82            
  0.231        24.0           898.0          -83            
  0.235        27.0           1.0 k          -84            
  0.237        29.0           1.1 k          -85            
  0.244        35.0           1.5 k          -86            
  0.248        38.0           1.6 k          -87            
  0.251        41.0           1.7 k          -88            
  0.252        42.0           1.7 k          -89            
  0.254        44.0           1.8 k          -90            
  0.264        53.0           2.1 k          -91            
  0.278        64.0           2.5 k          -92            
  0.281        67.0           2.6 k          -93            
  0.289        74.0           2.8 k          -94            
  0.303        85.0           3.1 k          -95            
  0.306        88.0           3.1 k          -96            
  0.331        107.0          3.4 k          -97            
  0.332        108.0          3.5 k          -98            
  0.335        111.0          3.5 k          -99            
  0.336        112.0          3.5 k          -100           
  0.356        128.0          3.6 k          -101           
  0.357        129.0          3.6 k          -102           
  0.358        130.0          3.6 k          -103           
  0.372        141.0          3.7 k          -104           
  0.375        144.0          3.8 k          -105           
  0.381        149.0          3.8 k          -106           
  0.382        150.0          3.8 k          -107           
  0.383        151.0          3.8 k          -108           
  0.395        161.0          3.8 k          -109           
  0.396        163.0          3.8 k          -110           
  0.409        173.0          3.9 k          -111           
  0.422        184.0          4.1 k          -112           
  0.425        187.0          4.1 k          -113           
  0.435        195.0          4.2 k          -114           
  0.497        244.0          4.6 k          -115           
  0.507        253.0          4.7 k          -116           
  0.513        258.0          4.8 k          -117           
  0.628        350.0          5.7 k          -118           
  0.634        356.0          5.7 k          -119           
  0.649        368.0          5.8 k          -120           
  0.659        377.0          5.9 k          -121           
  0.660        378.0          5.9 k          -122           
  0.669        386.0          5.9 k          -123           
  0.671        388.0          5.9 k          -124           
  0.680        396.0          5.9 k          -125           
  0.754        457.0          6.4 k          -126           
  0.756        459.0          6.4 k          -127           
  0.822        509.0          6.6 k          -128           
  0.828        514.0          6.7 k          -129           
