printing solutions in: ./dogs-color/insts/cgshop22/vispecn7028.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/vispecn7028.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 7028)...
computing neighbors (1000 / 7028)...
computing neighbors (2000 / 7028)...
computing neighbors (3000 / 7028)...
computing neighbors (4000 / 7028)...
computing neighbors (5000 / 7028)...
computing neighbors (6000 / 7028)...
computing neighbors (7000 / 7028)...
9808       vertices
7028       segments
97         dominations
=======================
greedy clique: 60
greedy found 60 vertices in 0.006 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.009                                      -60            
  0.009        3.0            37.0           -61            
  0.010        4.0            69.0           -62            
  0.010        6.0            78.0           -63            
  0.010        7.0            81.0           -64            
  0.010        8.0            83.0           -65            
  0.010        9.0            84.0           -66            
  0.010        10.0           116.0          -67            
  0.011        12.0           150.0          -68            
  0.011        14.0           158.0          -69            
  0.011        15.0           160.0          -70            
  0.011        16.0           186.0          -71            
  0.012        18.0           189.0          -72            
  0.012        19.0           213.0          -73            
  0.013        25.0           329.0          -74            
  0.013        26.0           361.0          -75            
  0.013        28.0           391.0          -76            
  0.014        31.0           453.0          -77            
  0.014        34.0           484.0          -78            
  0.014        35.0           518.0          -79            
  0.015        39.0           613.0          -80            
  0.016        42.0           648.0          -81            
  0.016        43.0           681.0          -82            
  0.016        45.0           688.0          -83            
  0.016        46.0           690.0          -84            
  0.016        47.0           691.0          -85            
  0.017        48.0           715.0          -86            
  0.017        52.0           781.0          -87            
  0.018        59.0           894.0          -88            
  0.019        62.0           927.0          -89            
  0.023        83.0           1.2 k          -90            
  0.023        84.0           1.2 k          -91            
  0.027        108.0          1.3 k          -92            
  0.028        110.0          1.3 k          -93            
  0.080        399.0          2.2 k          -94            
  0.080        400.0          2.2 k          -95            
  0.081        403.0          2.2 k          -96            
  0.082        407.0          2.3 k          -97            
  0.086        430.0          2.3 k          -98            
  0.981        5.1 k          14.2 k         -99            
  7.019        36.2 k         92.5 k         -100           
  75.764       383.3 k        985.8 k        -101           
  75.764       383.3 k        985.8 k        -102           
  75.764       383.3 k        985.8 k        -103           
  75.766       383.3 k        985.8 k        -104           
  75.766       383.3 k        985.8 k        -105           
  75.766       383.3 k        985.8 k        -106           
  75.768       383.4 k        985.9 k        -107           
  75.768       383.4 k        985.9 k        -108           
  75.769       383.4 k        985.9 k        -109           
  75.770       383.4 k        985.9 k        -110           
  75.770       383.4 k        985.9 k        -111           
  75.771       383.4 k        985.9 k        -112           
  125.476      634.7 k        1.5 M          -113           
  126.489      639.8 k        1.5 M          -114           
  129.361      654.1 k        1.5 M          -115           
