printing solutions in: ./dogs-color/insts/cgshop22/reecn17244.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn17244.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 17244)...
computing neighbors (1000 / 17244)...
computing neighbors (2000 / 17244)...
computing neighbors (3000 / 17244)...
computing neighbors (4000 / 17244)...
computing neighbors (5000 / 17244)...
computing neighbors (6000 / 17244)...
computing neighbors (7000 / 17244)...
computing neighbors (8000 / 17244)...
computing neighbors (9000 / 17244)...
computing neighbors (10000 / 17244)...
computing neighbors (11000 / 17244)...
computing neighbors (12000 / 17244)...
computing neighbors (13000 / 17244)...
computing neighbors (14000 / 17244)...
computing neighbors (15000 / 17244)...
computing neighbors (16000 / 17244)...
computing neighbors (17000 / 17244)...
23826      vertices
17244      segments
194        dominations
=======================
greedy clique: 85
greedy found 85 vertices in 0.018 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.043                                      -85            
  0.044        3.0            132.0          -86            
  0.045        5.0            198.0          -87            
  0.045        7.0            260.0          -88            
  0.047        10.0           384.0          -89            
  0.048        12.0           387.0          -90            
  0.048        13.0           451.0          -91            
  0.049        15.0           518.0          -92            
  0.049        17.0           581.0          -93            
  0.050        19.0           641.0          -94            
  0.051        22.0           759.0          -95            
  0.052        24.0           764.0          -96            
  0.052        25.0           765.0          -97            
  0.053        26.0           815.0          -98            
  0.055        32.0           1.1 k          -99            
  0.056        34.0           1.2 k          -100           
  0.057        37.0           1.2 k          -101           
  0.060        43.0           1.4 k          -102           
  0.061        46.0           1.5 k          -103           
  0.063        51.0           1.6 k          -104           
  0.065        55.0           1.6 k          -105           
  0.067        59.0           1.7 k          -106           
  0.067        60.0           1.7 k          -107           
  0.072        70.0           1.8 k          -108           
  0.082        93.0           2.0 k          -109           
  0.086        102.0          2.0 k          -110           
  0.100        132.0          2.5 k          -111           
  0.100        134.0          2.5 k          -112           
  0.101        135.0          2.5 k          -113           
  0.101        136.0          2.5 k          -114           
  0.107        150.0          2.6 k          -115           
  0.119        177.0          2.9 k          -116           
  0.120        178.0          3.0 k          -117           
  0.121        182.0          3.0 k          -118           
  0.123        185.0          3.0 k          -119           
  0.124        189.0          3.0 k          -120           
  0.125        192.0          3.0 k          -121           
  0.126        193.0          3.0 k          -122           
  0.126        194.0          3.1 k          -123           
  0.129        201.0          3.1 k          -124           
  0.133        210.0          3.2 k          -125           
  0.165        281.0          3.6 k          -126           
  0.166        282.0          3.6 k          -127           
  0.299        573.0          5.0 k          -128           
  0.351        683.0          5.4 k          -129           
  0.352        686.0          5.5 k          -130           
  0.353        688.0          5.5 k          -131           
  0.535        1.1 k          6.9 k          -132           
  0.560        1.1 k          7.1 k          -133           
  0.560        1.1 k          7.1 k          -134           
  0.570        1.2 k          7.2 k          -135           
  0.583        1.2 k          7.3 k          -136           
  0.721        1.5 k          8.3 k          -137           
  0.806        1.7 k          8.8 k          -138           
  0.815        1.7 k          8.9 k          -139           
  0.820        1.7 k          8.9 k          -140           
  1.360        2.8 k          11.7 k         -141           
  9.699        20.4 k         52.0 k         -142           
  9.760        20.5 k         52.3 k         -143           
  9.763        20.5 k         52.3 k         -144           
  9.766        20.5 k         52.3 k         -145           
  9.766        20.5 k         52.3 k         -146           
  9.768        20.5 k         52.4 k         -147           
  11.632       24.4 k         61.3 k         -148           
  11.632       24.4 k         61.3 k         -149           
  23.714       49.8 k         120.9 k        -150           
  42.321       88.4 k         207.2 k        -151           
  121.929      250.6 k        576.6 k        -152           
  121.930      250.6 k        576.6 k        -153           
  4741.653     9.2 M          20.7 M         -154           
  5397.429     10.4 M         23.6 M         -155           
  5549.539     10.7 M         24.2 M         -156           
  9192.334     17.6 M         39.6 M         -157           
