printing solutions in: ./dogs-color/insts/cgshop22/reecn21946.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn21946.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 21946)...
computing neighbors (1000 / 21946)...
computing neighbors (2000 / 21946)...
computing neighbors (3000 / 21946)...
computing neighbors (4000 / 21946)...
computing neighbors (5000 / 21946)...
computing neighbors (6000 / 21946)...
computing neighbors (7000 / 21946)...
computing neighbors (8000 / 21946)...
computing neighbors (9000 / 21946)...
computing neighbors (10000 / 21946)...
computing neighbors (11000 / 21946)...
computing neighbors (12000 / 21946)...
computing neighbors (13000 / 21946)...
computing neighbors (14000 / 21946)...
computing neighbors (15000 / 21946)...
computing neighbors (16000 / 21946)...
computing neighbors (17000 / 21946)...
computing neighbors (18000 / 21946)...
computing neighbors (19000 / 21946)...
computing neighbors (20000 / 21946)...
computing neighbors (21000 / 21946)...
30688      vertices
21946      segments
245        dominations
=======================
greedy clique: 92
greedy found 92 vertices in 0.024 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.057                                      -92            
  0.059        4.0            254.0          -93            
  0.060        5.0            364.0          -94            
  0.061        7.0            390.0          -95            
  0.061        8.0            400.0          -96            
  0.062        9.0            406.0          -97            
  0.062        10.0           411.0          -98            
  0.062        11.0           415.0          -99            
  0.063        12.0           418.0          -100           
  0.063        13.0           420.0          -101           
  0.063        14.0           421.0          -102           
  0.064        15.0           496.0          -103           
  0.065        17.0           499.0          -104           
  0.065        18.0           570.0          -105           
  0.066        20.0           577.0          -106           
  0.066        21.0           579.0          -107           
  0.066        22.0           580.0          -108           
  0.067        23.0           641.0          -109           
  0.068        25.0           701.0          -110           
  0.069        27.0           704.0          -111           
  0.069        28.0           756.0          -112           
  0.072        34.0           1.0 k          -113           
  0.074        37.0           1.1 k          -114           
  0.078        44.0           1.4 k          -115           
  0.078        45.0           1.4 k          -116           
  0.079        46.0           1.4 k          -117           
  0.079        47.0           1.4 k          -118           
  0.079        48.0           1.5 k          -119           
  0.083        54.0           1.7 k          -120           
  0.083        55.0           1.7 k          -121           
  0.086        61.0           2.0 k          -122           
  0.090        67.0           2.1 k          -123           
  0.092        71.0           2.2 k          -124           
  0.095        77.0           2.4 k          -125           
  0.096        78.0           2.4 k          -126           
  0.098        82.0           2.5 k          -127           
  0.099        84.0           2.5 k          -128           
  0.099        85.0           2.5 k          -129           
  0.100        86.0           2.5 k          -130           
  0.101        89.0           2.6 k          -131           
  0.102        91.0           2.6 k          -132           
  0.109        103.0          2.8 k          -133           
  0.110        104.0          2.8 k          -134           
  0.116        116.0          3.0 k          -135           
  0.120        122.0          3.0 k          -136           
  0.130        140.0          3.2 k          -137           
  0.134        147.0          3.3 k          -138           
  0.137        153.0          3.3 k          -139           
  0.142        163.0          3.5 k          -140           
  0.144        166.0          3.5 k          -141           
  0.144        167.0          3.5 k          -142           
  0.167        206.0          3.8 k          -143           
  0.179        227.0          3.9 k          -144           
  0.188        243.0          4.0 k          -145           
  0.357        533.0          5.6 k          -146           
  0.749        1.2 k          7.6 k          -147           
  0.761        1.2 k          7.7 k          -148           
  0.761        1.2 k          7.7 k          -149           
  0.761        1.2 k          7.7 k          -150           
  1.331        2.1 k          9.9 k          -151           
  1.332        2.1 k          9.9 k          -152           
  1.471        2.3 k          10.4 k         -153           
  1.477        2.3 k          10.4 k         -154           
  1.485        2.3 k          10.5 k         -155           
  2.906        4.7 k          16.0 k         -156           
  2.908        4.7 k          16.0 k         -157           
  2.912        4.7 k          16.0 k         -158           
  2.991        4.8 k          16.3 k         -159           
  3.932        6.3 k          20.0 k         -160           
  4.010        6.5 k          20.3 k         -161           
  5.979        9.7 k          27.9 k         -162           
  6.173        10.0 k         28.6 k         -163           
  6.179        10.0 k         28.7 k         -164           
  6.437        10.4 k         29.7 k         -165           
  8.287        13.4 k         36.6 k         -166           
  111.659      176.3 k        426.5 k        -167           
  339.716      517.7 k        1.2 M          -168           
  3300.769     4.7 M          10.8 M         -169           
  3300.772     4.7 M          10.8 M         -170           
  3301.478     4.7 M          10.8 M         -171           
  3439.019     4.9 M          11.3 M         -172           
  3861.202     5.5 M          12.6 M         -173           
  3886.004     5.5 M          12.7 M         -174           
  3886.006     5.5 M          12.7 M         -175           
  4057.298     5.7 M          13.2 M         -176           
  4057.300     5.7 M          13.2 M         -177           
  4057.309     5.7 M          13.2 M         -178           
  4057.696     5.7 M          13.2 M         -179           
  4059.302     5.7 M          13.2 M         -180           
  4059.304     5.7 M          13.2 M         -181           
  5898.303     8.2 M          18.9 M         -182           
