printing solutions in: ./dogs-color/insts/cgshop22/reecn23484.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn23484.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 23484)...
computing neighbors (1000 / 23484)...
computing neighbors (2000 / 23484)...
computing neighbors (3000 / 23484)...
computing neighbors (4000 / 23484)...
computing neighbors (5000 / 23484)...
computing neighbors (6000 / 23484)...
computing neighbors (7000 / 23484)...
computing neighbors (8000 / 23484)...
computing neighbors (9000 / 23484)...
computing neighbors (10000 / 23484)...
computing neighbors (11000 / 23484)...
computing neighbors (12000 / 23484)...
computing neighbors (13000 / 23484)...
computing neighbors (14000 / 23484)...
computing neighbors (15000 / 23484)...
computing neighbors (16000 / 23484)...
computing neighbors (17000 / 23484)...
computing neighbors (18000 / 23484)...
computing neighbors (19000 / 23484)...
computing neighbors (20000 / 23484)...
computing neighbors (21000 / 23484)...
computing neighbors (22000 / 23484)...
computing neighbors (23000 / 23484)...
32800      vertices
23484      segments
212        dominations
=======================
greedy clique: 87
greedy found 87 vertices in 0.024 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.062                                      -87            
  0.064        3.0            141.0          -88            
  0.064        4.0            246.0          -89            
  0.065        6.0            349.0          -90            
  0.067        9.0            476.0          -91            
  0.067        10.0           480.0          -92            
  0.067        11.0           481.0          -93            
  0.068        12.0           567.0          -94            
  0.070        16.0           745.0          -95            
  0.070        17.0           746.0          -96            
  0.071        18.0           827.0          -97            
  0.072        20.0           832.0          -98            
  0.072        21.0           902.0          -99            
  0.073        23.0           905.0          -100           
  0.074        24.0           975.0          -101           
  0.075        26.0           1.0 k          -102           
  0.076        28.0           1.0 k          -103           
  0.076        29.0           1.1 k          -104           
  0.080        35.0           1.4 k          -105           
  0.080        36.0           1.5 k          -106           
  0.082        39.0           1.7 k          -107           
  0.086        46.0           2.0 k          -108           
  0.086        47.0           2.0 k          -109           
  0.087        48.0           2.1 k          -110           
  0.091        55.0           2.5 k          -111           
  0.092        58.0           2.6 k          -112           
  0.093        60.0           2.6 k          -113           
  0.094        62.0           2.7 k          -114           
  0.097        67.0           2.9 k          -115           
  0.098        69.0           3.0 k          -116           
  0.099        71.0           3.0 k          -117           
  0.103        78.0           3.2 k          -118           
  0.103        79.0           3.2 k          -119           
  0.104        80.0           3.3 k          -120           
  0.111        92.0           3.6 k          -121           
  0.114        97.0           3.7 k          -122           
  0.119        105.0          3.9 k          -123           
  0.121        109.0          4.0 k          -124           
  0.130        124.0          4.3 k          -125           
  0.135        131.0          4.4 k          -126           
  0.142        143.0          4.5 k          -127           
  0.146        150.0          4.5 k          -128           
  0.152        161.0          4.7 k          -129           
  0.154        164.0          4.7 k          -130           
  0.154        165.0          4.7 k          -131           
  0.155        167.0          4.7 k          -132           
  0.161        177.0          4.8 k          -133           
  0.162        178.0          4.8 k          -134           
  0.162        179.0          4.8 k          -135           
  0.202        244.0          5.4 k          -136           
  0.204        249.0          5.4 k          -137           
  0.209        258.0          5.4 k          -138           
  0.210        259.0          5.4 k          -139           
  0.216        270.0          5.5 k          -140           
  0.264        348.0          6.0 k          -141           
  0.264        349.0          6.0 k          -142           
  0.265        350.0          6.0 k          -143           
  0.311        426.0          6.5 k          -144           
  0.312        428.0          6.5 k          -145           
  0.313        429.0          6.5 k          -146           
  0.315        433.0          6.5 k          -147           
  0.379        537.0          7.1 k          -148           
  0.787        1.2 k          9.1 k          -149           
  0.825        1.3 k          9.2 k          -150           
  0.829        1.3 k          9.3 k          -151           
  0.983        1.5 k          9.9 k          -152           
  1.355        2.1 k          11.5 k         -153           
  1.355        2.1 k          11.5 k         -154           
  1.356        2.1 k          11.5 k         -155           
  1.360        2.1 k          11.5 k         -156           
  1.874        3.0 k          13.8 k         -157           
  2.062        3.2 k          14.5 k         -158           
  2.065        3.3 k          14.5 k         -159           
  2.065        3.3 k          14.6 k         -160           
  2.128        3.4 k          14.8 k         -161           
  2.167        3.4 k          14.9 k         -162           
  2.269        3.6 k          15.3 k         -163           
  2.270        3.6 k          15.3 k         -164           
  2.746        4.3 k          17.0 k         -165           
  2.753        4.3 k          17.0 k         -166           
  2.774        4.4 k          17.1 k         -167           
  5.444        8.6 k          27.6 k         -168           
  7.745        12.2 k         36.1 k         -169           
  7.747        12.2 k         36.1 k         -170           
  462.243      675.2 k        1.6 M          -171           
  522.365      760.0 k        1.8 M          -172           
