printing solutions in: ./dogs-color/insts/cgshop22/reecn29395.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn29395.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 29395)...
computing neighbors (1000 / 29395)...
computing neighbors (2000 / 29395)...
computing neighbors (3000 / 29395)...
computing neighbors (4000 / 29395)...
computing neighbors (5000 / 29395)...
computing neighbors (6000 / 29395)...
computing neighbors (7000 / 29395)...
computing neighbors (8000 / 29395)...
computing neighbors (9000 / 29395)...
computing neighbors (10000 / 29395)...
computing neighbors (11000 / 29395)...
computing neighbors (12000 / 29395)...
computing neighbors (13000 / 29395)...
computing neighbors (14000 / 29395)...
computing neighbors (15000 / 29395)...
computing neighbors (16000 / 29395)...
computing neighbors (17000 / 29395)...
computing neighbors (18000 / 29395)...
computing neighbors (19000 / 29395)...
computing neighbors (20000 / 29395)...
computing neighbors (21000 / 29395)...
computing neighbors (22000 / 29395)...
computing neighbors (23000 / 29395)...
computing neighbors (24000 / 29395)...
computing neighbors (25000 / 29395)...
computing neighbors (26000 / 29395)...
computing neighbors (27000 / 29395)...
computing neighbors (28000 / 29395)...
computing neighbors (29000 / 29395)...
41470      vertices
29395      segments
237        dominations
=======================
greedy clique: 108
greedy found 108 vertices in 0.038 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.095                                      -108           
  0.098        4.0            218.0          -109           
  0.098        5.0            219.0          -110           
  0.099        6.0            317.0          -111           
  0.101        10.0           610.0          -112           
  0.103        12.0           705.0          -113           
  0.104        14.0           709.0          -114           
  0.104        15.0           798.0          -115           
  0.106        17.0           884.0          -116           
  0.107        19.0           887.0          -117           
  0.107        20.0           971.0          -118           
  0.109        22.0           1.1 k          -119           
  0.110        24.0           1.1 k          -120           
  0.110        25.0           1.1 k          -121           
  0.111        26.0           1.1 k          -122           
  0.111        27.0           1.1 k          -123           
  0.115        32.0           1.4 k          -124           
  0.115        33.0           1.4 k          -125           
  0.116        34.0           1.4 k          -126           
  0.117        36.0           1.4 k          -127           
  0.118        37.0           1.4 k          -128           
  0.118        38.0           1.5 k          -129           
  0.121        42.0           1.7 k          -130           
  0.122        44.0           1.7 k          -131           
  0.124        47.0           1.9 k          -132           
  0.126        49.0           1.9 k          -133           
  0.126        50.0           1.9 k          -134           
  0.126        51.0           1.9 k          -135           
  0.127        52.0           1.9 k          -136           
  0.127        53.0           1.9 k          -137           
  0.128        55.0           1.9 k          -138           
  0.129        56.0           2.0 k          -139           
  0.131        59.0           2.1 k          -140           
  0.133        62.0           2.2 k          -141           
  0.137        67.0           2.3 k          -142           
  0.138        69.0           2.4 k          -143           
  0.138        70.0           2.4 k          -144           
  0.140        72.0           2.4 k          -145           
  0.140        73.0           2.4 k          -146           
  0.154        91.0           2.9 k          -147           
  0.157        95.0           3.0 k          -148           
  0.162        103.0          3.1 k          -149           
  0.167        109.0          3.2 k          -150           
  0.169        113.0          3.2 k          -151           
  0.174        120.0          3.4 k          -152           
  0.180        128.0          3.5 k          -153           
  0.181        130.0          3.5 k          -154           
  0.182        131.0          3.5 k          -155           
  0.184        134.0          3.5 k          -156           
  0.185        136.0          3.5 k          -157           
  0.186        138.0          3.6 k          -158           
  0.194        149.0          3.7 k          -159           
  0.210        169.0          3.9 k          -160           
  0.212        172.0          3.9 k          -161           
  0.248        219.0          4.3 k          -162           
  0.253        226.0          4.4 k          -163           
  0.338        337.0          5.5 k          -164           
  0.369        379.0          5.7 k          -165           
  0.383        398.0          5.7 k          -166           
  0.636        727.0          7.6 k          -167           
  0.640        732.0          7.6 k          -168           
  0.705        819.0          7.9 k          -169           
  0.768        901.0          8.1 k          -170           
  0.850        1.0 k          8.4 k          -171           
  0.867        1.0 k          8.4 k          -172           
  1.230        1.5 k          9.7 k          -173           
  1.535        1.9 k          10.8 k         -174           
  1.574        1.9 k          10.9 k         -175           
  1.613        2.0 k          11.0 k         -176           
  2.033        2.5 k          12.4 k         -177           
  2.033        2.5 k          12.4 k         -178           
  2.037        2.5 k          12.4 k         -179           
  2.038        2.5 k          12.4 k         -180           
  2.054        2.6 k          12.5 k         -181           
  2.624        3.3 k          14.2 k         -182           
  9.484        11.9 k         34.9 k         -183           
  10.257       12.9 k         37.4 k         -184           
  10.257       12.9 k         37.4 k         -185           
  12.126       15.2 k         43.6 k         -186           
  12.128       15.2 k         43.6 k         -187           
  12.193       15.3 k         43.8 k         -188           
  12.202       15.3 k         43.9 k         -189           
  12.202       15.3 k         43.9 k         -190           
  12.210       15.3 k         43.9 k         -191           
  490.682      555.7 k        1.3 M          -192           
  1318.737     1.5 M          3.6 M          -193           
  1318.738     1.5 M          3.6 M          -194           
  1347.116     1.5 M          3.7 M          -195           
  3842.228     4.2 M          10.0 M         -196           
  4148.124     4.5 M          10.8 M         -197           
  7538.227     8.1 M          19.3 M         -198           
