printing solutions in: ./dogs-color/insts/cgshop22/reecn41237.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn41237.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 41237)...
computing neighbors (1000 / 41237)...
computing neighbors (2000 / 41237)...
computing neighbors (3000 / 41237)...
computing neighbors (4000 / 41237)...
computing neighbors (5000 / 41237)...
computing neighbors (6000 / 41237)...
computing neighbors (7000 / 41237)...
computing neighbors (8000 / 41237)...
computing neighbors (9000 / 41237)...
computing neighbors (10000 / 41237)...
computing neighbors (11000 / 41237)...
computing neighbors (12000 / 41237)...
computing neighbors (13000 / 41237)...
computing neighbors (14000 / 41237)...
computing neighbors (15000 / 41237)...
computing neighbors (16000 / 41237)...
computing neighbors (17000 / 41237)...
computing neighbors (18000 / 41237)...
computing neighbors (19000 / 41237)...
computing neighbors (20000 / 41237)...
computing neighbors (21000 / 41237)...
computing neighbors (22000 / 41237)...
computing neighbors (23000 / 41237)...
computing neighbors (24000 / 41237)...
computing neighbors (25000 / 41237)...
computing neighbors (26000 / 41237)...
computing neighbors (27000 / 41237)...
computing neighbors (28000 / 41237)...
computing neighbors (29000 / 41237)...
computing neighbors (30000 / 41237)...
computing neighbors (31000 / 41237)...
computing neighbors (32000 / 41237)...
computing neighbors (33000 / 41237)...
computing neighbors (34000 / 41237)...
computing neighbors (35000 / 41237)...
computing neighbors (36000 / 41237)...
computing neighbors (37000 / 41237)...
computing neighbors (38000 / 41237)...
computing neighbors (39000 / 41237)...
computing neighbors (40000 / 41237)...
computing neighbors (41000 / 41237)...
57540      vertices
41237      segments
342        dominations
=======================
greedy clique: 179
greedy found 179 vertices in 0.095 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.248                                      -179           
  0.252        4.0            318.0          -180           
  0.255        7.0            420.0          -181           
  0.256        8.0            422.0          -182           
  0.257        9.0            423.0          -183           
  0.258        10.0           514.0          -184           
  0.260        12.0           517.0          -185           
  0.260        13.0           608.0          -186           
  0.262        15.0           696.0          -187           
  0.264        17.0           782.0          -188           
  0.266        19.0           866.0          -189           
  0.270        22.0           956.0          -190           
  0.271        23.0           958.0          -191           
  0.271        24.0           959.0          -192           
  0.272        25.0           1.0 k          -193           
  0.274        27.0           1.1 k          -194           
  0.276        29.0           1.1 k          -195           
  0.277        30.0           1.2 k          -196           
  0.279        32.0           1.3 k          -197           
  0.282        35.0           1.4 k          -198           
  0.287        39.0           1.7 k          -199           
  0.290        42.0           1.7 k          -200           
  0.291        43.0           1.8 k          -201           
  0.293        45.0           1.8 k          -202           
  0.294        46.0           1.9 k          -203           
  0.298        50.0           2.1 k          -204           
  0.300        52.0           2.1 k          -205           
  0.301        53.0           2.2 k          -206           
  0.306        57.0           2.4 k          -207           
  0.310        61.0           2.6 k          -208           
  0.312        63.0           2.7 k          -209           
  0.318        68.0           2.9 k          -210           
  0.319        69.0           3.0 k          -211           
  0.322        72.0           3.1 k          -212           
  0.324        74.0           3.2 k          -213           
  0.327        77.0           3.3 k          -214           
  0.328        78.0           3.3 k          -215           
  0.337        85.0           3.7 k          -216           
  0.340        88.0           3.9 k          -217           
  0.343        91.0           4.0 k          -218           
  0.345        93.0           4.1 k          -219           
  0.347        95.0           4.1 k          -220           
  0.353        100.0          4.3 k          -221           
  0.359        105.0          4.6 k          -222           
  0.362        108.0          4.7 k          -223           
  0.363        109.0          4.7 k          -224           
  0.370        115.0          5.0 k          -225           
  0.371        116.0          5.0 k          -226           
  0.374        119.0          5.2 k          -227           
  0.379        123.0          5.3 k          -228           
  0.379        124.0          5.4 k          -229           
  0.382        126.0          5.4 k          -230           
  0.382        127.0          5.4 k          -231           
  0.383        128.0          5.4 k          -232           
  0.384        129.0          5.4 k          -233           
  0.386        131.0          5.5 k          -234           
  0.389        134.0          5.6 k          -235           
  0.392        137.0          5.7 k          -236           
  0.393        138.0          5.7 k          -237           
  0.395        140.0          5.8 k          -238           
  0.400        144.0          5.9 k          -239           
  0.404        148.0          6.0 k          -240           
  0.405        149.0          6.0 k          -241           
  0.406        150.0          6.1 k          -242           
  0.423        164.0          6.7 k          -243           
  0.434        174.0          7.0 k          -244           
  0.444        182.0          7.3 k          -245           
  0.459        194.0          7.6 k          -246           
  0.467        201.0          7.8 k          -247           
  0.504        232.0          8.3 k          -248           
  0.505        233.0          8.3 k          -249           
  0.530        254.0          8.5 k          -250           
  0.864        528.0          10.5 k         -251           
  0.887        548.0          10.7 k         -252           
  0.889        550.0          10.7 k         -253           
  0.894        554.0          10.7 k         -254           
  0.897        557.0          10.7 k         -255           
  1.074        703.0          11.7 k         -256           
  1.129        749.0          11.9 k         -257           
  1.170        784.0          12.2 k         -258           
  1.177        790.0          12.2 k         -259           
  1.179        792.0          12.2 k         -260           
  1.181        794.0          12.2 k         -261           
  1.182        795.0          12.2 k         -262           
  1.184        797.0          12.2 k         -263           
  1.193        805.0          12.3 k         -264           
  1.659        1.2 k          13.8 k         -265           
  1.915        1.4 k          14.6 k         -266           
  1.922        1.4 k          14.6 k         -267           
  1.972        1.4 k          14.8 k         -268           
  2.670        2.0 k          16.6 k         -269           
  2.676        2.0 k          16.6 k         -270           
  2.680        2.0 k          16.6 k         -271           
  2.684        2.0 k          16.6 k         -272           
  5.669        4.4 k          23.6 k         -273           
  5.783        4.5 k          23.9 k         -274           
  8.010        6.4 k          29.4 k         -275           
  8.019        6.4 k          29.4 k         -276           
  8.078        6.4 k          29.5 k         -277           
  8.256        6.6 k          30.0 k         -278           
  8.375        6.6 k          30.3 k         -279           
  8.385        6.7 k          30.3 k         -280           
  8.398        6.7 k          30.3 k         -281           
  8.581        6.8 k          30.7 k         -282           
  8.587        6.8 k          30.7 k         -283           
  8.589        6.8 k          30.7 k         -284           
  8.628        6.9 k          30.8 k         -285           
  8.792        7.0 k          31.2 k         -286           
  76.187       60.1 k         178.2 k        -287           
  2548.077     1.9 M          5.1 M          -288           
  2548.089     1.9 M          5.1 M          -289           
  4630.072     3.4 M          9.1 M          -290           
  30847.641    21.6 M         57.7 M         -291           
