printing solutions in: ./dogs-color/insts/cgshop22/reecn44299.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn44299.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 44299)...
computing neighbors (1000 / 44299)...
computing neighbors (2000 / 44299)...
computing neighbors (3000 / 44299)...
computing neighbors (4000 / 44299)...
computing neighbors (5000 / 44299)...
computing neighbors (6000 / 44299)...
computing neighbors (7000 / 44299)...
computing neighbors (8000 / 44299)...
computing neighbors (9000 / 44299)...
computing neighbors (10000 / 44299)...
computing neighbors (11000 / 44299)...
computing neighbors (12000 / 44299)...
computing neighbors (13000 / 44299)...
computing neighbors (14000 / 44299)...
computing neighbors (15000 / 44299)...
computing neighbors (16000 / 44299)...
computing neighbors (17000 / 44299)...
computing neighbors (18000 / 44299)...
computing neighbors (19000 / 44299)...
computing neighbors (20000 / 44299)...
computing neighbors (21000 / 44299)...
computing neighbors (22000 / 44299)...
computing neighbors (23000 / 44299)...
computing neighbors (24000 / 44299)...
computing neighbors (25000 / 44299)...
computing neighbors (26000 / 44299)...
computing neighbors (27000 / 44299)...
computing neighbors (28000 / 44299)...
computing neighbors (29000 / 44299)...
computing neighbors (30000 / 44299)...
computing neighbors (31000 / 44299)...
computing neighbors (32000 / 44299)...
computing neighbors (33000 / 44299)...
computing neighbors (34000 / 44299)...
computing neighbors (35000 / 44299)...
computing neighbors (36000 / 44299)...
computing neighbors (37000 / 44299)...
computing neighbors (38000 / 44299)...
computing neighbors (39000 / 44299)...
computing neighbors (40000 / 44299)...
computing neighbors (41000 / 44299)...
computing neighbors (42000 / 44299)...
computing neighbors (43000 / 44299)...
computing neighbors (44000 / 44299)...
62040      vertices
44299      segments
376        dominations
=======================
greedy clique: 167
greedy found 167 vertices in 0.119 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.375                                      -167           
  0.379        4.0            352.0          -168           
  0.381        6.0            466.0          -169           
  0.384        8.0            473.0          -170           
  0.385        9.0            475.0          -171           
  0.386        10.0           476.0          -172           
  0.387        11.0           584.0          -173           
  0.389        13.0           589.0          -174           
  0.390        14.0           590.0          -175           
  0.391        15.0           688.0          -176           
  0.395        18.0           790.0          -177           
  0.395        19.0           791.0          -178           
  0.396        20.0           886.0          -179           
  0.400        23.0           983.0          -180           
  0.401        24.0           1.1 k          -181           
  0.405        27.0           1.2 k          -182           
  0.406        28.0           1.2 k          -183           
  0.408        30.0           1.3 k          -184           
  0.411        32.0           1.3 k          -185           
  0.412        33.0           1.3 k          -186           
  0.413        34.0           1.3 k          -187           
  0.413        35.0           1.4 k          -188           
  0.420        40.0           1.6 k          -189           
  0.421        41.0           1.7 k          -190           
  0.425        44.0           1.9 k          -191           
  0.429        47.0           1.9 k          -192           
  0.430        48.0           1.9 k          -193           
  0.431        49.0           2.0 k          -194           
  0.442        57.0           2.4 k          -195           
  0.443        58.0           2.4 k          -196           
  0.444        59.0           2.4 k          -197           
  0.450        64.0           2.7 k          -198           
  0.454        67.0           2.8 k          -199           
  0.457        69.0           2.8 k          -200           
  0.461        72.0           2.9 k          -201           
  0.462        73.0           2.9 k          -202           
  0.468        78.0           3.1 k          -203           
  0.469        79.0           3.1 k          -204           
  0.470        80.0           3.1 k          -205           
  0.472        82.0           3.1 k          -206           
  0.480        88.0           3.4 k          -207           
  0.490        95.0           3.7 k          -208           
  0.492        97.0           3.7 k          -209           
  0.501        103.0          3.9 k          -210           
  0.504        106.0          4.0 k          -211           
  0.509        110.0          4.1 k          -212           
  0.512        112.0          4.1 k          -213           
  0.513        113.0          4.2 k          -214           
  0.525        122.0          4.5 k          -215           
  0.527        124.0          4.6 k          -216           
