printing solutions in: ./dogs-color/insts/cgshop22/reecn50133.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn50133.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 50133)...
computing neighbors (1000 / 50133)...
computing neighbors (2000 / 50133)...
computing neighbors (3000 / 50133)...
computing neighbors (4000 / 50133)...
computing neighbors (5000 / 50133)...
computing neighbors (6000 / 50133)...
computing neighbors (7000 / 50133)...
computing neighbors (8000 / 50133)...
computing neighbors (9000 / 50133)...
computing neighbors (10000 / 50133)...
computing neighbors (11000 / 50133)...
computing neighbors (12000 / 50133)...
computing neighbors (13000 / 50133)...
computing neighbors (14000 / 50133)...
computing neighbors (15000 / 50133)...
computing neighbors (16000 / 50133)...
computing neighbors (17000 / 50133)...
computing neighbors (18000 / 50133)...
computing neighbors (19000 / 50133)...
computing neighbors (20000 / 50133)...
computing neighbors (21000 / 50133)...
computing neighbors (22000 / 50133)...
computing neighbors (23000 / 50133)...
computing neighbors (24000 / 50133)...
computing neighbors (25000 / 50133)...
computing neighbors (26000 / 50133)...
computing neighbors (27000 / 50133)...
computing neighbors (28000 / 50133)...
computing neighbors (29000 / 50133)...
computing neighbors (30000 / 50133)...
computing neighbors (31000 / 50133)...
computing neighbors (32000 / 50133)...
computing neighbors (33000 / 50133)...
computing neighbors (34000 / 50133)...
computing neighbors (35000 / 50133)...
computing neighbors (36000 / 50133)...
computing neighbors (37000 / 50133)...
computing neighbors (38000 / 50133)...
computing neighbors (39000 / 50133)...
computing neighbors (40000 / 50133)...
computing neighbors (41000 / 50133)...
computing neighbors (42000 / 50133)...
computing neighbors (43000 / 50133)...
computing neighbors (44000 / 50133)...
computing neighbors (45000 / 50133)...
computing neighbors (46000 / 50133)...
computing neighbors (47000 / 50133)...
computing neighbors (48000 / 50133)...
computing neighbors (49000 / 50133)...
computing neighbors (50000 / 50133)...
70096      vertices
50133      segments
335        dominations
=======================
greedy clique: 156
greedy found 156 vertices in 0.124 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.409                                      -156           
  0.416        5.0            449.0          -157           
  0.417        6.0            452.0          -158           
  0.418        7.0            454.0          -159           
  0.419        8.0            455.0          -160           
  0.420        9.0            593.0          -161           
  0.422        11.0           604.0          -162           
  0.423        12.0           608.0          -163           
  0.424        13.0           610.0          -164           
  0.425        14.0           611.0          -165           
  0.426        15.0           734.0          -166           
  0.429        17.0           739.0          -167           
  0.430        18.0           740.0          -168           
  0.431        19.0           853.0          -169           
  0.434        21.0           968.0          -170           
  0.437        23.0           974.0          -171           
  0.438        24.0           1.1 k          -172           
  0.440        26.0           1.1 k          -173           
  0.441        27.0           1.1 k          -174           
  0.442        28.0           1.2 k          -175           
  0.452        34.0           1.7 k          -176           
  0.456        37.0           1.8 k          -177           
  0.457        38.0           1.9 k          -178           
  0.459        40.0           1.9 k          -179           
  0.460        41.0           2.0 k          -180           
  0.463        43.0           2.0 k          -181           
  0.467        46.0           2.2 k          -182           
  0.470        48.0           2.2 k          -183           
  0.471        49.0           2.3 k          -184           
  0.475        52.0           2.5 k          -185           
  0.480        55.0           2.6 k          -186           
  0.484        58.0           2.8 k          -187           
  0.486        60.0           2.9 k          -188           
  0.490        63.0           3.0 k          -189           
  0.501        70.0           3.4 k          -190           
  0.502        71.0           3.5 k          -191           
  0.506        74.0           3.5 k          -192           
  0.507        75.0           3.5 k          -193           
  0.508        76.0           3.5 k          -194           
  0.509        77.0           3.6 k          -195           
  0.515        81.0           3.8 k          -196           
  0.524        87.0           4.0 k          -197           
  0.527        89.0           4.1 k          -198           
  0.529        91.0           4.2 k          -199           
  0.532        93.0           4.2 k          -200           
  0.536        96.0           4.3 k          -201           
  0.537        97.0           4.3 k          -202           
  0.538        98.0           4.3 k          -203           
  0.563        114.0          5.2 k          -204           
  0.566        116.0          5.3 k          -205           
  0.570        119.0          5.4 k          -206           
  0.581        126.0          5.6 k          -207           
  0.582        127.0          5.6 k          -208           
  0.583        128.0          5.7 k          -209           
  0.585        130.0          5.7 k          -210           
  0.593        135.0          5.9 k          -211           
  0.596        137.0          5.9 k          -212           
  0.610        146.0          6.1 k          -213           
  0.611        147.0          6.2 k          -214           
  0.623        155.0          6.3 k          -215           
  0.624        156.0          6.4 k          -216           
  0.628        159.0          6.4 k          -217           
  0.629        160.0          6.4 k          -218           
  0.633        163.0          6.4 k          -219           
  0.644        170.0          6.5 k          -220           
  0.645        171.0          6.5 k          -221           
  0.666        185.0          6.7 k          -222           
  0.690        198.0          6.9 k          -223           
  0.703        207.0          6.9 k          -224           
  0.704        208.0          6.9 k          -225           
  0.819        281.0          8.1 k          -226           
  0.839        294.0          8.2 k          -227           
  0.847        299.0          8.2 k          -228           
  0.848        300.0          8.2 k          -229           
  0.863        310.0          8.3 k          -230           
  0.875        318.0          8.4 k          -231           
  0.882        323.0          8.4 k          -232           
  0.896        332.0          8.6 k          -233           
  0.908        340.0          8.7 k          -234           
  0.909        341.0          8.7 k          -235           
  0.910        342.0          8.7 k          -236           
  0.922        350.0          8.7 k          -237           
  0.951        368.0          8.9 k          -238           
  0.956        372.0          8.9 k          -239           
  0.965        378.0          9.0 k          -240           
  0.982        389.0          9.1 k          -241           
  1.004        404.0          9.2 k          -242           
  1.009        408.0          9.2 k          -243           
  1.010        409.0          9.2 k          -244           
  1.011        410.0          9.2 k          -245           
  1.031        422.0          9.3 k          -246           
  1.247        559.0          10.6 k         -247           
  1.301        594.0          10.8 k         -248           
  1.313        602.0          10.9 k         -249           
  4.488        2.6 k          17.4 k         -250           
  4.643        2.7 k          17.7 k         -251           
  4.644        2.7 k          17.7 k         -252           
  5.212        3.1 k          18.6 k         -253           
  5.418        3.2 k          19.1 k         -254           
  5.421        3.2 k          19.1 k         -255           
  5.422        3.2 k          19.1 k         -256           
  7.678        4.6 k          22.5 k         -257           
  7.684        4.6 k          22.5 k         -258           
  7.692        4.6 k          22.5 k         -259           
  11.218       6.8 k          27.9 k         -260           
  75.856       46.2 k         124.5 k        -261           
  80.189       48.9 k         130.9 k        -262           
  80.706       49.2 k         131.6 k        -263           
  80.823       49.3 k         131.7 k        -264           
  110.945      67.4 k         176.2 k        -265           
  539.301      316.9 k        749.8 k        -266           
  539.307      316.9 k        749.8 k        -267           
