printing solutions in: ./dogs-color/insts/cgshop22/reecn58325.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn58325.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 58325)...
computing neighbors (1000 / 58325)...
computing neighbors (2000 / 58325)...
computing neighbors (3000 / 58325)...
computing neighbors (4000 / 58325)...
computing neighbors (5000 / 58325)...
computing neighbors (6000 / 58325)...
computing neighbors (7000 / 58325)...
computing neighbors (8000 / 58325)...
computing neighbors (9000 / 58325)...
computing neighbors (10000 / 58325)...
computing neighbors (11000 / 58325)...
computing neighbors (12000 / 58325)...
computing neighbors (13000 / 58325)...
computing neighbors (14000 / 58325)...
computing neighbors (15000 / 58325)...
computing neighbors (16000 / 58325)...
computing neighbors (17000 / 58325)...
computing neighbors (18000 / 58325)...
computing neighbors (19000 / 58325)...
computing neighbors (20000 / 58325)...
computing neighbors (21000 / 58325)...
computing neighbors (22000 / 58325)...
computing neighbors (23000 / 58325)...
computing neighbors (24000 / 58325)...
computing neighbors (25000 / 58325)...
computing neighbors (26000 / 58325)...
computing neighbors (27000 / 58325)...
computing neighbors (28000 / 58325)...
computing neighbors (29000 / 58325)...
computing neighbors (30000 / 58325)...
computing neighbors (31000 / 58325)...
computing neighbors (32000 / 58325)...
computing neighbors (33000 / 58325)...
computing neighbors (34000 / 58325)...
computing neighbors (35000 / 58325)...
computing neighbors (36000 / 58325)...
computing neighbors (37000 / 58325)...
computing neighbors (38000 / 58325)...
computing neighbors (39000 / 58325)...
computing neighbors (40000 / 58325)...
computing neighbors (41000 / 58325)...
computing neighbors (42000 / 58325)...
computing neighbors (43000 / 58325)...
computing neighbors (44000 / 58325)...
computing neighbors (45000 / 58325)...
computing neighbors (46000 / 58325)...
computing neighbors (47000 / 58325)...
computing neighbors (48000 / 58325)...
computing neighbors (49000 / 58325)...
computing neighbors (50000 / 58325)...
computing neighbors (51000 / 58325)...
computing neighbors (52000 / 58325)...
computing neighbors (53000 / 58325)...
computing neighbors (54000 / 58325)...
computing neighbors (55000 / 58325)...
computing neighbors (56000 / 58325)...
computing neighbors (57000 / 58325)...
computing neighbors (58000 / 58325)...
82080      vertices
58325      segments
383        dominations
=======================
greedy clique: 183
greedy found 183 vertices in 0.140 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.368                                      -183           
  0.377        6.0            555.0          -184           
  0.378        7.0            556.0          -185           
  0.379        8.0            688.0          -186           
  0.382        10.0           698.0          -187           
  0.383        11.0           699.0          -188           
  0.384        12.0           823.0          -189           
  0.387        14.0           828.0          -190           
  0.388        15.0           938.0          -191           
  0.391        17.0           941.0          -192           
  0.392        18.0           1.0 k          -193           
  0.400        23.0           1.5 k          -194           
  0.408        28.0           1.9 k          -195           
  0.411        30.0           1.9 k          -196           
  0.412        31.0           1.9 k          -197           
  0.413        32.0           1.9 k          -198           
  0.414        33.0           1.9 k          -199           
  0.415        34.0           1.9 k          -200           
  0.416        35.0           2.0 k          -201           
  0.419        37.0           2.1 k          -202           
  0.422        39.0           2.1 k          -203           
  0.423        40.0           2.2 k          -204           
  0.428        43.0           2.4 k          -205           
  0.431        45.0           2.5 k          -206           
  0.434        47.0           2.6 k          -207           
  0.435        48.0           2.7 k          -208           
  0.441        52.0           2.9 k          -209           
  0.442        53.0           2.9 k          -210           
  0.443        54.0           3.0 k          -211           
  0.446        56.0           3.1 k          -212           
  0.459        64.0           3.7 k          -213           
  0.461        65.0           3.8 k          -214           
  0.464        67.0           3.9 k          -215           
  0.468        70.0           4.1 k          -216           
  0.471        72.0           4.2 k          -217           
  0.475        75.0           4.4 k          -218           
  0.480        78.0           4.5 k          -219           
  0.481        79.0           4.6 k          -220           
  0.486        82.0           4.7 k          -221           
  0.487        83.0           4.7 k          -222           
  0.493        87.0           5.0 k          -223           
  0.496        89.0           5.0 k          -224           
  0.497        90.0           5.0 k          -225           
  0.498        91.0           5.0 k          -226           
  0.504        95.0           5.2 k          -227           
  0.505        96.0           5.2 k          -228           
  0.506        97.0           5.2 k          -229           
  0.507        98.0           5.2 k          -230           
  0.512        101.0          5.4 k          -231           
  0.515        103.0          5.4 k          -232           
  0.518        105.0          5.5 k          -233           
  0.522        108.0          5.6 k          -234           
  0.527        111.0          5.7 k          -235           
  0.537        117.0          6.0 k          -236           
  0.540        119.0          6.0 k          -237           
  0.546        123.0          6.2 k          -238           
  0.554        128.0          6.4 k          -239           
  0.559        131.0          6.5 k          -240           
  0.564        134.0          6.6 k          -241           
  0.565        135.0          6.6 k          -242           
  0.566        136.0          6.6 k          -243           
  0.568        138.0          6.7 k          -244           
  0.575        142.0          6.8 k          -245           
  0.578        144.0          6.9 k          -246           
  0.584        148.0          7.0 k          -247           
  0.589        151.0          7.1 k          -248           
  0.590        152.0          7.1 k          -249           
  0.593        154.0          7.1 k          -250           
  0.601        159.0          7.3 k          -251           
  0.616        168.0          7.6 k          -252           
  0.617        169.0          7.6 k          -253           
  0.618        170.0          7.6 k          -254           
  0.636        181.0          7.9 k          -255           
  0.662        197.0          8.2 k          -256           
  0.670        202.0          8.3 k          -257           
  0.671        203.0          8.3 k          -258           
  0.672        204.0          8.3 k          -259           
  0.692        216.0          8.4 k          -260           
  0.693        217.0          8.4 k          -261           
  0.707        225.0          8.5 k          -262           
  0.711        228.0          8.5 k          -263           
  0.714        230.0          8.5 k          -264           
  0.733        240.0          8.5 k          -265           
  0.744        247.0          8.7 k          -266           
  0.773        265.0          9.0 k          -267           
  0.808        286.0          9.3 k          -268           
  0.809        287.0          9.3 k          -269           
  0.815        291.0          9.4 k          -270           
  0.818        293.0          9.4 k          -271           
  0.819        294.0          9.4 k          -272           
  0.822        296.0          9.4 k          -273           
  0.828        300.0          9.4 k          -274           
  0.846        311.0          9.6 k          -275           
  0.848        313.0          9.6 k          -276           
  0.849        314.0          9.6 k          -277           
  0.850        315.0          9.6 k          -278           
  0.863        323.0          9.6 k          -279           
  0.866        325.0          9.6 k          -280           
  0.868        327.0          9.6 k          -281           
