printing solutions in: ./dogs-color/insts/cgshop22/reecn61436.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn61436.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 61436)...
computing neighbors (1000 / 61436)...
computing neighbors (2000 / 61436)...
computing neighbors (3000 / 61436)...
computing neighbors (4000 / 61436)...
computing neighbors (5000 / 61436)...
computing neighbors (6000 / 61436)...
computing neighbors (7000 / 61436)...
computing neighbors (8000 / 61436)...
computing neighbors (9000 / 61436)...
computing neighbors (10000 / 61436)...
computing neighbors (11000 / 61436)...
computing neighbors (12000 / 61436)...
computing neighbors (13000 / 61436)...
computing neighbors (14000 / 61436)...
computing neighbors (15000 / 61436)...
computing neighbors (16000 / 61436)...
computing neighbors (17000 / 61436)...
computing neighbors (18000 / 61436)...
computing neighbors (19000 / 61436)...
computing neighbors (20000 / 61436)...
computing neighbors (21000 / 61436)...
computing neighbors (22000 / 61436)...
computing neighbors (23000 / 61436)...
computing neighbors (24000 / 61436)...
computing neighbors (25000 / 61436)...
computing neighbors (26000 / 61436)...
computing neighbors (27000 / 61436)...
computing neighbors (28000 / 61436)...
computing neighbors (29000 / 61436)...
computing neighbors (30000 / 61436)...
computing neighbors (31000 / 61436)...
computing neighbors (32000 / 61436)...
computing neighbors (33000 / 61436)...
computing neighbors (34000 / 61436)...
computing neighbors (35000 / 61436)...
computing neighbors (36000 / 61436)...
computing neighbors (37000 / 61436)...
computing neighbors (38000 / 61436)...
computing neighbors (39000 / 61436)...
computing neighbors (40000 / 61436)...
computing neighbors (41000 / 61436)...
computing neighbors (42000 / 61436)...
computing neighbors (43000 / 61436)...
computing neighbors (44000 / 61436)...
computing neighbors (45000 / 61436)...
computing neighbors (46000 / 61436)...
computing neighbors (47000 / 61436)...
computing neighbors (48000 / 61436)...
computing neighbors (49000 / 61436)...
computing neighbors (50000 / 61436)...
computing neighbors (51000 / 61436)...
computing neighbors (52000 / 61436)...
computing neighbors (53000 / 61436)...
computing neighbors (54000 / 61436)...
computing neighbors (55000 / 61436)...
computing neighbors (56000 / 61436)...
computing neighbors (57000 / 61436)...
computing neighbors (58000 / 61436)...
computing neighbors (59000 / 61436)...
computing neighbors (60000 / 61436)...
computing neighbors (61000 / 61436)...
86372      vertices
61436      segments
388        dominations
=======================
greedy clique: 123
greedy found 123 vertices in 0.085 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.252                                      -123           
  0.255        3.0            157.0          -124           
  0.256        4.0            158.0          -125           
  0.257        5.0            305.0          -126           
  0.260        7.0            450.0          -127           
  0.262        9.0            591.0          -128           
  0.267        12.0           733.0          -129           
  0.267        13.0           734.0          -130           
  0.268        14.0           878.0          -131           
  0.274        18.0           1.2 k          -132           
  0.275        19.0           1.2 k          -133           
  0.276        20.0           1.2 k          -134           
  0.277        21.0           1.3 k          -135           
  0.279        23.0           1.3 k          -136           
  0.280        24.0           1.3 k          -137           
  0.281        25.0           1.4 k          -138           
  0.285        28.0           1.5 k          -139           
  0.286        29.0           1.5 k          -140           
  0.287        30.0           1.6 k          -141           
  0.296        36.0           2.0 k          -142           
  0.297        37.0           2.1 k          -143           
  0.300        39.0           2.2 k          -144           
  0.307        44.0           2.5 k          -145           
  0.307        45.0           2.5 k          -146           
  0.308        46.0           2.6 k          -147           
  0.311        48.0           2.7 k          -148           
  0.315        51.0           2.8 k          -149           
  0.316        52.0           2.8 k          -150           
  0.322        56.0           3.0 k          -151           
  0.323        57.0           3.1 k          -152           
  0.332        63.0           3.4 k          -153           
  0.333        64.0           3.4 k          -154           
  0.334        65.0           3.4 k          -155           
  0.335        66.0           3.5 k          -156           
  0.337        68.0           3.5 k          -157           
  0.338        69.0           3.6 k          -158           
  0.342        72.0           3.7 k          -159           
  0.348        76.0           3.9 k          -160           
  0.355        81.0           4.2 k          -161           
  0.359        84.0           4.3 k          -162           
  0.371        92.0           4.7 k          -163           
  0.401        112.0          5.7 k          -164           
  0.402        113.0          5.7 k          -165           
  0.403        114.0          5.7 k          -166           
  0.404        115.0          5.8 k          -167           
  0.410        119.0          5.9 k          -168           
  0.427        130.0          6.3 k          -169           
  0.428        131.0          6.3 k          -170           
  0.441        140.0          6.6 k          -171           
  0.453        148.0          6.8 k          -172           
  0.458        152.0          6.8 k          -173           
  0.470        160.0          7.0 k          -174           
  0.478        165.0          7.1 k          -175           
  0.495        176.0          7.2 k          -176           
  0.516        190.0          7.3 k          -177           
  0.523        195.0          7.3 k          -178           
  0.557        217.0          7.6 k          -179           
  0.558        218.0          7.6 k          -180           
  0.565        223.0          7.7 k          -181           
  0.592        241.0          7.9 k          -182           
  0.597        245.0          7.9 k          -183           
  0.621        261.0          8.0 k          -184           
  0.631        268.0          8.1 k          -185           
  0.637        272.0          8.1 k          -186           
  0.641        275.0          8.1 k          -187           
