printing solutions in: ./dogs-color/insts/cgshop22/reecn7847.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/reecn7847.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 7847)...
computing neighbors (1000 / 7847)...
computing neighbors (2000 / 7847)...
computing neighbors (3000 / 7847)...
computing neighbors (4000 / 7847)...
computing neighbors (5000 / 7847)...
computing neighbors (6000 / 7847)...
computing neighbors (7000 / 7847)...
10912      vertices
7847       segments
124        dominations
=======================
greedy clique: 38
greedy found 38 vertices in 0.004 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.008                                      -38            
  0.009        3.0            94.0           -39            
  0.009        4.0            151.0          -40            
  0.009        6.0            202.0          -41            
  0.010        11.0           390.0          -42            
  0.011        13.0           400.0          -43            
  0.011        14.0           402.0          -44            
  0.011        15.0           442.0          -45            
  0.011        18.0           485.0          -46            
  0.012        19.0           521.0          -47            
  0.013        26.0           742.0          -48            
  0.013        28.0           779.0          -49            
  0.015        35.0           969.0          -50            
  0.015        39.0           1.1 k          -51            
  0.016        41.0           1.1 k          -52            
  0.016        42.0           1.1 k          -53            
  0.017        49.0           1.2 k          -54            
  0.019        56.0           1.3 k          -55            
  0.019        58.0           1.4 k          -56            
  0.020        65.0           1.4 k          -57            
  0.021        68.0           1.4 k          -58            
  0.021        69.0           1.5 k          -59            
  0.021        71.0           1.5 k          -60            
  0.022        78.0           1.5 k          -61            
  0.024        88.0           1.6 k          -62            
  0.040        166.0          2.0 k          -63            
  0.040        167.0          2.0 k          -64            
  0.041        171.0          2.0 k          -65            
  0.041        172.0          2.0 k          -66            
  0.042        174.0          2.0 k          -67            
  0.050        215.0          2.2 k          -68            
  0.052        228.0          2.3 k          -69            
  0.053        231.0          2.3 k          -70            
  0.054        239.0          2.3 k          -71            
  0.055        240.0          2.3 k          -72            
  0.058        258.0          2.4 k          -73            
  0.058        259.0          2.4 k          -74            
  0.059        261.0          2.4 k          -75            
  0.073        334.0          2.7 k          -76            
  0.091        424.0          3.0 k          -77            
  0.093        431.0          3.0 k          -78            
  0.304        1.5 k          5.7 k          -79            
  1.171        5.6 k          15.6 k         -80            
  18.804       86.0 k         193.5 k        -81            
  454.118      1.9 M          4.1 M          -82            
