printing solutions in: ./dogs-color/insts/cgshop22/rvisp9770.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/rvisp9770.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 9770)...
computing neighbors (1000 / 9770)...
computing neighbors (2000 / 9770)...
computing neighbors (3000 / 9770)...
computing neighbors (4000 / 9770)...
computing neighbors (5000 / 9770)...
computing neighbors (6000 / 9770)...
computing neighbors (7000 / 9770)...
computing neighbors (8000 / 9770)...
computing neighbors (9000 / 9770)...
343        vertices
9770       segments
4788       dominations
=======================
greedy clique: 34
greedy found 34 vertices in 0.008 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.005                                      -34            
  0.006        3.0            185.0          -35            
  0.007        9.0            620.0          -36            
  0.008        14.0           895.0          -37            
  0.009        20.0           1.3 k          -38            
  0.010        23.0           1.4 k          -39            
  0.011        30.0           1.9 k          -40            
  0.012        37.0           2.3 k          -41            
  0.016        54.0           3.0 k          -42            
  0.018        64.0           3.4 k          -43            
  0.020        74.0           3.8 k          -44            
  0.021        80.0           3.9 k          -45            
  0.030        122.0          5.0 k          -46            
  0.035        142.0          5.3 k          -47            
  0.040        170.0          5.6 k          -48            
  0.064        281.0          6.4 k          -49            
  0.064        284.0          6.5 k          -50            
  0.065        288.0          6.5 k          -51            
  0.066        291.0          6.6 k          -52            
  0.072        320.0          6.7 k          -53            
  0.123        563.0          7.9 k          -54            
  1.060        4.8 k          26.8 k         -55            
  1.090        5.0 k          27.3 k         -56            
  20.596       87.9 k         405.9 k        -57            
  1393.269     5.7 M          25.9 M         -58            
