printing solutions in: ./dogs-color/insts/cgshop22/sqrp10642.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrp10642.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 10642)...
computing neighbors (1000 / 10642)...
computing neighbors (2000 / 10642)...
computing neighbors (3000 / 10642)...
computing neighbors (4000 / 10642)...
computing neighbors (5000 / 10642)...
computing neighbors (6000 / 10642)...
computing neighbors (7000 / 10642)...
computing neighbors (8000 / 10642)...
computing neighbors (9000 / 10642)...
computing neighbors (10000 / 10642)...
471        vertices
10642      segments
1762       dominations
=======================
greedy clique: 81
greedy found 81 vertices in 0.014 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.016                                      -81            
  0.017        4.0            274.0          -82            
  0.017        5.0            413.0          -83            
  0.018        7.0            422.0          -84            
  0.018        8.0            423.0          -85            
  0.018        9.0            549.0          -86            
  0.020        14.0           1.0 k          -87            
  0.020        16.0           1.1 k          -88            
  0.021        21.0           1.6 k          -89            
  0.022        24.0           1.7 k          -90            
  0.022        25.0           1.7 k          -91            
  0.023        26.0           1.8 k          -92            
  0.023        29.0           2.0 k          -93            
  0.024        32.0           2.2 k          -94            
  0.026        37.0           2.4 k          -95            
  0.026        38.0           2.5 k          -96            
  0.026        40.0           2.6 k          -97            
  0.027        44.0           2.8 k          -98            
  0.029        48.0           3.0 k          -99            
  0.030        54.0           3.3 k          -100           
  0.031        58.0           3.5 k          -101           
  0.034        67.0           3.9 k          -102           
  0.036        74.0           4.2 k          -103           
  0.040        89.0           4.7 k          -104           
  0.046        108.0          5.2 k          -105           
  0.051        124.0          5.5 k          -106           
  0.054        134.0          5.6 k          -107           
  0.054        136.0          5.6 k          -108           
  0.055        140.0          5.7 k          -109           
  0.056        142.0          5.7 k          -110           
  0.078        216.0          6.4 k          -111           
  0.220        686.0          9.2 k          -112           
  0.223        699.0          9.2 k          -113           
  0.279        883.0          10.2 k         -114           
  0.280        886.0          10.2 k         -115           
  0.299        947.0          10.6 k         -116           
  0.302        958.0          10.7 k         -117           
  0.316        1.0 k          10.9 k         -118           
  0.644        2.1 k          16.1 k         -119           
  0.645        2.1 k          16.1 k         -120           
  1.783        5.7 k          32.9 k         -121           
  29.952       92.4 k         429.4 k        -122           
  44.932       137.2 k        629.5 k        -123           
