printing solutions in: ./dogs-color/insts/cgshop22/sqrp15532.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrp15532.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 15532)...
computing neighbors (1000 / 15532)...
computing neighbors (2000 / 15532)...
computing neighbors (3000 / 15532)...
computing neighbors (4000 / 15532)...
computing neighbors (5000 / 15532)...
computing neighbors (6000 / 15532)...
computing neighbors (7000 / 15532)...
computing neighbors (8000 / 15532)...
computing neighbors (9000 / 15532)...
computing neighbors (10000 / 15532)...
computing neighbors (11000 / 15532)...
computing neighbors (12000 / 15532)...
computing neighbors (13000 / 15532)...
computing neighbors (14000 / 15532)...
computing neighbors (15000 / 15532)...
401        vertices
15532      segments
2381       dominations
=======================
greedy clique: 80
greedy found 80 vertices in 0.016 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.029                                      -80            
  0.030        3.0            680.0          -81            
  0.030        5.0            1.0 k          -82            
  0.032        9.0            1.6 k          -83            
  0.032        10.0           2.0 k          -84            
  0.033        12.0           2.3 k          -85            
  0.035        17.0           3.6 k          -86            
  0.035        19.0           3.6 k          -87            
  0.036        20.0           3.9 k          -88            
  0.038        26.0           5.4 k          -89            
  0.039        29.0           5.7 k          -90            
  0.039        30.0           6.0 k          -91            
  0.040        33.0           6.5 k          -92            
  0.041        35.0           6.8 k          -93            
  0.042        37.0           6.8 k          -94            
  0.042        38.0           6.8 k          -95            
  0.042        39.0           6.8 k          -96            
  0.043        40.0           6.8 k          -97            
  0.043        41.0           7.0 k          -98            
  0.046        48.0           8.3 k          -99            
  0.046        50.0           8.4 k          -100           
  0.047        52.0           8.6 k          -101           
  0.048        54.0           8.6 k          -102           
  0.048        55.0           8.8 k          -103           
  0.050        61.0           9.6 k          -104           
  0.054        70.0           10.9 k         -105           
  0.057        78.0           11.9 k         -106           
  0.061        90.0           13.5 k         -107           
  0.064        97.0           14.4 k         -108           
  0.067        105.0          15.4 k         -109           
  0.068        107.0          15.4 k         -110           
  0.068        108.0          15.4 k         -111           
  0.069        109.0          15.5 k         -112           
  0.072        117.0          16.4 k         -113           
  0.072        119.0          16.5 k         -114           
  0.081        140.0          18.4 k         -115           
  0.084        149.0          19.2 k         -116           
  0.087        156.0          19.8 k         -117           
  0.088        158.0          19.8 k         -118           
  0.109        211.0          23.4 k         -119           
  0.122        243.0          24.7 k         -120           
  0.125        251.0          25.0 k         -121           
  0.129        261.0          25.3 k         -122           
  0.133        271.0          25.6 k         -123           
  0.141        293.0          26.2 k         -124           
  0.153        322.0          26.7 k         -125           
  0.168        360.0          27.4 k         -126           
  0.184        399.0          28.0 k         -127           
  0.187        407.0          28.1 k         -128           
  0.194        423.0          28.4 k         -129           
  0.197        431.0          28.4 k         -130           
  0.215        476.0          28.6 k         -131           
  0.219        486.0          28.7 k         -132           
  0.238        532.0          29.0 k         -133           
  0.277        628.0          29.6 k         -134           
  0.387        899.0          31.3 k         -135           
  4.882        11.3 k         94.3 k         -136           
  5.137        11.9 k         97.9 k         -137           
  5.159        11.9 k         98.2 k         -138           
  7.242        16.6 k         125.3 k        -139           
  13.634       30.9 k         212.3 k        -140           
  132.805      286.6 k        1.7 M          -141           
  2779.147     5.5 M          33.0 M         -142           
  13641.551    26.3 M         158.3 M        -143           
