printing solutions in: ./dogs-color/insts/cgshop22/sqrp28863.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrp28863.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 28863)...
computing neighbors (1000 / 28863)...
computing neighbors (2000 / 28863)...
computing neighbors (3000 / 28863)...
computing neighbors (4000 / 28863)...
computing neighbors (5000 / 28863)...
computing neighbors (6000 / 28863)...
computing neighbors (7000 / 28863)...
computing neighbors (8000 / 28863)...
computing neighbors (9000 / 28863)...
computing neighbors (10000 / 28863)...
computing neighbors (11000 / 28863)...
computing neighbors (12000 / 28863)...
computing neighbors (13000 / 28863)...
computing neighbors (14000 / 28863)...
computing neighbors (15000 / 28863)...
computing neighbors (16000 / 28863)...
computing neighbors (17000 / 28863)...
computing neighbors (18000 / 28863)...
computing neighbors (19000 / 28863)...
computing neighbors (20000 / 28863)...
computing neighbors (21000 / 28863)...
computing neighbors (22000 / 28863)...
computing neighbors (23000 / 28863)...
computing neighbors (24000 / 28863)...
computing neighbors (25000 / 28863)...
computing neighbors (26000 / 28863)...
computing neighbors (27000 / 28863)...
computing neighbors (28000 / 28863)...
588        vertices
28863      segments
5087       dominations
=======================
greedy clique: 96
greedy found 96 vertices in 0.049 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.119                                      -96            
  0.121        3.0            655.0          -97            
  0.123        6.0            973.0          -98            
  0.124        7.0            1.3 k          -99            
  0.126        9.0            1.3 k          -100           
  0.126        10.0           1.3 k          -101           
  0.127        11.0           1.3 k          -102           
  0.127        12.0           1.3 k          -103           
  0.128        13.0           1.3 k          -104           
  0.129        14.0           1.6 k          -105           
  0.132        18.0           2.3 k          -106           
  0.133        20.0           2.3 k          -107           
  0.134        21.0           2.6 k          -108           
  0.135        23.0           2.8 k          -109           
  0.139        27.0           3.5 k          -110           
  0.142        31.0           4.1 k          -111           
  0.148        38.0           5.2 k          -112           
  0.149        39.0           5.4 k          -113           
  0.156        48.0           7.1 k          -114           
  0.159        51.0           7.5 k          -115           
  0.161        54.0           7.7 k          -116           
  0.162        55.0           7.9 k          -117           
  0.163        57.0           8.1 k          -118           
  0.165        59.0           8.3 k          -119           
  0.166        61.0           8.3 k          -120           
  0.167        62.0           8.3 k          -121           
  0.168        63.0           8.5 k          -122           
  0.172        68.0           9.1 k          -123           
  0.174        71.0           9.5 k          -124           
  0.187        84.0           11.2 k         -125           
  0.188        86.0           11.4 k         -126           
  0.198        97.0           12.6 k         -127           
  0.202        102.0          13.2 k         -128           
  0.204        105.0          13.4 k         -129           
  0.211        113.0          14.3 k         -130           
  0.214        116.0          14.5 k         -131           
  0.224        128.0          15.7 k         -132           
  0.225        129.0          15.8 k         -133           
  0.228        132.0          16.0 k         -134           
  0.249        156.0          18.3 k         -135           
  0.249        157.0          18.4 k         -136           
  0.253        161.0          18.7 k         -137           
  0.260        170.0          19.4 k         -138           
  0.264        174.0          19.6 k         -139           
  0.264        175.0          19.7 k         -140           
  0.270        181.0          20.1 k         -141           
  0.273        185.0          20.3 k         -142           
  0.291        206.0          21.8 k         -143           
  0.305        221.0          22.6 k         -144           
  0.306        223.0          22.7 k         -145           
  0.315        233.0          23.2 k         -146           
  0.325        245.0          23.7 k         -147           
  0.377        303.0          25.4 k         -148           
  0.386        313.0          25.6 k         -149           
  0.389        317.0          25.7 k         -150           
  0.406        337.0          26.0 k         -151           
  0.423        356.0          26.2 k         -152           
  0.439        374.0          26.4 k         -153           
  0.441        376.0          26.4 k         -154           
  0.442        378.0          26.4 k         -155           
  0.464        403.0          26.6 k         -156           
  0.666        628.0          28.5 k         -157           
  0.688        653.0          28.7 k         -158           
  0.700        666.0          28.7 k         -159           
  0.713        681.0          28.8 k         -160           
  0.740        711.0          28.9 k         -161           
  0.757        730.0          29.0 k         -162           
  0.782        758.0          29.1 k         -163           
  0.785        761.0          29.2 k         -164           
  0.794        772.0          29.2 k         -165           
  0.797        775.0          29.2 k         -166           
  0.811        791.0          29.4 k         -167           
  0.932        926.0          30.2 k         -168           
  1.396        1.4 k          34.0 k         -169           
  1.398        1.4 k          34.0 k         -170           
  1.421        1.5 k          34.1 k         -171           
  1.793        1.9 k          36.5 k         -172           
  1.895        2.0 k          37.2 k         -173           
  2.229        2.4 k          39.5 k         -174           
  2.505        2.7 k          41.3 k         -175           
  2.536        2.7 k          41.5 k         -176           
  2.678        2.8 k          42.3 k         -177           
  2.751        2.9 k          42.7 k         -178           
  4.198        4.5 k          50.9 k         -179           
  4.208        4.5 k          51.0 k         -180           
  4.941        5.3 k          55.0 k         -181           
  6.740        7.3 k          65.9 k         -182           
  6.821        7.4 k          66.3 k         -183           
  9.212        9.9 k          79.9 k         -184           
  9.457        10.2 k         81.3 k         -185           
  9.462        10.2 k         81.4 k         -186           
  53.640       56.6 k         321.8 k        -187           
  2044.667     2.0 M          10.1 M         -188           
  2044.673     2.0 M          10.1 M         -189           
