printing solutions in: ./dogs-color/insts/cgshop22/sqrp37978.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrp37978.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 37978)...
computing neighbors (1000 / 37978)...
computing neighbors (2000 / 37978)...
computing neighbors (3000 / 37978)...
computing neighbors (4000 / 37978)...
computing neighbors (5000 / 37978)...
computing neighbors (6000 / 37978)...
computing neighbors (7000 / 37978)...
computing neighbors (8000 / 37978)...
computing neighbors (9000 / 37978)...
computing neighbors (10000 / 37978)...
computing neighbors (11000 / 37978)...
computing neighbors (12000 / 37978)...
computing neighbors (13000 / 37978)...
computing neighbors (14000 / 37978)...
computing neighbors (15000 / 37978)...
computing neighbors (16000 / 37978)...
computing neighbors (17000 / 37978)...
computing neighbors (18000 / 37978)...
computing neighbors (19000 / 37978)...
computing neighbors (20000 / 37978)...
computing neighbors (21000 / 37978)...
computing neighbors (22000 / 37978)...
computing neighbors (23000 / 37978)...
computing neighbors (24000 / 37978)...
computing neighbors (25000 / 37978)...
computing neighbors (26000 / 37978)...
computing neighbors (27000 / 37978)...
computing neighbors (28000 / 37978)...
computing neighbors (29000 / 37978)...
computing neighbors (30000 / 37978)...
computing neighbors (31000 / 37978)...
computing neighbors (32000 / 37978)...
computing neighbors (33000 / 37978)...
computing neighbors (34000 / 37978)...
computing neighbors (35000 / 37978)...
computing neighbors (36000 / 37978)...
computing neighbors (37000 / 37978)...
527        vertices
37978      segments
7259       dominations
=======================
greedy clique: 83
greedy found 83 vertices in 0.043 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.091                                      -83            
  0.094        4.0            1.3 k          -84            
  0.095        5.0            1.3 k          -85            
  0.096        6.0            1.9 k          -86            
  0.097        8.0            2.4 k          -87            
  0.099        10.0           2.4 k          -88            
  0.100        11.0           3.0 k          -89            
  0.104        15.0           4.6 k          -90            
  0.108        19.0           5.6 k          -91            
  0.108        20.0           5.6 k          -92            
  0.109        21.0           6.2 k          -93            
  0.111        23.0           6.2 k          -94            
  0.111        24.0           6.6 k          -95            
  0.115        28.0           8.1 k          -96            
  0.117        30.0           8.6 k          -97            
  0.119        32.0           9.1 k          -98            
  0.121        34.0           9.5 k          -99            
  0.123        37.0           10.0 k         -100           
  0.124        38.0           10.4 k         -101           
  0.127        41.0           11.3 k         -102           
  0.130        44.0           12.2 k         -103           
  0.134        49.0           13.8 k         -104           
  0.136        51.0           13.8 k         -105           
  0.137        52.0           13.8 k         -106           
  0.138        53.0           14.2 k         -107           
  0.142        58.0           15.8 k         -108           
  0.144        60.0           15.9 k         -109           
  0.145        61.0           15.9 k         -110           
  0.145        62.0           16.2 k         -111           
  0.147        64.0           16.6 k         -112           
  0.149        66.0           16.6 k         -113           
  0.150        67.0           16.6 k         -114           
  0.150        68.0           17.0 k         -115           
  0.158        76.0           19.0 k         -116           
  0.159        77.0           19.3 k         -117           
  0.165        83.0           20.8 k         -118           
  0.168        86.0           21.1 k         -119           
  0.168        87.0           21.4 k         -120           
  0.170        89.0           21.7 k         -121           
  0.172        91.0           21.7 k         -122           
  0.173        92.0           22.0 k         -123           
  0.174        94.0           22.2 k         -124           
  0.179        99.0           23.3 k         -125           
  0.182        102.0          23.9 k         -126           
  0.188        108.0          25.1 k         -127           
  0.193        113.0          26.1 k         -128           
  0.197        117.0          26.9 k         -129           
  0.205        124.0          28.1 k         -130           
  0.205        125.0          28.3 k         -131           
  0.207        127.0          28.6 k         -132           
  0.213        133.0          29.5 k         -133           
  0.214        134.0          29.5 k         -134           
  0.214        135.0          29.7 k         -135           
  0.216        137.0          29.9 k         -136           
  0.218        139.0          30.1 k         -137           
  0.222        143.0          30.7 k         -138           
  0.224        146.0          31.1 k         -139           
  0.226        148.0          31.3 k         -140           
  0.233        155.0          32.3 k         -141           
  0.240        162.0          33.3 k         -142           
  0.250        172.0          34.7 k         -143           
  0.279        200.0          38.5 k         -144           
  0.303        223.0          41.3 k         -145           
  0.355        273.0          46.6 k         -146           
  0.412        328.0          50.2 k         -147           
  0.421        337.0          50.7 k         -148           
  0.426        342.0          50.9 k         -149           
  0.448        363.0          51.8 k         -150           
  0.460        375.0          52.2 k         -151           
  0.487        401.0          53.0 k         -152           
  0.489        404.0          53.1 k         -153           
  0.503        417.0          53.5 k         -154           
  0.504        419.0          53.5 k         -155           
  0.518        432.0          53.8 k         -156           
  0.529        443.0          54.1 k         -157           
  0.532        446.0          54.1 k         -158           
  0.571        484.0          54.8 k         -159           
  0.574        487.0          54.8 k         -160           
  0.584        497.0          54.9 k         -161           
  0.589        502.0          54.9 k         -162           
  0.597        510.0          55.0 k         -163           
  0.627        539.0          55.2 k         -164           
  0.659        569.0          55.4 k         -165           
  0.661        572.0          55.5 k         -166           
  0.735        643.0          55.9 k         -167           
  0.744        652.0          56.0 k         -168           
  0.745        653.0          56.0 k         -169           
  0.756        664.0          56.1 k         -170           
  0.783        690.0          56.3 k         -171           
  0.823        729.0          56.7 k         -172           
  0.851        756.0          57.0 k         -173           
  0.981        880.0          58.0 k         -174           
  0.983        882.0          58.0 k         -175           
  1.050        946.0          58.5 k         -176           
  1.342        1.2 k          60.7 k         -177           
  1.792        1.7 k          63.9 k         -178           
  1.839        1.7 k          64.2 k         -179           
  1.853        1.7 k          64.2 k         -180           
  1.888        1.7 k          64.5 k         -181           
  1.906        1.8 k          64.7 k         -182           
  1.952        1.8 k          64.9 k         -183           
  2.716        2.5 k          69.2 k         -184           
  2.805        2.6 k          69.8 k         -185           
  3.531        3.3 k          73.5 k         -186           
  3.574        3.3 k          73.7 k         -187           
  3.951        3.7 k          75.9 k         -188           
  4.225        3.9 k          77.2 k         -189           
  4.253        4.0 k          77.3 k         -190           
  5.219        4.9 k          82.8 k         -191           
  6.319        5.9 k          88.9 k         -192           
  19.816       18.3 k         161.8 k        -193           
  20.331       18.8 k         164.1 k        -194           
  20.707       19.1 k         166.2 k        -195           
  307.077      273.1 k        1.6 M          -196           
  307.597      273.5 k        1.6 M          -197           
  1452.646     1.2 M          7.2 M          -198           
  1459.873     1.3 M          7.3 M          -199           
  9997.616     8.3 M          47.9 M         -200           
  9997.662     8.3 M          47.9 M         -201           
