printing solutions in: ./dogs-color/insts/cgshop22/sqrp47890.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrp47890.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 47890)...
computing neighbors (1000 / 47890)...
computing neighbors (2000 / 47890)...
computing neighbors (3000 / 47890)...
computing neighbors (4000 / 47890)...
computing neighbors (5000 / 47890)...
computing neighbors (6000 / 47890)...
computing neighbors (7000 / 47890)...
computing neighbors (8000 / 47890)...
computing neighbors (9000 / 47890)...
computing neighbors (10000 / 47890)...
computing neighbors (11000 / 47890)...
computing neighbors (12000 / 47890)...
computing neighbors (13000 / 47890)...
computing neighbors (14000 / 47890)...
computing neighbors (15000 / 47890)...
computing neighbors (16000 / 47890)...
computing neighbors (17000 / 47890)...
computing neighbors (18000 / 47890)...
computing neighbors (19000 / 47890)...
computing neighbors (20000 / 47890)...
computing neighbors (21000 / 47890)...
computing neighbors (22000 / 47890)...
computing neighbors (23000 / 47890)...
computing neighbors (24000 / 47890)...
computing neighbors (25000 / 47890)...
computing neighbors (26000 / 47890)...
computing neighbors (27000 / 47890)...
computing neighbors (28000 / 47890)...
computing neighbors (29000 / 47890)...
computing neighbors (30000 / 47890)...
computing neighbors (31000 / 47890)...
computing neighbors (32000 / 47890)...
computing neighbors (33000 / 47890)...
computing neighbors (34000 / 47890)...
computing neighbors (35000 / 47890)...
computing neighbors (36000 / 47890)...
computing neighbors (37000 / 47890)...
computing neighbors (38000 / 47890)...
computing neighbors (39000 / 47890)...
computing neighbors (40000 / 47890)...
computing neighbors (41000 / 47890)...
computing neighbors (42000 / 47890)...
computing neighbors (43000 / 47890)...
computing neighbors (44000 / 47890)...
computing neighbors (45000 / 47890)...
computing neighbors (46000 / 47890)...
computing neighbors (47000 / 47890)...
517        vertices
47890      segments
10057      dominations
=======================
greedy clique: 102
greedy found 102 vertices in 0.067 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.156                                      -102           
  0.160        4.0            994.0          -103           
  0.161        5.0            1.4 k          -104           
  0.164        8.0            2.3 k          -105           
  0.166        10.0           2.7 k          -106           
  0.168        12.0           3.2 k          -107           
  0.171        14.0           3.2 k          -108           
  0.171        15.0           3.2 k          -109           
  0.172        16.0           3.2 k          -110           
  0.173        17.0           3.6 k          -111           
  0.178        21.0           4.7 k          -112           
  0.182        24.0           5.1 k          -113           
  0.182        25.0           5.5 k          -114           
  0.190        31.0           7.2 k          -115           
  0.193        34.0           7.9 k          -116           
  0.197        37.0           8.3 k          -117           
  0.198        38.0           8.3 k          -118           
  0.199        39.0           8.6 k          -119           
  0.201        41.0           8.6 k          -120           
  0.202        42.0           8.6 k          -121           
  0.202        43.0           8.9 k          -122           
  0.205        45.0           9.2 k          -123           
  0.207        47.0           9.5 k          -124           
  0.209        49.0           9.8 k          -125           
  0.213        52.0           10.3 k         -126           
  0.217        56.0           10.9 k         -127           
  0.218        57.0           11.1 k         -128           
  0.222        60.0           11.6 k         -129           
  0.228        65.0           12.6 k         -130           
  0.230        67.0           12.9 k         -131           
  0.235        71.0           13.6 k         -132           
  0.241        76.0           14.4 k         -133           
  0.246        80.0           15.1 k         -134           
  0.259        91.0           16.8 k         -135           
  0.260        92.0           17.0 k         -136           
  0.267        97.0           17.7 k         -137           
  0.277        105.0          19.0 k         -138           
  0.279        107.0          19.1 k         -139           
  0.282        110.0          19.5 k         -140           
  0.289        115.0          20.1 k         -141           
  0.291        117.0          20.2 k         -142           
  0.293        119.0          20.4 k         -143           
  0.299        124.0          21.0 k         -144           
  0.325        144.0          23.8 k         -145           
  0.332        150.0          24.5 k         -146           
  0.335        152.0          24.6 k         -147           
  0.341        157.0          25.2 k         -148           
  0.360        172.0          27.0 k         -149           
  0.378        186.0          28.6 k         -150           
  0.386        192.0          29.2 k         -151           
  0.401        204.0          30.7 k         -152           
  0.405        207.0          30.8 k         -153           
  0.406        208.0          30.9 k         -154           
  0.422        221.0          32.2 k         -155           
  0.427        225.0          32.5 k         -156           
  0.430        228.0          32.6 k         -157           
  0.433        230.0          32.7 k         -158           
  0.449        243.0          33.8 k         -159           
  0.456        248.0          34.1 k         -160           
  0.489        273.0          35.6 k         -161           
  0.493        277.0          35.8 k         -162           
  0.507        288.0          36.3 k         -163           
  0.548        319.0          37.6 k         -164           
  0.564        331.0          38.1 k         -165           
  0.607        364.0          39.1 k         -166           
  0.630        382.0          39.5 k         -167           
  0.658        401.0          39.7 k         -168           
  0.693        428.0          40.0 k         -169           
  0.705        437.0          40.1 k         -170           
  0.715        445.0          40.1 k         -171           
  0.720        449.0          40.1 k         -172           
  3.991        2.9 k          57.1 k         -173           
  4.007        2.9 k          57.1 k         -174           
  5.061        3.7 k          61.4 k         -175           
  5.535        4.0 k          63.1 k         -176           
  6.864        5.0 k          68.1 k         -177           
  9.442        6.8 k          77.5 k         -178           
  10.665       7.7 k          82.3 k         -179           
  11.817       8.5 k          87.2 k         -180           
  16.713       12.1 k         107.8 k        -181           
  16.720       12.1 k         107.9 k        -182           
  16.742       12.1 k         108.0 k        -183           
  20.399       14.7 k         121.4 k        -184           
  20.442       14.7 k         121.5 k        -185           
  27.713       19.8 k         149.3 k        -186           
  675.343      439.9 k        2.5 M          -187           
  2895.842     1.8 M          10.3 M         -188           
  16691.205    10.1 M         55.6 M         -189           
  80155.398    47.3 M         259.9 M        -190           
