printing solutions in: ./dogs-color/insts/cgshop22/sqrpecn18520.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrpecn18520.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 18520)...
computing neighbors (1000 / 18520)...
computing neighbors (2000 / 18520)...
computing neighbors (3000 / 18520)...
computing neighbors (4000 / 18520)...
computing neighbors (5000 / 18520)...
computing neighbors (6000 / 18520)...
computing neighbors (7000 / 18520)...
computing neighbors (8000 / 18520)...
computing neighbors (9000 / 18520)...
computing neighbors (10000 / 18520)...
computing neighbors (11000 / 18520)...
computing neighbors (12000 / 18520)...
computing neighbors (13000 / 18520)...
computing neighbors (14000 / 18520)...
computing neighbors (15000 / 18520)...
computing neighbors (16000 / 18520)...
computing neighbors (17000 / 18520)...
computing neighbors (18000 / 18520)...
29600      vertices
18520      segments
220        dominations
=======================
greedy clique: 186
greedy found 186 vertices in 0.046 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.087                                      -186           
  0.088        3.0            88.0           -187           
  0.088        4.0            89.0           -188           
  0.089        5.0            155.0          -189           
  0.090        7.0            158.0          -190           
  0.090        8.0            221.0          -191           
  0.091        10.0           224.0          -192           
  0.091        11.0           285.0          -193           
  0.092        13.0           290.0          -194           
  0.093        14.0           346.0          -195           
  0.094        16.0           404.0          -196           
  0.095        20.0           579.0          -197           
  0.096        22.0           584.0          -198           
  0.097        23.0           642.0          -199           
  0.098        26.0           705.0          -200           
  0.098        27.0           766.0          -201           
  0.100        30.0           885.0          -202           
  0.103        36.0           1.1 k          -203           
  0.103        37.0           1.2 k          -204           
  0.104        39.0           1.2 k          -205           
  0.104        40.0           1.2 k          -206           
  0.105        42.0           1.3 k          -207           
  0.108        47.0           1.5 k          -208           
  0.110        51.0           1.6 k          -209           
  0.111        54.0           1.7 k          -210           
  0.113        57.0           1.8 k          -211           
  0.113        58.0           1.8 k          -212           
  0.115        62.0           1.9 k          -213           
  0.115        63.0           2.0 k          -214           
  0.117        66.0           2.1 k          -215           
  0.119        71.0           2.2 k          -216           
  0.120        73.0           2.3 k          -217           
  0.123        79.0           2.5 k          -218           
  0.126        84.0           2.6 k          -219           
  0.127        88.0           2.7 k          -220           
  0.128        90.0           2.7 k          -221           
  0.129        92.0           2.8 k          -222           
  0.130        94.0           2.8 k          -223           
  0.131        96.0           2.8 k          -224           
  0.134        101.0          2.9 k          -225           
  0.135        104.0          3.0 k          -226           
  0.136        106.0          3.0 k          -227           
  0.138        111.0          3.1 k          -228           
  0.142        119.0          3.3 k          -229           
  0.158        149.0          3.6 k          -230           
  0.176        181.0          3.8 k          -231           
  0.178        186.0          3.8 k          -232           
  0.178        187.0          3.8 k          -233           
  0.184        197.0          3.9 k          -234           
  0.187        204.0          3.9 k          -235           
  0.187        205.0          3.9 k          -236           
  0.192        214.0          4.0 k          -237           
  0.192        215.0          4.0 k          -238           
  0.207        242.0          4.3 k          -239           
  0.208        245.0          4.3 k          -240           
  0.209        246.0          4.3 k          -241           
  0.271        362.0          5.2 k          -242           
  0.276        372.0          5.3 k          -243           
  0.291        400.0          5.4 k          -244           
  0.462        718.0          7.1 k          -245           
  0.463        721.0          7.2 k          -246           
  0.511        810.0          7.6 k          -247           
  0.651        1.1 k          8.6 k          -248           
  0.656        1.1 k          8.7 k          -249           
  0.726        1.2 k          9.2 k          -250           
  0.731        1.2 k          9.2 k          -251           
  0.731        1.2 k          9.2 k          -252           
  0.799        1.3 k          9.7 k          -253           
  0.806        1.4 k          9.8 k          -254           
  0.806        1.4 k          9.8 k          -255           
  1.023        1.8 k          11.1 k         -256           
  1.039        1.8 k          11.1 k         -257           
  1.205        2.1 k          12.1 k         -258           
  1.206        2.1 k          12.1 k         -259           
  1.216        2.1 k          12.2 k         -260           
  1.524        2.7 k          14.0 k         -261           
  1.535        2.7 k          14.1 k         -262           
  1.536        2.7 k          14.1 k         -263           
  1.539        2.7 k          14.1 k         -264           
  1.556        2.7 k          14.2 k         -265           
  1.566        2.8 k          14.3 k         -266           
  1.578        2.8 k          14.3 k         -267           
  1.583        2.8 k          14.4 k         -268           
  1.592        2.8 k          14.4 k         -269           
  2.284        4.1 k          18.2 k         -270           
  2.292        4.1 k          18.3 k         -271           
  5.985        10.8 k         37.9 k         -272           
  6.003        10.9 k         38.0 k         -273           
  8.455        15.3 k         50.4 k         -274           
  13.468       24.4 k         74.9 k         -275           
  16.498       29.9 k         90.1 k         -276           
  17.454       31.6 k         94.8 k         -277           
  22.404       40.6 k         118.0 k        -278           
  35.028       63.2 k         180.3 k        -279           
  37.145       67.0 k         190.7 k        -280           
  37.149       67.0 k         190.7 k        -281           
  37.506       67.6 k         192.6 k        -282           
  38.468       69.3 k         197.5 k        -283           
  45.804       82.4 k         233.9 k        -284           
  59.083       105.9 k        298.2 k        -285           
  92.927       165.4 k        459.5 k        -286           
  112.729      200.0 k        553.5 k        -287           
  116.312      206.3 k        569.6 k        -288           
  116.809      207.1 k        571.8 k        -289           
  119.735      212.2 k        585.2 k        -290           
  387.870      670.2 k        1.8 M          -291           
  419.970      724.8 k        1.9 M          -292           
  429.838      741.6 k        2.0 M          -293           
  434.468      749.4 k        2.0 M          -294           
  434.470      749.4 k        2.0 M          -295           
  519.445      893.1 k        2.4 M          -296           
  527.072      905.9 k        2.4 M          -297           
  528.794      908.8 k        2.4 M          -298           
  1288.401     2.2 M          5.9 M          -299           
  1357.583     2.3 M          6.2 M          -300           
  1377.134     2.3 M          6.3 M          -301           
  2338.691     3.9 M          10.9 M         -302           
