printing solutions in: ./dogs-color/insts/cgshop22/sqrpecn3218.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrpecn3218.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 3218)...
computing neighbors (1000 / 3218)...
computing neighbors (2000 / 3218)...
computing neighbors (3000 / 3218)...
4930       vertices
3218       segments
83         dominations
=======================
greedy clique: 76
greedy found 76 vertices in 0.003 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.003                                      -76            
  0.003        3.0            38.0           -77            
  0.003        4.0            70.0           -78            
  0.003        6.0            73.0           -79            
  0.003        7.0            102.0          -80            
  0.003        9.0            130.0          -81            
  0.003        11.0           133.0          -82            
  0.003        12.0           157.0          -83            
  0.004        14.0           178.0          -84            
  0.004        16.0           197.0          -85            
  0.004        19.0           229.0          -86            
  0.004        23.0           279.0          -87            
  0.005        25.0           297.0          -88            
  0.005        32.0           394.0          -89            
  0.005        35.0           424.0          -90            
  0.006        42.0           506.0          -91            
  0.006        47.0           554.0          -92            
  0.008        67.0           687.0          -93            
  0.010        82.0           783.0          -94            
  0.010        88.0           809.0          -95            
  0.010        89.0           816.0          -96            
  0.013        117.0          968.0          -97            
  0.014        129.0          1.0 k          -98            
  0.019        173.0          1.3 k          -99            
  0.022        206.0          1.4 k          -100           
  0.040        394.0          2.2 k          -101           
  0.057        564.0          2.7 k          -102           
  0.057        568.0          2.7 k          -103           
  0.060        601.0          2.8 k          -104           
  0.060        602.0          2.8 k          -105           
  0.066        665.0          3.0 k          -106           
  0.080        803.0          3.4 k          -107           
  0.082        819.0          3.5 k          -108           
  0.329        3.3 k          10.6 k         -109           
  0.333        3.3 k          10.8 k         -110           
  13.845       133.3 k        366.3 k        -111           
  1097.396     9.7 M          26.7 M         -112           
  1097.458     9.7 M          26.7 M         -113           
  5525.621     46.3 M         123.4 M        -114           
  5525.621     46.3 M         123.4 M        -115           
  5525.621     46.3 M         123.4 M        -116           
