printing solutions in: ./dogs-color/insts/cgshop22/sqrpecn35230.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrpecn35230.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 35230)...
computing neighbors (1000 / 35230)...
computing neighbors (2000 / 35230)...
computing neighbors (3000 / 35230)...
computing neighbors (4000 / 35230)...
computing neighbors (5000 / 35230)...
computing neighbors (6000 / 35230)...
computing neighbors (7000 / 35230)...
computing neighbors (8000 / 35230)...
computing neighbors (9000 / 35230)...
computing neighbors (10000 / 35230)...
computing neighbors (11000 / 35230)...
computing neighbors (12000 / 35230)...
computing neighbors (13000 / 35230)...
computing neighbors (14000 / 35230)...
computing neighbors (15000 / 35230)...
computing neighbors (16000 / 35230)...
computing neighbors (17000 / 35230)...
computing neighbors (18000 / 35230)...
computing neighbors (19000 / 35230)...
computing neighbors (20000 / 35230)...
computing neighbors (21000 / 35230)...
computing neighbors (22000 / 35230)...
computing neighbors (23000 / 35230)...
computing neighbors (24000 / 35230)...
computing neighbors (25000 / 35230)...
computing neighbors (26000 / 35230)...
computing neighbors (27000 / 35230)...
computing neighbors (28000 / 35230)...
computing neighbors (29000 / 35230)...
computing neighbors (30000 / 35230)...
computing neighbors (31000 / 35230)...
computing neighbors (32000 / 35230)...
computing neighbors (33000 / 35230)...
computing neighbors (34000 / 35230)...
computing neighbors (35000 / 35230)...
52954      vertices
35230      segments
393        dominations
=======================
greedy clique: 244
greedy found 244 vertices in 0.119 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.260                                      -244           
  0.264        5.0            446.0          -245           
  0.265        6.0            447.0          -246           
  0.265        7.0            587.0          -247           
  0.268        10.0           737.0          -248           
  0.269        11.0           739.0          -249           
  0.269        12.0           740.0          -250           
  0.270        13.0           879.0          -251           
  0.272        15.0           886.0          -252           
  0.272        16.0           888.0          -253           
  0.273        17.0           889.0          -254           
  0.274        18.0           1.0 k          -255           
  0.275        20.0           1.0 k          -256           
  0.276        21.0           1.0 k          -257           
  0.277        22.0           1.0 k          -258           
  0.278        23.0           1.0 k          -259           
  0.278        24.0           1.2 k          -260           
  0.280        26.0           1.2 k          -261           
  0.281        27.0           1.2 k          -262           
  0.281        28.0           1.2 k          -263           
  0.282        29.0           1.2 k          -264           
  0.283        30.0           1.2 k          -265           
  0.283        31.0           1.2 k          -266           
  0.284        32.0           1.3 k          -267           
  0.286        34.0           1.4 k          -268           
  0.287        36.0           1.5 k          -269           
  0.289        38.0           1.5 k          -270           
  0.290        39.0           1.6 k          -271           
  0.291        41.0           1.6 k          -272           
  0.292        42.0           1.6 k          -273           
  0.293        43.0           1.6 k          -274           
  0.293        44.0           1.7 k          -275           
  0.296        47.0           1.9 k          -276           
  0.301        52.0           2.2 k          -277           
  0.302        53.0           2.3 k          -278           
  0.306        57.0           2.5 k          -279           
  0.308        60.0           2.7 k          -280           
  0.311        63.0           2.9 k          -281           
  0.316        68.0           3.1 k          -282           
  0.316        69.0           3.2 k          -283           
  0.318        71.0           3.2 k          -284           
  0.319        72.0           3.2 k          -285           
  0.320        73.0           3.3 k          -286           
  0.322        76.0           3.5 k          -287           
  0.325        79.0           3.6 k          -288           
  0.326        80.0           3.6 k          -289           
  0.326        81.0           3.7 k          -290           
  0.328        83.0           3.8 k          -291           
  0.331        86.0           3.9 k          -292           
  0.336        91.0           4.2 k          -293           
  0.338        93.0           4.3 k          -294           
  0.340        96.0           4.5 k          -295           
  0.343        99.0           4.6 k          -296           
  0.344        100.0          4.6 k          -297           
  0.345        101.0          4.6 k          -298           
  0.346        103.0          4.7 k          -299           
  0.348        105.0          4.7 k          -300           
  0.349        106.0          4.8 k          -301           
  0.352        110.0          5.0 k          -302           
  0.356        114.0          5.2 k          -303           
  0.359        117.0          5.4 k          -304           
  0.361        119.0          5.4 k          -305           
  0.362        120.0          5.5 k          -306           
  0.363        122.0          5.5 k          -307           
  0.364        123.0          5.5 k          -308           
  0.365        124.0          5.6 k          -309           
  0.366        126.0          5.6 k          -310           
  0.367        127.0          5.6 k          -311           
  0.368        128.0          5.7 k          -312           
  0.370        130.0          5.7 k          -313           
  0.370        131.0          5.7 k          -314           
  0.371        132.0          5.7 k          -315           
  0.372        133.0          5.7 k          -316           
  0.372        134.0          5.8 k          -317           
  0.375        137.0          5.9 k          -318           
  0.378        140.0          6.0 k          -319           
  0.384        146.0          6.3 k          -320           
  0.388        150.0          6.4 k          -321           
  0.388        151.0          6.4 k          -322           
  0.389        152.0          6.5 k          -323           
  0.391        154.0          6.5 k          -324           
  0.395        158.0          6.7 k          -325           
  0.401        165.0          7.0 k          -326           
  0.411        174.0          7.4 k          -327           
  0.424        187.0          8.0 k          -328           
  0.429        192.0          8.2 k          -329           
  0.438        201.0          8.4 k          -330           
  0.447        210.0          8.7 k          -331           
  0.463        226.0          9.1 k          -332           
  0.464        227.0          9.1 k          -333           
  0.465        228.0          9.1 k          -334           
  0.466        230.0          9.2 k          -335           
  0.471        235.0          9.3 k          -336           
  0.477        241.0          9.4 k          -337           
  0.496        259.0          9.8 k          -338           
  0.500        263.0          9.9 k          -339           
  0.560        321.0          10.6 k         -340           
  0.561        322.0          10.6 k         -341           
  0.568        329.0          10.7 k         -342           
  0.574        335.0          10.9 k         -343           
  0.576        338.0          10.9 k         -344           
  0.578        340.0          10.9 k         -345           
  0.584        346.0          10.9 k         -346           
  0.591        353.0          10.9 k         -347           
  0.595        357.0          10.9 k         -348           
  0.686        444.0          11.7 k         -349           
  0.688        446.0          11.7 k         -350           
  0.704        462.0          11.8 k         -351           
  0.730        487.0          12.0 k         -352           
  0.731        489.0          12.0 k         -353           
  0.734        492.0          12.0 k         -354           
  0.772        528.0          12.2 k         -355           
  0.780        536.0          12.3 k         -356           
  0.798        553.0          12.5 k         -357           
  0.844        597.0          12.7 k         -358           
  0.901        652.0          13.1 k         -359           
  0.961        709.0          13.4 k         -360           
  0.973        720.0          13.4 k         -361           
  0.985        732.0          13.5 k         -362           
  1.030        774.0          13.6 k         -363           
  1.055        798.0          13.8 k         -364           
  1.057        800.0          13.8 k         -365           
  1.057        801.0          13.8 k         -366           
  1.059        803.0          13.8 k         -367           
  1.066        810.0          13.9 k         -368           
  1.067        811.0          13.9 k         -369           
  1.071        815.0          13.9 k         -370           
  1.086        830.0          13.9 k         -371           
  1.094        838.0          14.0 k         -372           
  1.130        872.0          14.2 k         -373           
  1.146        888.0          14.2 k         -374           
  1.502        1.2 k          15.8 k         -375           
  1.538        1.3 k          15.8 k         -376           
  1.556        1.3 k          15.9 k         -377           
  1.712        1.4 k          16.4 k         -378           
  1.713        1.4 k          16.4 k         -379           
  2.081        1.8 k          17.6 k         -380           
  3.091        2.7 k          20.3 k         -381           
  4.007        3.6 k          23.0 k         -382           
  4.119        3.7 k          23.2 k         -383           
  8.270        7.5 k          34.0 k         -384           
  9.635        8.8 k          37.6 k         -385           
  9.642        8.8 k          37.6 k         -386           
  9.646        8.8 k          37.6 k         -387           
  40.526       37.2 k         118.4 k        -388           
  40.616       37.3 k         118.7 k        -389           
  40.616       37.3 k         118.7 k        -390           
  40.621       37.3 k         118.7 k        -391           
  43.331       39.8 k         126.3 k        -392           
  44.989       41.3 k         131.1 k        -393           
  47.317       43.4 k         137.7 k        -394           
  48.108       44.1 k         139.7 k        -395           
  54.248       49.7 k         157.8 k        -396           
  54.461       49.9 k         158.4 k        -397           
  354.925      316.9 k        978.1 k        -398           
  569.631      508.9 k        1.6 M          -399           
  643.419      575.6 k        1.8 M          -400           
  658.766      589.4 k        1.8 M          -401           
  13649.478    12.1 M         34.3 M         -402           
  17941.703    15.9 M         44.6 M         -403           
  20456.438    18.1 M         50.6 M         -404           
  83773.812    73.2 M         201.5 M        -405           
