printing solutions in: ./dogs-color/insts/cgshop22/sqrpecn44118.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrpecn44118.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 44118)...
computing neighbors (1000 / 44118)...
computing neighbors (2000 / 44118)...
computing neighbors (3000 / 44118)...
computing neighbors (4000 / 44118)...
computing neighbors (5000 / 44118)...
computing neighbors (6000 / 44118)...
computing neighbors (7000 / 44118)...
computing neighbors (8000 / 44118)...
computing neighbors (9000 / 44118)...
computing neighbors (10000 / 44118)...
computing neighbors (11000 / 44118)...
computing neighbors (12000 / 44118)...
computing neighbors (13000 / 44118)...
computing neighbors (14000 / 44118)...
computing neighbors (15000 / 44118)...
computing neighbors (16000 / 44118)...
computing neighbors (17000 / 44118)...
computing neighbors (18000 / 44118)...
computing neighbors (19000 / 44118)...
computing neighbors (20000 / 44118)...
computing neighbors (21000 / 44118)...
computing neighbors (22000 / 44118)...
computing neighbors (23000 / 44118)...
computing neighbors (24000 / 44118)...
computing neighbors (25000 / 44118)...
computing neighbors (26000 / 44118)...
computing neighbors (27000 / 44118)...
computing neighbors (28000 / 44118)...
computing neighbors (29000 / 44118)...
computing neighbors (30000 / 44118)...
computing neighbors (31000 / 44118)...
computing neighbors (32000 / 44118)...
computing neighbors (33000 / 44118)...
computing neighbors (34000 / 44118)...
computing neighbors (35000 / 44118)...
computing neighbors (36000 / 44118)...
computing neighbors (37000 / 44118)...
computing neighbors (38000 / 44118)...
computing neighbors (39000 / 44118)...
computing neighbors (40000 / 44118)...
computing neighbors (41000 / 44118)...
computing neighbors (42000 / 44118)...
computing neighbors (43000 / 44118)...
computing neighbors (44000 / 44118)...
66436      vertices
44118      segments
452        dominations
=======================
greedy clique: 274
greedy found 274 vertices in 0.160 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.378                                      -274           
  0.380        3.0            179.0          -275           
  0.381        4.0            349.0          -276           
  0.383        6.0            373.0          -277           
  0.384        7.0            383.0          -278           
  0.385        8.0            392.0          -279           
  0.386        9.0            399.0          -280           
  0.387        10.0           405.0          -281           
  0.387        11.0           410.0          -282           
  0.388        12.0           414.0          -283           
  0.389        13.0           417.0          -284           
  0.390        14.0           419.0          -285           
  0.391        15.0           420.0          -286           
  0.392        16.0           545.0          -287           
  0.395        19.0           798.0          -288           
  0.397        21.0           923.0          -289           
  0.399        23.0           927.0          -290           
  0.400        24.0           1.0 k          -291           
  0.402        26.0           1.2 k          -292           
  0.405        29.0           1.4 k          -293           
  0.407        31.0           1.4 k          -294           
  0.408        32.0           1.4 k          -295           
  0.409        33.0           1.4 k          -296           
  0.410        34.0           1.4 k          -297           
  0.411        35.0           1.4 k          -298           
  0.411        36.0           1.5 k          -299           
  0.413        38.0           1.5 k          -300           
  0.414        39.0           1.5 k          -301           
  0.415        40.0           1.6 k          -302           
  0.417        42.0           1.7 k          -303           
  0.421        45.0           1.9 k          -304           
  0.421        46.0           1.9 k          -305           
  0.422        47.0           1.9 k          -306           
  0.423        48.0           1.9 k          -307           
  0.424        49.0           1.9 k          -308           
  0.425        50.0           2.0 k          -309           
  0.427        52.0           2.0 k          -310           
  0.428        53.0           2.0 k          -311           
  0.428        54.0           2.1 k          -312           
  0.432        57.0           2.2 k          -313           
  0.433        58.0           2.2 k          -314           
  0.436        61.0           2.3 k          -315           
  0.437        62.0           2.4 k          -316           
  0.443        67.0           2.7 k          -317           
  0.443        68.0           2.8 k          -318           
  0.445        70.0           2.8 k          -319           
  0.446        71.0           2.9 k          -320           
  0.448        73.0           3.0 k          -321           
  0.450        75.0           3.0 k          -322           
  0.451        76.0           3.1 k          -323           
  0.455        79.0           3.1 k          -324           
  0.455        80.0           3.2 k          -325           
  0.459        82.0           3.2 k          -326           
  0.460        83.0           3.3 k          -327           
  0.465        87.0           3.5 k          -328           
  0.467        89.0           3.6 k          -329           
  0.469        91.0           3.7 k          -330           
  0.471        93.0           3.8 k          -331           
  0.476        97.0           4.0 k          -332           
  0.479        100.0          4.2 k          -333           
  0.485        105.0          4.5 k          -334           
  0.487        107.0          4.5 k          -335           
  0.492        111.0          4.7 k          -336           
  0.493        112.0          4.7 k          -337           
  0.494        113.0          4.7 k          -338           
  0.494        114.0          4.7 k          -339           
  0.495        115.0          4.8 k          -340           
  0.497        117.0          4.8 k          -341           
  0.498        118.0          4.8 k          -342           
  0.499        119.0          4.8 k          -343           
  0.500        120.0          4.8 k          -344           
  0.501        121.0          4.9 k          -345           
  0.504        124.0          4.9 k          -346           
  0.505        125.0          5.0 k          -347           
  0.514        132.0          5.4 k          -348           
  0.514        133.0          5.4 k          -349           
