printing solutions in: ./dogs-color/insts/cgshop22/sqrpecn5276.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/sqrpecn5276.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 5276)...
computing neighbors (1000 / 5276)...
computing neighbors (2000 / 5276)...
computing neighbors (3000 / 5276)...
computing neighbors (4000 / 5276)...
computing neighbors (5000 / 5276)...
7908       vertices
5276       segments
116        dominations
=======================
greedy clique: 86
greedy found 86 vertices in 0.007 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.007                                      -86            
  0.007        3.0            146.0          -87            
  0.008        5.0            203.0          -88            
  0.008        7.0            258.0          -89            
  0.008        9.0            263.0          -90            
  0.008        10.0           264.0          -91            
  0.008        11.0           303.0          -92            
  0.009        13.0           348.0          -93            
  0.009        15.0           391.0          -94            
  0.009        17.0           434.0          -95            
  0.010        20.0           478.0          -96            
  0.010        21.0           519.0          -97            
  0.010        25.0           604.0          -98            
  0.010        26.0           606.0          -99            
  0.010        27.0           607.0          -100           
  0.011        28.0           647.0          -101           
  0.011        33.0           801.0          -102           
  0.012        40.0           1.0 k          -103           
  0.013        43.0           1.1 k          -104           
  0.014        48.0           1.3 k          -105           
  0.014        50.0           1.3 k          -106           
  0.014        51.0           1.3 k          -107           
  0.015        55.0           1.4 k          -108           
  0.015        56.0           1.4 k          -109           
  0.015        59.0           1.5 k          -110           
  0.015        60.0           1.5 k          -111           
  0.016        63.0           1.5 k          -112           
  0.016        64.0           1.6 k          -113           
  0.016        66.0           1.6 k          -114           
  0.016        69.0           1.7 k          -115           
  0.017        76.0           1.9 k          -116           
  0.019        86.0           2.1 k          -117           
  0.019        89.0           2.2 k          -118           
  0.020        92.0           2.2 k          -119           
  0.020        94.0           2.2 k          -120           
  0.021        102.0          2.4 k          -121           
  0.022        104.0          2.4 k          -122           
  0.024        119.0          2.6 k          -123           
  0.025        123.0          2.6 k          -124           
  0.036        195.0          3.0 k          -125           
  0.037        199.0          3.1 k          -126           
  0.037        200.0          3.1 k          -127           
  0.037        203.0          3.1 k          -128           
  0.040        218.0          3.1 k          -129           
  0.047        264.0          3.4 k          -130           
  0.051        288.0          3.5 k          -131           
  0.058        332.0          3.7 k          -132           
  0.060        344.0          3.7 k          -133           
  0.061        350.0          3.7 k          -134           
  0.071        412.0          4.0 k          -135           
  0.075        439.0          4.0 k          -136           
  0.175        1.0 k          6.1 k          -137           
  0.215        1.3 k          7.1 k          -138           
  0.775        4.7 k          17.6 k         -139           
  0.784        4.7 k          17.8 k         -140           
  0.997        6.0 k          21.5 k         -141           
  5.278        31.6 k         100.4 k        -142           
  5.294        31.7 k         100.7 k        -143           
  5.301        31.7 k         100.8 k        -144           
  6.718        40.0 k         125.5 k        -145           
  800.766      4.5 M          13.3 M         -146           
  806.925      4.6 M          13.4 M         -147           
  807.848      4.6 M          13.4 M         -148           
  2038.505     11.3 M         31.6 M         -149           
