printing solutions in: ./dogs-color/insts/cgshop22/visp34162.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/visp34162.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 34162)...
computing neighbors (1000 / 34162)...
computing neighbors (2000 / 34162)...
computing neighbors (3000 / 34162)...
computing neighbors (4000 / 34162)...
computing neighbors (5000 / 34162)...
computing neighbors (6000 / 34162)...
computing neighbors (7000 / 34162)...
computing neighbors (8000 / 34162)...
computing neighbors (9000 / 34162)...
computing neighbors (10000 / 34162)...
computing neighbors (11000 / 34162)...
computing neighbors (12000 / 34162)...
computing neighbors (13000 / 34162)...
computing neighbors (14000 / 34162)...
computing neighbors (15000 / 34162)...
computing neighbors (16000 / 34162)...
computing neighbors (17000 / 34162)...
computing neighbors (18000 / 34162)...
computing neighbors (19000 / 34162)...
computing neighbors (20000 / 34162)...
computing neighbors (21000 / 34162)...
computing neighbors (22000 / 34162)...
computing neighbors (23000 / 34162)...
computing neighbors (24000 / 34162)...
computing neighbors (25000 / 34162)...
computing neighbors (26000 / 34162)...
computing neighbors (27000 / 34162)...
computing neighbors (28000 / 34162)...
computing neighbors (29000 / 34162)...
computing neighbors (30000 / 34162)...
computing neighbors (31000 / 34162)...
computing neighbors (32000 / 34162)...
computing neighbors (33000 / 34162)...
computing neighbors (34000 / 34162)...
484        vertices
34162      segments
15879      dominations
=======================
greedy clique: 56
greedy found 56 vertices in 0.029 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.089                                      -56            
  0.092        4.0            1.1 k          -57            
  0.094        6.0            1.4 k          -58            
  0.095        8.0            1.8 k          -59            
  0.097        10.0           2.1 k          -60            
  0.098        12.0           2.4 k          -61            
  0.101        15.0           3.0 k          -62            
  0.103        17.0           3.0 k          -63            
  0.103        18.0           3.2 k          -64            
  0.105        20.0           3.5 k          -65            
  0.106        22.0           3.8 k          -66            
  0.110        26.0           4.5 k          -67            
  0.112        28.0           4.5 k          -68            
  0.112        29.0           4.7 k          -69            
  0.114        31.0           4.9 k          -70            
  0.117        35.0           5.6 k          -71            
  0.121        39.0           6.2 k          -72            
  0.126        45.0           7.2 k          -73            
  0.128        47.0           7.4 k          -74            
  0.130        50.0           7.8 k          -75            
  0.132        52.0           7.9 k          -76            
  0.134        54.0           8.1 k          -77            
  0.139        60.0           8.9 k          -78            
  0.158        80.0           11.6 k         -79            
  0.159        82.0           11.8 k         -80            
  0.165        88.0           12.5 k         -81            
  0.166        90.0           12.6 k         -82            
  0.168        92.0           12.6 k         -83            
  0.169        93.0           12.7 k         -84            
  0.177        102.0          13.7 k         -85            
  0.187        113.0          14.9 k         -86            
  0.202        127.0          16.4 k         -87            
  0.211        137.0          17.4 k         -88            
  0.225        151.0          18.6 k         -89            
  0.305        234.0          24.7 k         -90            
  0.381        313.0          28.4 k         -91            
  0.418        352.0          29.8 k         -92            
  0.424        358.0          30.0 k         -93            
  0.425        359.0          30.0 k         -94            
  0.620        562.0          32.8 k         -95            
  0.649        592.0          33.0 k         -96            
  0.801        749.0          33.7 k         -97            
  0.812        760.0          33.8 k         -98            
  0.870        821.0          34.1 k         -99            
  0.976        930.0          34.8 k         -100           
  1.117        1.1 k          35.7 k         -101           
  1.594        1.6 k          39.3 k         -102           
  2.719        2.7 k          45.7 k         -103           
  2.846        2.8 k          46.4 k         -104           
  11.914       12.0 k         96.2 k         -105           
  11.962       12.1 k         96.4 k         -106           
  25.654       25.8 k         172.7 k        -107           
  26.232       26.3 k         176.0 k        -108           
  31.531       31.5 k         204.2 k        -109           
  51.649       51.1 k         304.8 k        -110           
  79.317       77.6 k         436.4 k        -111           
  291.724      274.5 k        1.5 M          -112           
  2027.752     1.8 M          9.6 M          -113           
  87094.594    77.0 M         400.6 M        -114           
