printing solutions in: ./dogs-color/insts/cgshop22/vispecn10178.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/vispecn10178.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 10178)...
computing neighbors (1000 / 10178)...
computing neighbors (2000 / 10178)...
computing neighbors (3000 / 10178)...
computing neighbors (4000 / 10178)...
computing neighbors (5000 / 10178)...
computing neighbors (6000 / 10178)...
computing neighbors (7000 / 10178)...
computing neighbors (8000 / 10178)...
computing neighbors (9000 / 10178)...
computing neighbors (10000 / 10178)...
15196      vertices
10178      segments
149        dominations
=======================
greedy clique: 38
greedy found 38 vertices in 0.004 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.007                                      -38            
  0.008        3.0            42.0           -39            
  0.008        4.0            44.0           -40            
  0.008        5.0            45.0           -41            
  0.008        6.0            68.0           -42            
  0.009        10.0           132.0          -43            
  0.011        21.0           330.0          -44            
  0.011        22.0           346.0          -45            
  0.011        24.0           365.0          -46            
  0.012        26.0           368.0          -47            
  0.012        27.0           388.0          -48            
  0.013        32.0           453.0          -49            
  0.013        33.0           454.0          -50            
  0.013        34.0           470.0          -51            
  0.014        37.0           488.0          -52            
  0.014        38.0           505.0          -53            
  0.014        41.0           531.0          -54            
  0.015        43.0           545.0          -55            
  0.017        52.0           659.0          -56            
  0.018        60.0           720.0          -57            
  0.018        61.0           730.0          -58            
  0.019        65.0           749.0          -59            
  0.020        72.0           768.0          -60            
  0.020        73.0           771.0          -61            
  0.024        88.0           845.0          -62            
  0.024        89.0           849.0          -63            
  0.024        93.0           873.0          -64            
  0.046        196.0          1.4 k          -65            
  0.046        197.0          1.4 k          -66            
  0.046        198.0          1.4 k          -67            
  0.046        199.0          1.4 k          -68            
  0.047        205.0          1.4 k          -69            
  0.048        210.0          1.4 k          -70            
  0.062        279.0          1.6 k          -71            
  0.070        316.0          1.7 k          -72            
  0.070        318.0          1.7 k          -73            
  0.071        321.0          1.7 k          -74            
  0.094        436.0          2.0 k          -75            
  0.095        439.0          2.0 k          -76            
  0.097        452.0          2.1 k          -77            
  0.115        543.0          2.3 k          -78            
  0.172        828.0          2.9 k          -79            
  0.265        1.3 k          3.9 k          -80            
  0.268        1.3 k          4.0 k          -81            
  0.276        1.4 k          4.1 k          -82            
  0.277        1.4 k          4.1 k          -83            
  0.277        1.4 k          4.1 k          -84            
  0.485        2.5 k          6.3 k          -85            
  0.767        3.9 k          9.1 k          -86            
  11.789       60.4 k         123.6 k        -87            
  38.481       196.4 k        399.5 k        -88            
  38.566       196.9 k        400.5 k        -89            
  38.631       197.2 k        401.3 k        -90            
  38.650       197.3 k        401.5 k        -91            
  38.666       197.4 k        401.7 k        -92            
  38.769       197.9 k        402.8 k        -93            
  40.867       208.3 k        427.2 k        -94            
