printing solutions in: ./dogs-color/insts/cgshop22/vispecn11917.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/vispecn11917.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 11917)...
computing neighbors (1000 / 11917)...
computing neighbors (2000 / 11917)...
computing neighbors (3000 / 11917)...
computing neighbors (4000 / 11917)...
computing neighbors (5000 / 11917)...
computing neighbors (6000 / 11917)...
computing neighbors (7000 / 11917)...
computing neighbors (8000 / 11917)...
computing neighbors (9000 / 11917)...
computing neighbors (10000 / 11917)...
computing neighbors (11000 / 11917)...
17922      vertices
11917      segments
117        dominations
=======================
greedy clique: 43
greedy found 43 vertices in 0.005 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.011                                      -43            
  0.013        8.0            190.0          -44            
  0.013        10.0           193.0          -45            
  0.013        11.0           223.0          -46            
  0.014        13.0           226.0          -47            
  0.014        14.0           253.0          -48            
  0.015        18.0           330.0          -49            
  0.016        24.0           438.0          -50            
  0.016        25.0           464.0          -51            
  0.017        27.0           468.0          -52            
  0.017        28.0           493.0          -53            
  0.019        38.0           728.0          -54            
  0.020        43.0           816.0          -55            
  0.021        48.0           870.0          -56            
  0.022        49.0           883.0          -57            
  0.023        57.0           967.0          -58            
  0.024        59.0           977.0          -59            
  0.026        66.0           1.0 k          -60            
  0.029        80.0           1.1 k          -61            
  0.029        81.0           1.1 k          -62            
  0.030        85.0           1.1 k          -63            
  0.033        98.0           1.2 k          -64            
  0.033        100.0          1.2 k          -65            
  0.033        101.0          1.2 k          -66            
  0.033        102.0          1.2 k          -67            
  0.034        103.0          1.2 k          -68            
  0.034        104.0          1.2 k          -69            
  0.034        105.0          1.2 k          -70            
  0.034        106.0          1.2 k          -71            
  0.041        140.0          1.4 k          -72            
  0.042        141.0          1.4 k          -73            
  0.042        142.0          1.4 k          -74            
  0.042        143.0          1.4 k          -75            
  0.048        169.0          1.5 k          -76            
  0.050        178.0          1.6 k          -77            
  0.050        179.0          1.6 k          -78            
  0.050        180.0          1.6 k          -79            
  0.050        181.0          1.6 k          -80            
  0.050        182.0          1.6 k          -81            
  0.050        183.0          1.6 k          -82            
  0.051        186.0          1.6 k          -83            
  0.051        187.0          1.6 k          -84            
  0.052        193.0          1.6 k          -85            
  0.053        197.0          1.6 k          -86            
  0.055        205.0          1.7 k          -87            
  0.057        213.0          1.7 k          -88            
  0.058        218.0          1.7 k          -89            
  0.065        251.0          1.9 k          -90            
  0.065        252.0          1.9 k          -91            
  0.065        253.0          1.9 k          -92            
  0.065        254.0          1.9 k          -93            
  0.065        255.0          1.9 k          -94            
  0.066        259.0          1.9 k          -95            
  0.072        282.0          2.0 k          -96            
  0.072        284.0          2.0 k          -97            
  0.073        286.0          2.0 k          -98            
  0.074        292.0          2.0 k          -99            
  0.074        293.0          2.0 k          -100           
  0.074        294.0          2.0 k          -101           
  0.076        304.0          2.0 k          -102           
  0.079        317.0          2.1 k          -103           
  0.080        320.0          2.1 k          -104           
  0.086        346.0          2.2 k          -105           
  0.127        519.0          2.7 k          -106           
  0.127        522.0          2.7 k          -107           
  0.131        539.0          2.8 k          -108           
  0.132        543.0          2.8 k          -109           
  0.472        2.0 k          6.3 k          -110           
  0.479        2.0 k          6.3 k          -111           
  0.528        2.2 k          6.8 k          -112           
  0.926        3.9 k          10.5 k         -113           
  11.979       49.7 k         112.4 k        -114           
