printing solutions in: ./dogs-color/insts/cgshop22/vispecn15912.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/vispecn15912.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 15912)...
computing neighbors (1000 / 15912)...
computing neighbors (2000 / 15912)...
computing neighbors (3000 / 15912)...
computing neighbors (4000 / 15912)...
computing neighbors (5000 / 15912)...
computing neighbors (6000 / 15912)...
computing neighbors (7000 / 15912)...
computing neighbors (8000 / 15912)...
computing neighbors (9000 / 15912)...
computing neighbors (10000 / 15912)...
computing neighbors (11000 / 15912)...
computing neighbors (12000 / 15912)...
computing neighbors (13000 / 15912)...
computing neighbors (14000 / 15912)...
computing neighbors (15000 / 15912)...
23930      vertices
15912      segments
152        dominations
=======================
greedy clique: 82
greedy found 82 vertices in 0.019 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.043                                      -82            
  0.044        3.0            77.0           -83            
  0.044        4.0            149.0          -84            
  0.045        6.0            223.0          -85            
  0.046        8.0            250.0          -86            
  0.046        9.0            260.0          -87            
  0.046        10.0           268.0          -88            
  0.047        11.0           275.0          -89            
  0.047        12.0           280.0          -90            
  0.047        13.0           284.0          -91            
  0.047        14.0           287.0          -92            
  0.048        15.0           289.0          -93            
  0.048        16.0           290.0          -94            
  0.048        17.0           341.0          -95            
  0.049        19.0           393.0          -96            
  0.051        22.0           501.0          -97            
  0.052        25.0           578.0          -98            
  0.052        26.0           637.0          -99            
  0.055        32.0           918.0          -100           
  0.055        33.0           926.0          -101           
  0.056        34.0           933.0          -102           
  0.056        35.0           938.0          -103           
  0.056        36.0           942.0          -104           
  0.057        37.0           943.0          -105           
  0.057        38.0           1.0 k          -106           
  0.058        41.0           1.1 k          -107           
  0.058        42.0           1.1 k          -108           
  0.060        45.0           1.2 k          -109           
  0.060        46.0           1.3 k          -110           
  0.061        49.0           1.3 k          -111           
  0.061        50.0           1.4 k          -112           
  0.062        52.0           1.4 k          -113           
  0.062        53.0           1.4 k          -114           
  0.063        54.0           1.4 k          -115           
  0.063        55.0           1.4 k          -116           
  0.063        56.0           1.4 k          -117           
  0.068        68.0           1.9 k          -118           
  0.069        71.0           2.0 k          -119           
  0.070        73.0           2.0 k          -120           
  0.070        74.0           2.1 k          -121           
  0.073        81.0           2.3 k          -122           
  0.074        83.0           2.3 k          -123           
  0.083        106.0          3.1 k          -124           
  0.090        122.0          3.6 k          -125           
  0.094        133.0          3.9 k          -126           
  0.096        137.0          3.9 k          -127           
  0.096        138.0          3.9 k          -128           
  0.104        154.0          4.2 k          -129           
  0.105        156.0          4.2 k          -130           
  0.204        394.0          5.5 k          -131           
  0.240        480.0          5.8 k          -132           
  0.243        486.0          5.8 k          -133           
  0.251        505.0          5.9 k          -134           
  0.254        513.0          5.9 k          -135           
  0.282        581.0          6.1 k          -136           
  0.290        599.0          6.2 k          -137           
  0.299        622.0          6.3 k          -138           
  0.413        894.0          7.3 k          -139           
  0.425        923.0          7.4 k          -140           
  0.428        930.0          7.4 k          -141           
  0.435        947.0          7.5 k          -142           
  1.034        2.4 k          11.6 k         -143           
  1.038        2.4 k          11.6 k         -144           
  2.224        5.2 k          19.9 k         -145           
  2.382        5.5 k          20.9 k         -146           
  2.412        5.6 k          21.1 k         -147           
  2.413        5.6 k          21.1 k         -148           
  3.082        6.9 k          24.5 k         -149           
  17.171       34.7 k         98.5 k         -150           
  24.649       49.5 k         135.7 k        -151           
  53.036       105.0 k        277.4 k        -152           
  53.055       105.0 k        277.5 k        -153           
  53.144       105.2 k        278.0 k        -154           
  53.164       105.2 k        278.0 k        -155           
  60.322       119.2 k        313.2 k        -156           
  60.323       119.2 k        313.2 k        -157           
  60.323       119.2 k        313.2 k        -158           
  60.661       119.9 k        314.9 k        -159           
  460.889      872.4 k        2.3 M          -160           
  1768.621     3.3 M          8.6 M          -161           
