printing solutions in: ./dogs-color/insts/cgshop22/vispecn2518.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/vispecn2518.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 2518)...
computing neighbors (1000 / 2518)...
computing neighbors (2000 / 2518)...
3562       vertices
2518       segments
58         dominations
=======================
greedy clique: 27
greedy found 27 vertices in 0.001 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.001                                      -27            
  0.001        3.0            69.0           -28            
  0.001        5.0            100.0          -29            
  0.001        8.0            137.0          -30            
  0.001        9.0            138.0          -31            
  0.001        10.0           165.0          -32            
  0.002        12.0           190.0          -33            
  0.002        15.0           232.0          -34            
  0.002        18.0           270.0          -35            
  0.002        20.0           288.0          -36            
  0.002        22.0           295.0          -37            
  0.002        23.0           296.0          -38            
  0.002        24.0           310.0          -39            
  0.003        30.0           355.0          -40            
  0.003        31.0           356.0          -41            
  0.003        32.0           364.0          -42            
  0.003        34.0           369.0          -43            
  0.003        35.0           374.0          -44            
  0.003        42.0           399.0          -45            
  0.006        96.0           524.0          -46            
  0.019        316.0          1.1 k          -47            
  0.020        319.0          1.1 k          -48            
  0.055        889.0          2.4 k          -49            
  11.483       180.1 k        407.6 k        -50            
  11.483       180.1 k        407.6 k        -51            
  11.489       180.2 k        407.8 k        -52            
  11.489       180.2 k        407.8 k        -53            
  11.489       180.2 k        407.8 k        -54            
  11.489       180.3 k        407.9 k        -55            
  11.490       180.3 k        407.9 k        -56            
  11.582       181.7 k        410.8 k        -57            
