printing solutions in: ./dogs-color/insts/cgshop22/vispecn26166.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/vispecn26166.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 26166)...
computing neighbors (1000 / 26166)...
computing neighbors (2000 / 26166)...
computing neighbors (3000 / 26166)...
computing neighbors (4000 / 26166)...
computing neighbors (5000 / 26166)...
computing neighbors (6000 / 26166)...
computing neighbors (7000 / 26166)...
computing neighbors (8000 / 26166)...
computing neighbors (9000 / 26166)...
computing neighbors (10000 / 26166)...
computing neighbors (11000 / 26166)...
computing neighbors (12000 / 26166)...
computing neighbors (13000 / 26166)...
computing neighbors (14000 / 26166)...
computing neighbors (15000 / 26166)...
computing neighbors (16000 / 26166)...
computing neighbors (17000 / 26166)...
computing neighbors (18000 / 26166)...
computing neighbors (19000 / 26166)...
computing neighbors (20000 / 26166)...
computing neighbors (21000 / 26166)...
computing neighbors (22000 / 26166)...
computing neighbors (23000 / 26166)...
computing neighbors (24000 / 26166)...
computing neighbors (25000 / 26166)...
computing neighbors (26000 / 26166)...
36624      vertices
26166      segments
208        dominations
=======================
greedy clique: 128
greedy found 128 vertices in 0.049 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.156                                      -128           
  0.161        7.0            406.0          -129           
  0.161        8.0            417.0          -130           
  0.162        9.0            421.0          -131           
  0.162        10.0           424.0          -132           
  0.162        11.0           426.0          -133           
  0.163        12.0           427.0          -134           
  0.164        13.0           492.0          -135           
  0.168        19.0           828.0          -136           
  0.169        21.0           894.0          -137           
  0.171        24.0           961.0          -138           
  0.172        25.0           1.0 k          -139           
  0.174        29.0           1.2 k          -140           
  0.176        31.0           1.2 k          -141           
  0.176        32.0           1.2 k          -142           
  0.179        36.0           1.4 k          -143           
  0.182        40.0           1.6 k          -144           
  0.182        41.0           1.6 k          -145           
  0.183        42.0           1.6 k          -146           
  0.183        43.0           1.6 k          -147           
  0.184        44.0           1.6 k          -148           
  0.184        45.0           1.6 k          -149           
  0.185        46.0           1.6 k          -150           
  0.185        47.0           1.7 k          -151           
  0.186        49.0           1.7 k          -152           
  0.193        58.0           2.1 k          -153           
  0.194        60.0           2.2 k          -154           
  0.196        63.0           2.2 k          -155           
  0.197        64.0           2.3 k          -156           
  0.205        76.0           2.7 k          -157           
  0.207        79.0           2.7 k          -158           
  0.216        91.0           3.1 k          -159           
  0.227        106.0          3.4 k          -160           
  0.245        130.0          3.7 k          -161           
  0.245        131.0          3.7 k          -162           
  0.249        137.0          3.8 k          -163           
  0.270        165.0          4.0 k          -164           
  0.272        167.0          4.0 k          -165           
  0.283        183.0          4.2 k          -166           
  0.288        189.0          4.3 k          -167           
  0.290        192.0          4.3 k          -168           
  0.291        193.0          4.3 k          -169           
  0.291        194.0          4.3 k          -170           
  0.319        231.0          4.5 k          -171           
  0.353        277.0          4.7 k          -172           
  0.426        375.0          5.2 k          -173           
  0.447        403.0          5.3 k          -174           
  0.506        483.0          5.7 k          -175           
  0.507        484.0          5.7 k          -176           
  0.517        498.0          5.8 k          -177           
  0.522        505.0          5.8 k          -178           
  0.527        511.0          5.8 k          -179           
  0.527        512.0          5.8 k          -180           
  0.576        577.0          6.1 k          -181           
  0.622        639.0          6.3 k          -182           
  0.860        957.0          7.2 k          -183           
  0.865        963.0          7.3 k          -184           
  0.865        964.0          7.3 k          -185           
  0.895        1.0 k          7.4 k          -186           
  0.901        1.0 k          7.4 k          -187           
  1.162        1.4 k          8.3 k          -188           
  1.296        1.5 k          8.8 k          -189           
  1.881        2.3 k          10.9 k         -190           
  1.888        2.3 k          10.9 k         -191           
  1.896        2.3 k          10.9 k         -192           
  2.113        2.6 k          11.6 k         -193           
  5.388        6.9 k          23.1 k         -194           
  5.397        6.9 k          23.1 k         -195           
  5.401        6.9 k          23.1 k         -196           
  5.410        7.0 k          23.2 k         -197           
  8.936        11.5 k         34.7 k         -198           
  8.957        11.6 k         34.8 k         -199           
  8.994        11.6 k         34.9 k         -200           
  9.341        12.1 k         36.3 k         -201           
  9.374        12.1 k         36.4 k         -202           
  9.469        12.2 k         36.8 k         -203           
  9.471        12.2 k         36.8 k         -204           
  9.473        12.2 k         36.8 k         -205           
  9.499        12.3 k         37.0 k         -206           
  9.594        12.4 k         37.3 k         -207           
  9.623        12.4 k         37.4 k         -208           
  10.425       13.5 k         40.3 k         -209           
  11.035       14.3 k         42.4 k         -210           
  11.036       14.3 k         42.4 k         -211           
  67.906       87.8 k         234.7 k        -212           
  86.016       110.6 k        295.1 k        -213           
  86.238       110.8 k        295.7 k        -214           
  122.295      155.6 k        412.5 k        -215           
  286.875      356.5 k        947.4 k        -216           
  2127.852     2.6 M          6.8 M          -217           
  36682.688    44.0 M         117.1 M        -218           
