printing solutions in: ./dogs-color/insts/cgshop22/vispecn31031.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/vispecn31031.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 31031)...
computing neighbors (1000 / 31031)...
computing neighbors (2000 / 31031)...
computing neighbors (3000 / 31031)...
computing neighbors (4000 / 31031)...
computing neighbors (5000 / 31031)...
computing neighbors (6000 / 31031)...
computing neighbors (7000 / 31031)...
computing neighbors (8000 / 31031)...
computing neighbors (9000 / 31031)...
computing neighbors (10000 / 31031)...
computing neighbors (11000 / 31031)...
computing neighbors (12000 / 31031)...
computing neighbors (13000 / 31031)...
computing neighbors (14000 / 31031)...
computing neighbors (15000 / 31031)...
computing neighbors (16000 / 31031)...
computing neighbors (17000 / 31031)...
computing neighbors (18000 / 31031)...
computing neighbors (19000 / 31031)...
computing neighbors (20000 / 31031)...
computing neighbors (21000 / 31031)...
computing neighbors (22000 / 31031)...
computing neighbors (23000 / 31031)...
computing neighbors (24000 / 31031)...
computing neighbors (25000 / 31031)...
computing neighbors (26000 / 31031)...
computing neighbors (27000 / 31031)...
computing neighbors (28000 / 31031)...
computing neighbors (29000 / 31031)...
computing neighbors (30000 / 31031)...
computing neighbors (31000 / 31031)...
43356      vertices
31031      segments
263        dominations
=======================
greedy clique: 79
greedy found 79 vertices in 0.022 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.068                                      -79            
  0.069        3.0            125.0          -80            
  0.070        5.0            134.0          -81            
  0.070        6.0            137.0          -82            
  0.071        7.0            139.0          -83            
  0.071        8.0            140.0          -84            
  0.072        9.0            198.0          -85            
  0.073        11.0           205.0          -86            
  0.073        12.0           206.0          -87            
  0.073        13.0           257.0          -88            
  0.076        17.0           362.0          -89            
  0.076        18.0           363.0          -90            
  0.076        19.0           414.0          -91            
  0.077        21.0           421.0          -92            
  0.077        22.0           423.0          -93            
  0.078        23.0           424.0          -94            
  0.078        24.0           489.0          -95            
  0.079        27.0           557.0          -96            
  0.080        28.0           558.0          -97            
  0.080        29.0           620.0          -98            
  0.081        31.0           687.0          -99            
  0.082        33.0           691.0          -100           
  0.082        34.0           769.0          -101           
  0.083        36.0           772.0          -102           
  0.083        37.0           847.0          -103           
  0.084        39.0           856.0          -104           
  0.085        40.0           858.0          -105           
  0.085        41.0           859.0          -106           
  0.085        42.0           927.0          -107           
  0.087        45.0           1.0 k          -108           
  0.087        46.0           1.0 k          -109           
  0.087        47.0           1.0 k          -110           
  0.088        48.0           1.0 k          -111           
  0.088        49.0           1.1 k          -112           
  0.089        51.0           1.1 k          -113           
  0.089        52.0           1.1 k          -114           
  0.090        54.0           1.2 k          -115           
  0.091        56.0           1.2 k          -116           
  0.092        57.0           1.2 k          -117           
  0.092        58.0           1.2 k          -118           
