printing solutions in: ./dogs-color/insts/cgshop22/vispecn37349.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/vispecn37349.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 37349)...
computing neighbors (1000 / 37349)...
computing neighbors (2000 / 37349)...
computing neighbors (3000 / 37349)...
computing neighbors (4000 / 37349)...
computing neighbors (5000 / 37349)...
computing neighbors (6000 / 37349)...
computing neighbors (7000 / 37349)...
computing neighbors (8000 / 37349)...
computing neighbors (9000 / 37349)...
computing neighbors (10000 / 37349)...
computing neighbors (11000 / 37349)...
computing neighbors (12000 / 37349)...
computing neighbors (13000 / 37349)...
computing neighbors (14000 / 37349)...
computing neighbors (15000 / 37349)...
computing neighbors (16000 / 37349)...
computing neighbors (17000 / 37349)...
computing neighbors (18000 / 37349)...
computing neighbors (19000 / 37349)...
computing neighbors (20000 / 37349)...
computing neighbors (21000 / 37349)...
computing neighbors (22000 / 37349)...
computing neighbors (23000 / 37349)...
computing neighbors (24000 / 37349)...
computing neighbors (25000 / 37349)...
computing neighbors (26000 / 37349)...
computing neighbors (27000 / 37349)...
computing neighbors (28000 / 37349)...
computing neighbors (29000 / 37349)...
computing neighbors (30000 / 37349)...
computing neighbors (31000 / 37349)...
computing neighbors (32000 / 37349)...
computing neighbors (33000 / 37349)...
computing neighbors (34000 / 37349)...
computing neighbors (35000 / 37349)...
computing neighbors (36000 / 37349)...
computing neighbors (37000 / 37349)...
52222      vertices
37349      segments
270        dominations
=======================
greedy clique: 145
greedy found 145 vertices in 0.084 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.267                                      -145           
  0.269        3.0            185.0          -146           
  0.273        7.0            448.0          -147           
  0.276        10.0           619.0          -148           
  0.281        14.0           809.0          -149           
  0.281        15.0           815.0          -150           
  0.282        16.0           818.0          -151           
  0.283        17.0           820.0          -152           
  0.283        18.0           894.0          -153           
  0.289        24.0           1.3 k          -154           
  0.294        29.0           1.6 k          -155           
  0.296        31.0           1.6 k          -156           
  0.297        32.0           1.6 k          -157           
  0.298        33.0           1.7 k          -158           
  0.301        36.0           1.7 k          -159           
  0.301        37.0           1.7 k          -160           
  0.302        38.0           1.8 k          -161           
  0.304        40.0           1.8 k          -162           
  0.305        41.0           1.8 k          -163           
  0.305        42.0           1.9 k          -164           
  0.307        44.0           1.9 k          -165           
  0.308        45.0           1.9 k          -166           
  0.308        46.0           1.9 k          -167           
  0.309        47.0           2.0 k          -168           
  0.318        56.0           2.4 k          -169           
  0.319        57.0           2.5 k          -170           
  0.323        61.0           2.7 k          -171           
  0.333        70.0           3.1 k          -172           
  0.347        83.0           3.7 k          -173           
  0.356        92.0           4.1 k          -174           
  0.408        140.0          5.4 k          -175           
  0.409        141.0          5.4 k          -176           
  0.433        164.0          5.6 k          -177           
  0.449        179.0          5.7 k          -178           
  0.449        180.0          5.7 k          -179           
  0.450        181.0          5.7 k          -180           
  0.450        182.0          5.7 k          -181           
  0.530        255.0          6.3 k          -182           
  0.535        260.0          6.3 k          -183           
  0.631        351.0          6.9 k          -184           
  0.644        365.0          7.0 k          -185           
  0.651        372.0          7.0 k          -186           
  0.657        378.0          7.0 k          -187           
  0.680        401.0          7.2 k          -188           
  0.689        410.0          7.2 k          -189           
  0.697        418.0          7.3 k          -190           
  0.709        429.0          7.3 k          -191           
  0.711        431.0          7.3 k          -192           
  0.956        662.0          8.4 k          -193           
  0.956        663.0          8.4 k          -194           
  0.967        674.0          8.4 k          -195           
  0.999        704.0          8.5 k          -196           
  1.120        819.0          9.0 k          -197           
  1.126        824.0          9.0 k          -198           
  1.203        898.0          9.3 k          -199           
  1.213        907.0          9.3 k          -200           
  1.214        909.0          9.3 k          -201           
  1.224        919.0          9.4 k          -202           
  1.668        1.3 k          10.7 k         -203           
  1.860        1.5 k          11.3 k         -204           
  1.861        1.5 k          11.3 k         -205           
  1.866        1.5 k          11.3 k         -206           
  2.005        1.7 k          11.8 k         -207           
  3.461        3.0 k          16.0 k         -208           
  3.536        3.1 k          16.2 k         -209           
  5.387        4.8 k          21.0 k         -210           
  5.407        4.9 k          21.1 k         -211           
  5.633        5.1 k          21.7 k         -212           
  5.799        5.2 k          22.1 k         -213           
  5.807        5.2 k          22.1 k         -214           
  5.818        5.2 k          22.1 k         -215           
  7.953        7.3 k          27.3 k         -216           
  7.961        7.3 k          27.3 k         -217           
  15.130       14.0 k         44.7 k         -218           
  15.327       14.2 k         45.3 k         -219           
  15.809       14.6 k         46.3 k         -220           
  84.776       78.4 k         209.7 k        -221           
  90.135       83.2 k         223.2 k        -222           
  90.140       83.2 k         223.2 k        -223           
  90.145       83.2 k         223.2 k        -224           
  120.016      109.7 k        296.2 k        -225           
  823.742      721.3 k        2.0 M          -226           
  2101.300     1.8 M          5.0 M          -227           
  2137.073     1.9 M          5.1 M          -228           
  2137.074     1.9 M          5.1 M          -229           
  3442.494     3.0 M          8.2 M          -230           
  3443.589     3.0 M          8.2 M          -231           
  3443.701     3.0 M          8.2 M          -232           
  3444.757     3.0 M          8.2 M          -233           
  3448.434     3.0 M          8.2 M          -234           
  3451.834     3.0 M          8.2 M          -235           
  3451.846     3.0 M          8.2 M          -236           
  3460.796     3.0 M          8.2 M          -237           
  3887.186     3.4 M          9.3 M          -238           
  4863.395     4.2 M          11.6 M         -239           
  4863.712     4.2 M          11.6 M         -240           
  4864.614     4.2 M          11.6 M         -241           
  4867.866     4.2 M          11.6 M         -242           
  4867.881     4.2 M          11.6 M         -243           
  4897.104     4.2 M          11.7 M         -244           
  4905.920     4.2 M          11.7 M         -245           
  4990.239     4.3 M          11.9 M         -246           
  5279.424     4.6 M          12.6 M         -247           
  5678.259     4.9 M          13.5 M         -248           
  7334.139     6.3 M          17.1 M         -249           
