printing solutions in: ./dogs-color/insts/cgshop22/vispecn47378.instance.json.solution.json
printing perfs in: ./dogs-color/insts/cgshop22/vispecn47378.instance.json.perf.json

CGSHOP Instance: compute neighbors...
computing neighbors (0 / 47378)...
computing neighbors (1000 / 47378)...
computing neighbors (2000 / 47378)...
computing neighbors (3000 / 47378)...
computing neighbors (4000 / 47378)...
computing neighbors (5000 / 47378)...
computing neighbors (6000 / 47378)...
computing neighbors (7000 / 47378)...
computing neighbors (8000 / 47378)...
computing neighbors (9000 / 47378)...
computing neighbors (10000 / 47378)...
computing neighbors (11000 / 47378)...
computing neighbors (12000 / 47378)...
computing neighbors (13000 / 47378)...
computing neighbors (14000 / 47378)...
computing neighbors (15000 / 47378)...
computing neighbors (16000 / 47378)...
computing neighbors (17000 / 47378)...
computing neighbors (18000 / 47378)...
computing neighbors (19000 / 47378)...
computing neighbors (20000 / 47378)...
computing neighbors (21000 / 47378)...
computing neighbors (22000 / 47378)...
computing neighbors (23000 / 47378)...
computing neighbors (24000 / 47378)...
computing neighbors (25000 / 47378)...
computing neighbors (26000 / 47378)...
computing neighbors (27000 / 47378)...
computing neighbors (28000 / 47378)...
computing neighbors (29000 / 47378)...
computing neighbors (30000 / 47378)...
computing neighbors (31000 / 47378)...
computing neighbors (32000 / 47378)...
computing neighbors (33000 / 47378)...
computing neighbors (34000 / 47378)...
computing neighbors (35000 / 47378)...
computing neighbors (36000 / 47378)...
computing neighbors (37000 / 47378)...
computing neighbors (38000 / 47378)...
computing neighbors (39000 / 47378)...
computing neighbors (40000 / 47378)...
computing neighbors (41000 / 47378)...
computing neighbors (42000 / 47378)...
computing neighbors (43000 / 47378)...
computing neighbors (44000 / 47378)...
computing neighbors (45000 / 47378)...
computing neighbors (46000 / 47378)...
computing neighbors (47000 / 47378)...
66160      vertices
47378      segments
379        dominations
=======================
greedy clique: 84
greedy found 84 vertices in 0.049 seconds
 time (s)      nb expanded    nb generated   objective      
------------------------------------------------------------
  0.195                                      -84            
  0.198        3.0            133.0          -85            
  0.202        7.0            327.0          -86            
  0.204        9.0            392.0          -87            
  0.211        16.0           722.0          -88            
  0.212        17.0           782.0          -89            
  0.213        19.0           790.0          -90            
  0.214        20.0           792.0          -91            
  0.214        21.0           793.0          -92            
  0.215        22.0           845.0          -93            
  0.217        24.0           895.0          -94            
  0.221        28.0           1.0 k          -95            
  0.223        30.0           1.1 k          -96            
  0.229        35.0           1.3 k          -97            
  0.237        43.0           1.6 k          -98            
  0.240        46.0           1.6 k          -99            
  0.240        47.0           1.7 k          -100           
  0.242        49.0           1.7 k          -101           
  0.243        50.0           1.7 k          -102           
  0.247        54.0           1.8 k          -103           
  0.252        59.0           2.0 k          -104           
  0.254        61.0           2.0 k          -105           
  0.266        72.0           2.3 k          -106           
  0.271        77.0           2.4 k          -107           
  0.275        81.0           2.5 k          -108           
  0.277        83.0           2.5 k          -109           
  0.277        84.0           2.6 k          -110           
  0.285        91.0           2.7 k          -111           
  0.285        92.0           2.7 k          -112           
  0.291        97.0           2.8 k          -113           
  0.293        100.0          2.9 k          -114           
  0.294        101.0          2.9 k          -115           
  0.295        102.0          2.9 k          -116           
  0.301        108.0          3.0 k          -117           
  0.301        109.0          3.0 k          -118           
  0.302        110.0          3.0 k          -119           
  0.305        113.0          3.0 k          -120           
  0.305        114.0          3.0 k          -121           
  0.306        115.0          3.1 k          -122           
  0.307        116.0          3.1 k          -123           
  0.307        117.0          3.1 k          -124           
  0.308        118.0          3.1 k          -125           
  0.308        119.0          3.1 k          -126           
  0.310        121.0          3.1 k          -127           
  0.312        123.0          3.1 k          -128           
  0.469        264.0          4.2 k          -129           
  0.494        288.0          4.3 k          -130           
  0.515        308.0          4.4 k          -131           
  0.558        348.0          4.7 k          -132           
  0.730        504.0          5.3 k          -133           
  0.732        506.0          5.3 k          -134           
  0.756        527.0          5.4 k          -135           
  0.759        530.0          5.4 k          -136           
  0.761        532.0          5.5 k          -137           
  0.773        543.0          5.5 k          -138           
  0.816        582.0          5.7 k          -139           
  0.819        585.0          5.7 k          -140           
  0.820        586.0          5.7 k          -141           
  0.821        587.0          5.7 k          -142           
  0.842        606.0          5.7 k          -143           
  0.843        607.0          5.7 k          -144           
  0.868        630.0          5.9 k          -145           
  0.921        676.0          6.1 k          -146           
  1.038        780.0          6.4 k          -147           
  1.046        788.0          6.5 k          -148           
  1.048        790.0          6.5 k          -149           
  1.049        791.0          6.5 k          -150           
  1.057        799.0          6.5 k          -151           
  1.077        818.0          6.6 k          -152           
  1.104        843.0          6.7 k          -153           
  1.111        850.0          6.7 k          -154           
  1.113        852.0          6.7 k          -155           
  1.113        853.0          6.7 k          -156           
  1.114        854.0          6.7 k          -157           
  1.126        865.0          6.7 k          -158           
  1.127        866.0          6.7 k          -159           
  1.129        868.0          6.7 k          -160           
  2.044        1.7 k          9.0 k          -161           
  2.045        1.7 k          9.0 k          -162           
  2.046        1.7 k          9.0 k          -163           
  2.046        1.7 k          9.0 k          -164           
  2.052        1.7 k          9.0 k          -165           
  2.066        1.7 k          9.1 k          -166           
  2.067        1.7 k          9.1 k          -167           
  2.072        1.7 k          9.1 k          -168           
  2.072        1.7 k          9.1 k          -169           
  2.073        1.7 k          9.1 k          -170           
  2.291        2.0 k          9.6 k          -171           
  2.292        2.0 k          9.7 k          -172           
  2.307        2.0 k          9.7 k          -173           
  2.310        2.0 k          9.7 k          -174           
  2.316        2.0 k          9.7 k          -175           
  2.322        2.0 k          9.7 k          -176           
  2.334        2.0 k          9.8 k          -177           
  2.334        2.0 k          9.8 k          -178           
  2.336        2.0 k          9.8 k          -179           
  2.337        2.0 k          9.8 k          -180           
  2.337        2.0 k          9.8 k          -181           
  2.338        2.0 k          9.8 k          -182           
  2.340        2.0 k          9.8 k          -183           
  2.341        2.0 k          9.8 k          -184           
  2.346        2.0 k          9.8 k          -185           
  2.349        2.0 k          9.8 k          -186           
  2.349        2.0 k          9.8 k          -187           
  2.354        2.0 k          9.9 k          -188           
  2.355        2.0 k          9.9 k          -189           
  2.357        2.0 k          9.9 k          -190           
  2.357        2.0 k          9.9 k          -191           
  2.361        2.0 k          9.9 k          -192           
  2.367        2.0 k          9.9 k          -193           
  2.368        2.0 k          9.9 k          -194           
  2.368        2.0 k          9.9 k          -195           
  2.369        2.0 k          9.9 k          -196           
  2.371        2.0 k          9.9 k          -197           
  2.372        2.0 k          9.9 k          -198           
  2.373        2.0 k          9.9 k          -199           
  2.374        2.0 k          9.9 k          -200           
  2.374        2.0 k          10.0 k         -201           
